,Impacted Sector,Solution,Country(ies),Scenario,Quantification,Expression,Type of Value,Sample,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,Water,Desalination,Global,SSP1,AdaptationCost,AdaptationCost [% of GDP],Economic,Need,% of GDP,0.002,NA,NA,NA,NA,NA,Page 1,Total global costs of seawater desalination for the period 2011-2040.
1,Water,Desalination,Global,SSP1,AdaptationCost,AdaptationCost [million USD / yr],Economic,Need,million USD / yr,1.1,NA,NA,NA,NA,NA,Page 1,Total global costs of seawater desalination for the period 2011-2040.
2,Water,Desalination,Global,SSP2,AdaptationCost,AdaptationCost [% of GDP],Economic,Need,% of GDP,0.020,NA,NA,NA,NA,NA,Page 1,Total global costs of seawater desalination for the period 2041-2070.
3,Water,Desalination,Global,SSP2,AdaptationCost,AdaptationCost [million USD / yr],Economic,Need,million USD / yr,22.8,NA,NA,NA,NA,NA,Page 1,Total global costs of seawater desalination for the period 2041-2070.
4,Water,Desalination,Global,SSP3,AdaptationCost,AdaptationCost [% of GDP],Economic,Need,% of GDP,0.100,NA,NA,NA,NA,NA,Page 1,Total global costs of seawater desalination for the period 2041-2070.
5,Water,Desalination,Global,SSP3,AdaptationCost,AdaptationCost [million USD / yr],Economic,Need,million USD / yr,183.9,NA,NA,NA,NA,NA,Page 1,Total global costs of seawater desalination for the period 2041-2070.
6,Water,Desalination,Global,Historical,ProductionCost,AdaptationCost [million USD / yr],Monetary,Need,million USD / yr,1122,NA,NA,NA,NA,10606,Table 4,Year 2005
7,Water,Desalination,Global,Historical,ProductionCost,AdaptationCost [% of GDP],Economic,Need,% of GDP,0.002,NA,NA,NA,NA,0.019,Table 4,Year 2005
8,Water,Desalination,MENA,Historical,ProductionCost,AdaptationCost [% of GDP],Economic,Need,% of GDP,0.032,NA,NA,NA,NA,0.306,Table 4,Year 2005
9,Water,Desalination,Global,SSP1,ProductionCost,AdaptationCost [million USD / yr],Monetary,Need,million USD / yr,1620,NA,NA,NA,NA,15310,Table 4,Year 2025
10,Water,Desalination,Global,SSP1,ProductionCost,AdaptationCost [% of GDP],Economic,Need,% of GDP,0.001,NA,NA,NA,NA,0.012,Table 4,Year 2025
11,Water,Desalination,Global,SSP2,ProductionCost,AdaptationCost [million USD / yr],Monetary,Need,million USD / yr,2138,NA,NA,NA,NA,20201,Table 4,Year 2025
12,Water,Desalination,Global,SSP2,ProductionCost,AdaptationCost [% of GDP],Economic,Need,% of GDP,0.002,NA,NA,NA,NA,0.017,Table 4,Year 2025
13,Water,Desalination,Global,SSP3,ProductionCost,AdaptationCost [million USD / yr],Monetary,Need,million USD / yr,2412,NA,NA,NA,NA,22793,Table 4,Year 2025
14,Water,Desalination,Global,SSP3,ProductionCost,AdaptationCost [% of GDP],Economic,Need,% of GDP,0.002,NA,NA,NA,NA,0.020,Table 4,Year 2025
15,Water,Desalination,Global,SSP1,ProductionCost,AdaptationCost [million USD / yr],Monetary,Need,million USD / yr,7481,NA,NA,NA,NA,70695,Table 4,Year 2055
16,Water,Desalination,Global,SSP1,ProductionCost,AdaptationCost [% of GDP],Economic,Need,% of GDP,0.002,NA,NA,NA,NA,0.022,Table 4,Year 2055
17,Water,Desalination,Global,SSP2,ProductionCost,AdaptationCost [million USD / yr],Monetary,Need,million USD / yr,16123,NA,NA,NA,NA,152358,Table 4,Year 2055
18,Water,Desalination,Global,SSP2,ProductionCost,AdaptationCost [% of GDP],Economic,Need,% of GDP,0.006,NA,NA,NA,NA,0.060,Table 4,Year 2055
19,Water,Desalination,Global,SSP3,ProductionCost,AdaptationCost [million USD / yr],Monetary,Need,million USD / yr,19455,NA,NA,NA,NA,183851,Table 4,Year 2055
20,Water,Desalination,Global,SSP3,ProductionCost,AdaptationCost [% of GDP],Economic,Need,% of GDP,0.011,NA,NA,NA,NA,0.100,Table 4,Year 2055
21,Water,Desalination,MENA,SSP3,ProductionCost,AdaptationCost [% of GDP],Economic,Need,% of GDP,0.121,NA,NA,NA,NA,1.147,Table 4,Year 2055
