,Impacted Sector,Solution,Country(ies),Scenario,Quantification,Expression,Type of Value,Sample,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,All,Adaptation Investments,The Netherlands,Stoom2050,Monetized Drought Risk,BaselineImpact,Economic,Need,million EUR / yr,611,NA,NA,NA,NA,NA,Highlights,Increase in risk by 2050
1,All,Adaptation Investments,The Netherlands,Reference situation,Monetized Drought Risk,BaselineImpact,Economic,Need,million EUR / yr,372,NA,NA,NA,NA,NA,Highlights,Current economic impact of droughts
2,Industry,Reverse osmosis treatment,The Netherlands,NA,AdaptationCost,AdaptationCost,Economic,N/A,EUR,0,NA,NA,NA,NA,NA,p. 1767,Using adaptation costs as a proxy for the welfare effect of drought.
3,All,Water management,The Netherlands,Reference situation,Shadow price of water,AvoidedImpact,Economic,Need,EUR/m3,0,NA,NA,NA,NA,NA,p. 1767,"Shadow price of water is based on avoided costs for nature, infrastructure, embankments, and CO2 emissions from peat areas; marginal value not specified on this page."
4,All,Water management,The Netherlands,Stoom,Shadow price of water,AvoidedImpact,Economic,Need,EUR/m3,0,NA,NA,NA,NA,NA,p. 1767,"Shadow price of water is based on avoided costs for nature, infrastructure, embankments, and CO2 emissions from peat areas; marginal value not specified on this page."
5,All,Any,The Netherlands,Delta scenario,Temperature,N/A,N/A,N/A,°C,1,NA,NA,NA,NA,NA,Table 1,Global temperature change.
6,All,Any,The Netherlands,Rust,Temperature,N/A,N/A,N/A,°C,1,NA,NA,NA,NA,NA,Table 1,Global temperature change.
7,All,Any,The Netherlands,Druk,Temperature,N/A,N/A,N/A,°C,2,NA,NA,NA,NA,NA,Table 1,Global temperature change.
8,All,Any,The Netherlands,Warm,Temperature,N/A,N/A,N/A,°C,2,NA,NA,NA,NA,NA,Table 1,Global temperature change.
9,All,Any,The Netherlands,Stoom,Temperature,N/A,N/A,N/A,°C,2,NA,NA,NA,NA,NA,Table 1,Global temperature change.
10,All,Any,The Netherlands,Delta scenario,Sea level,N/A,N/A,N/A,cm,15,NA,NA,NA,NA,NA,Table 1,
11,All,Any,The Netherlands,Rust,Sea level,N/A,N/A,N/A,cm,40,NA,NA,NA,NA,NA,Table 1,
12,All,Any,The Netherlands,Delta scenario,Precipitation,N/A,N/A,N/A,%,4,NA,NA,NA,NA,NA,Table 1,
13,All,Any,The Netherlands,Rust,Precipitation,N/A,N/A,N/A,%,5,NA,NA,NA,NA,NA,Table 1,
14,All,Any,The Netherlands,Delta scenario,Evapotranspiration,N/A,N/A,N/A,%,3,NA,NA,NA,NA,NA,Table 1,
15,All,Any,The Netherlands,Rust,Evapotranspiration,N/A,N/A,N/A,%,7,NA,NA,NA,NA,NA,Table 1,
16,All,Any,The Netherlands,Delta scenario,Population,N/A,N/A,N/A,million people,16,NA,NA,NA,NA,NA,Table 1,
17,All,Any,The Netherlands,Druk,Population,N/A,N/A,N/A,million people,19,NA,NA,NA,NA,NA,Table 1,
18,All,Any,The Netherlands,Warm,Population,N/A,N/A,N/A,million people,16,NA,NA,NA,NA,NA,Table 1,
19,All,Any,The Netherlands,Stoom,Population,N/A,N/A,N/A,million people,19,NA,NA,NA,NA,NA,Table 1,
20,All,Any,The Netherlands,Delta scenario,Econ growth,N/A,N/A,N/A,%,1,NA,NA,NA,NA,NA,Table 1,
21,All,Any,The Netherlands,Rust,Econ growth,N/A,N/A,N/A,%,2,NA,NA,NA,NA,NA,Table 1,
22,All,Any,The Netherlands,Druk,Econ growth,N/A,N/A,N/A,%,1,NA,NA,NA,NA,NA,Table 1,
23,All,Any,The Netherlands,Warm,Econ growth,N/A,N/A,N/A,%,2,NA,NA,NA,NA,NA,Table 1,
24,All,Any,The Netherlands,Delta scenario,Land use,N/A,N/A,N/A,%,58,NA,NA,NA,NA,NA,Table 1,
25,All,Any,The Netherlands,Rust,Land use,N/A,N/A,N/A,%,54,NA,NA,NA,NA,NA,Table 1,
26,All,Any,The Netherlands,Druk,Land use,N/A,N/A,N/A,%,57,NA,NA,NA,NA,NA,Table 1,
27,All,Any,The Netherlands,Warm,Land use,N/A,N/A,N/A,%,53,NA,NA,NA,NA,NA,Table 1,
28,All,Any,The Netherlands,Delta scenario,Land use,N/A,N/A,N/A,%,24,NA,NA,NA,NA,NA,Table 1,
29,All,Any,The Netherlands,Rust,Land use,N/A,N/A,N/A,%,26,NA,NA,NA,NA,NA,Table 1,
30,All,Any,The Netherlands,Druk,Land use,N/A,N/A,N/A,%,24,NA,NA,NA,NA,NA,Table 1,
31,All,Any,The Netherlands,Warm,Land use,N/A,N/A,N/A,%,25,NA,NA,NA,NA,NA,Table 1,
32,All,Any,The Netherlands,Delta scenario,Land use,N/A,N/A,N/A,%,18,NA,NA,NA,NA,NA,Table 1,
33,All,Any,The Netherlands,Rust,Land use,N/A,N/A,N/A,%,20,NA,NA,NA,NA,NA,Table 1,
34,All,Any,The Netherlands,Druk,Land use,N/A,N/A,N/A,%,18,NA,NA,NA,NA,NA,Table 1,
35,All,Any,The Netherlands,Warm,Land use,N/A,N/A,N/A,%,21,NA,NA,NA,NA,NA,Table 1,
36,All,Any,The Netherlands,Delta scenario,Irrigation,N/A,N/A,N/A,%,8,NA,NA,NA,NA,NA,Table 1,
37,All,Any,The Netherlands,Rust,Irrigation,N/A,N/A,N/A,%,4,NA,NA,NA,NA,NA,Table 1,
38,All,Any,The Netherlands,Druk,Irrigation,N/A,N/A,N/A,%,60,NA,NA,NA,NA,NA,Table 1,
39,All,Any,The Netherlands,Warm,Irrigation,N/A,N/A,N/A,%,55,NA,NA,NA,NA,NA,Table 1,
40,All,Any,The Netherlands,Delta scenario,Water use,N/A,N/A,N/A,%,-40,NA,NA,NA,NA,NA,Table 1,
41,All,Any,The Netherlands,Rust,Water use,N/A,N/A,N/A,%,-30,NA,NA,NA,NA,NA,Table 1,
42,All,Any,The Netherlands,Druk,Water use,N/A,N/A,N/A,%,-10,NA,NA,NA,NA,NA,Table 1,
43,All,Any,The Netherlands,Warm,Water use,N/A,N/A,N/A,%,15,NA,NA,NA,NA,NA,Table 1,
44,All,Any,The Netherlands,Delta scenario,Water use,N/A,N/A,N/A,%,-10,NA,NA,NA,NA,NA,Table 1,
45,All,Any,The Netherlands,Rust,Water use,N/A,N/A,N/A,%,10,NA,NA,NA,NA,NA,Table 1,
46,All,Any,The Netherlands,Druk,Water use,N/A,N/A,N/A,%,0,NA,NA,NA,NA,NA,Table 1,
47,All,Any,The Netherlands,Warm,Water use,N/A,N/A,N/A,%,35,NA,NA,NA,NA,NA,Table 1,
48,All,Any,The Netherlands,Delta scenario,Water demand,N/A,N/A,N/A,%,-10,NA,NA,NA,NA,NA,Table 1,
49,All,Any,The Netherlands,Rust,Water demand,N/A,N/A,N/A,%,-25,NA,NA,NA,NA,NA,Table 1,
50,All,Any,The Netherlands,Druk,Water demand,N/A,N/A,N/A,%,20,NA,NA,NA,NA,NA,Table 1,
51,All,Any,The Netherlands,Warm,Water demand,N/A,N/A,N/A,%,100,NA,NA,NA,NA,NA,Table 1,
52,All,Adaptation,The Netherlands,Reference,BaselineImpact,BaselineImpact [million EUR / yr],Economic,Need,million EUR / yr,372,NA,NA,NA,NA,NA,Results,Current drought risk
53,All,Adaptation,The Netherlands,Stoom,BaselineImpact,BaselineImpact [million EUR / yr],Economic,Need,million EUR / yr,611,NA,NA,NA,NA,NA,Results,"Drought risk in 2050, worst-case scenario"
54,All,Adaptation,The Netherlands,Warm,BaselineImpact,BaselineImpact [million EUR / yr],Economic,Need,million EUR / yr,607,NA,NA,NA,NA,NA,Results,"Drought risk in 2050, similar climate change, limited socio-economic growth"
