,Impacted Sector,Solution,Country(ies),Scenario,Quantification,Expression,Type of Value,Sample,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,Water Resources,Storage,Global,"RCP4.5/8.5, A1B",Adaptation Cost,AdaptationCost,Economic,Need,million USD / yr,15,NA,NA,NA,NA,NA,Synopsis,Global median adaptation cost; value from synopsis section not from detailed page read.
1,Water Resources,Increased storage,Global,RCP4.5,Adaptation Costs,AdaptationCost,Economic,Need,billion USD / yr,15,NA,NA,NA,NA,NA,Page 16,Median annual global net costs of adapting to climate change in the 2050 era at a 5% discount rate.
2,Water Resources,Increased storage,Global,RCP4.5,Adaptation Costs,AdaptationCost,Economic,Need,billion USD / yr,-3,NA,25%,2,75%,35,Page 16,Interquartile range for CMIP3 ensembles
3,Water Resources,Increased storage,Global,A2,Adaptation Costs,AdaptationCost,Economic,Need,billion USD / yr,35,NA,25%,2,75%,35,Page 16,Interquartile range for CMIP3 ensembles
4,Water Resources,Increased storage,Global,A1B,Adaptation Costs,AdaptationCost,Economic,Need,billion USD / yr,-10,NA,NA,NA,NA,NA,Page 16,From NCAR ensembles
5,Water Resources,Increased storage,Global,RCP4.5,Adaptation Costs,AdaptationCost,Economic,Need,billion USD / yr,60,NA,NA,NA,NA,NA,Page 16,From CSIRO ensembles
6,Water Resources,Increased Water Storage,"MENA, SSA, SA, LAC","22A1B, 23C5R4, 17A2, 20C5R8",Regional Adaptation Costs,AdaptationCost,Economic,Need,billion USD / year,0,NA,25%,NA,75%,NA,Page 17,Interquartile ranges of between-model and within-model ensembles show positive costs in MENA and SSA. Setting the cost to 0 since it's qualitative
7,Water Resources,Increased Water Storage,"SA, LAC","22A1B, 23C5R4, 17A2, 20C5R8",Regional Adaptation Benefits,MonetaryBenefits,Economic,Need,billion USD / year,0,NA,25%,NA,75%,NA,Page 17,General agreement on benefits in SA and costs in LAC. Setting the benefit to 0 since it's qualitative
8,Water Resources,Storage,Global,CMIP5,Adaptation Costs,AdaptationCost,Economic,Need,billion USD / year,15,NA,NA,NA,NA,NA,Highlights,Median adaptation costs
9,Water Resources,Storage,Amudarja,"CMIP5, CMIP3",Cost vs. Runoff,AdaptationCost,Economic,Need,billion USD,0,NA,NA,NA,NA,NA,Fig. 14,Costs vary by runoff
10,Water Resources,Storage,Huang He,"CMIP5, CMIP3",Cost vs. Runoff,AdaptationCost,Economic,Need,billion USD,0,NA,NA,NA,NA,NA,Fig. 14,Costs vary by runoff
11,Water Resources,Storage,Orinoco,"CMIP5, CMIP3",Cost vs. Runoff,AdaptationCost,Economic,Need,billion USD,0,NA,NA,NA,NA,NA,Fig. 14,Costs vary by runoff
12,Water Resources,Storage,Zambezi,"CMIP5, CMIP3",Cost vs. Runoff,AdaptationCost,Economic,Need,billion USD,0,NA,NA,NA,NA,NA,Fig. 14,Costs vary by runoff
13,Water Resources,Storage,Black Sea,"CMIP5, CMIP3",Cost vs. Runoff,AdaptationCost,Economic,Need,billion USD,0,NA,NA,NA,NA,NA,Fig. 14,Costs vary by runoff
14,Water Resources,Storage,Syrdarja,"CMIP5, CMIP3",Cost vs. Runoff,AdaptationCost,Economic,Need,billion USD,0,NA,NA,NA,NA,NA,Fig. 14,Costs vary by runoff
15,Water Resources,Storage,Nile,"CMIP5, CMIP3",Cost vs. Runoff,AdaptationCost,Economic,Need,billion USD,0,NA,NA,NA,NA,NA,Fig. 14,Costs vary by runoff
16,Water Resources,Storage,Volta,"CMIP5, CMIP3",Cost vs. Runoff,AdaptationCost,Economic,Need,billion USD,0,NA,NA,NA,NA,NA,Fig. 14,Costs vary by runoff
17,Water Resources,Storage,Niger,"CMIP5, CMIP3",Cost vs. Runoff,AdaptationCost,Economic,Need,billion USD,0,NA,NA,NA,NA,NA,Fig. 14,Costs vary by runoff
