,Outcome,Country(ies),Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,Economic growth,Global,Current climate,2016,No CC,percentage points year−1,-0.25,NA,NA,NA,NA,NA,1,Refers to the slowing of global economic growth.
1,Economic growth,Global,Future warming,2050,No CC,percentage points year−1,-0.28,NA,NA,NA,NA,NA,1,Refers to the additional slowing of global economic growth projected from future warming.
2,Maize yields,US,NA,2016,No CC,%,-48,NA,NA,NA,NA,NA,1,Refers to current reductions in U.S. maize yields.
3,Economic growth rates,Global,Future warming,2050,NA,percentage points year−1,-0.28,NA,NA,NA,NA,NA,1,Potential slowing of growth rates.
4,Maize Yields,United States,Current Climates,2016,No CC,%,-48,NA,NA,NA,NA,NA,Page 2,Temperature depresses current U.S. maize yields by ~48%
5,Conflict Risk,Africa,Warming Since 1980,2016,Pre-1980,%,11,NA,NA,NA,NA,NA,Page 2,Warming since 1980 elevated conflict risk in Africa by ~11%
6,Economic Growth Rates,Global,Future Warming,2050,No Warming,Percentage Points per Year,-0.28,NA,NA,NA,NA,NA,Page 2,Future warming may slow global economic growth rates by ~0.28 percentage points per year
7,Mortality,Global,Cyclone impacts,2024,NA,Rate,0,NA,NA,NA,NA,NA,Page 7,Mortality rates increase with cyclones intensity more in countries with less exposure.
8,GDP,Global,Cyclone impacts,2024,NA,NA,0,NA,NA,NA,NA,NA,Page 7,GDP reductions are more severe in low-exposure countries over time.
9,Mortality,United States,Temperature impacts,2024,NA,NA,0,NA,NA,NA,NA,NA,Page 7,Temperature-induced mortality shows adaptation in hotter locations.
10,Maize yields,United States,Temperature impacts,2024,NA,NA,0,NA,NA,NA,NA,NA,Page 7,Limited adaptation observed in maize yields under temperature changes.
11,Income,United States,Temperature impacts,2024,NA,NA,0,NA,NA,NA,NA,NA,Page 7,County-level income losses from high temperatures have not changed over time.
12,GDP,Global,Wealth and temperature impacts,2024,NA,NA,0,NA,NA,NA,NA,NA,Page 7,GDP reductions are less severe in richer nations but not statistically different from poorer nations.
13,Income,Global,,2100,Optimal Temp,%,-23,NA,NA,NA,NA,NA,10,
14,GDP growth,Global,,2010,Optimal Temp,percentage points,0.002,NA,NA,NA,NA,NA,10,Between 1980 and 2010
15,GDP growth,Global,,2100,Optimal Temp,percentage points,-0.28,NA,NA,NA,NA,NA,10,Between 2010 and 2100
16,Income growth,USA,,2100,Optimal Temp,percentage points,-0.06,NA,NA,NA,NA,NA,10,
17,Income growth,USA,,2100,Optimal Temp,percentage points,-0.16,NA,NA,NA,NA,NA,10,
18,GDP growth,Global,,2008,No Cyclones,percentage points,-1.27,NA,NA,NA,NA,NA,10,Between 1970 and 2008
19,Damages,Global,,2090,No Cyclones,trillion USD,9.7,NA,NA,NA,NA,NA,10,Net present value
20,Total factor productivity,China,,2050,50-60°F,%,-4.18,NA,NA,NA,NA,NA,10,
21,Total factor productivity,China,,2007,50-60°F,%,-31,NA,NA,NA,NA,NA,10,Average between 1998 and 2007
22,GDP Growth Rate,United States,BAU,2100,No CC,percentage points year−1,-0.12,NA,NA,NA,NA,NA,12,"Projected impact of future climate changes, relative to a counterfactual of no climate change."
23,GDP Growth Rate,Globally,BAU,2100,No CC,percentage points year−1,-0.28,NA,NA,NA,NA,NA,12,"Projected impact of future climate changes, relative to a counterfactual of no climate change."
24,Global average GDP growth,Globally,Warming,1980,1980 Baseline,percentage points per year,-0.002,NA,NA,NA,NA,NA,12,
25,Economic growth,Globally,Temp & Cyclones,2100,Low-conflict,percentage points year−1,-1.3,NA,NA,NA,NA,NA,12,Due to tropical cyclones
26,Economic growth,Globally,Temp & Cyclones,2100,Low-conflict,percentage points year−1,-0.25,NA,NA,NA,NA,NA,12,Due to temperature
27,Total costs due to cyclones,Globally,Modern Climates,2100,NA,trillion dollars,-9.7,NA,NA,NA,NA,NA,12,Present discounted value
