,Outcome,Region,Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,Employment,Puerto Rico,Historical,2019,No hurricane,%,-0.5,NA,NA,NA,NA,NA,Page 1,Average decrease after hurricane
1,Employment,Puerto Rico,Historical,1995,Pre-hurricane,%,-0.5,NA,NA,NA,NA,NA,2,Average fall in employment after about six months post-hurricane.
2,Wages,Puerto Rico,Historical,1995,Pre-hurricane,%,0,NA,NA,NA,NA,NA,2,"Average weekly wages increase after six months post-hurricane, but the increase is not statistically significant."
3,Employment,Puerto Rico,Historical,1995,Pre-hurricane,NA,0,NA,NA,NA,NA,NA,2,Construction of Buildings (NAICS 236) and Specialty Trade Contractors (NAICS 238); Employment increases
4,Employment,Puerto Rico,Historical,1995,Pre-hurricane,NA,0,NA,NA,NA,NA,NA,2,Accommodation (NAICS 721) and Scenic and Sightseeing Transportation (NAICS 487); Employment decreases
5,Hurricane Exposure Index,Puerto Rico,Historical,2017,No hurricane,index,0.004,0.057,NA,NA,NA,NA,Page 4,"Monthly Data, Mean Exposure"
6,Hurricane Exposure Index,Puerto Rico,Historical,2017,No hurricane,index,0.084,0.242,NA,NA,NA,NA,Page 4,"Monthly Data, Mean Exposure given Exposure > 0"
7,Hurricane Exposure Index,Puerto Rico,Historical,2017,No hurricane,index,0.013,0.098,NA,NA,NA,NA,Page 4,"Quarterly Data, Mean Exposure"
8,Hurricane Exposure Index,Puerto Rico,Historical,2017,No hurricane,index,0.092,0.253,NA,NA,NA,NA,Page 4,"Quarterly Data, Mean Exposure given Exposure > 0"
9,Employment,Puerto Rico,Historical,2017,No CC,%,-0.5,NA,95%,NA,95%,NA,Page 7,Employment decreases by 0.5% six months after an average hurricane impact.
10,Construction Employment,US Counties,Historical,2009,Pre-Hurricane,Percent,25,NA,NA,NA,NA,NA,10,Refers to Strobl and Walsh (2009) estimates.
