,Outcome,Region,Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,Premature deaths,California,Wildfire PM2.5 exposure,2013,No wildfire PM2.5,deaths,52480,NA,NA,NA,NA,55710,1,"Total premature deaths attributable to wildland fire PM2.5 over the 11-year period (2008-2018), so using the middle year as representative"
1,Economic Impact,California,Wildfire PM2.5 exposure,2013,No wildfire PM2.5,USD billion,432,NA,NA,NA,NA,456,1,"Economic impact associated with premature deaths over the 11-year period (2008-2018), so using the middle year as representative"
2,Premature deaths,California,Historical,2018,No CC,deaths/year,3600,NA,NA,NA,NA,NA,Page 2,"More than 3600 deaths were attributed to California wildfires in 2018, with total damages reported at more than $148 billion."
3,Mortality,California,Base case,2018,No cap,deaths / year,12850,NA,2.5%,1150,97.5%,23730,Page 3,"The reported mortality is the highest observed for the base case scenario with no data capping, reflecting the year with the highest number of wildfire acres burned during the analysis period."
4,Mortality,California,Mod cap,2018,Capped at 99.9th percentile,deaths / year,55290,NA,2.5%,4610,97.5%,98340,Page 3,"This is the total mortality for the entire 2008-2018 period under the modified cap scenario, showing the impact when extreme values are excluded."
5,Mortality,California,Using chronic PM2.5 β,2018,No cap,deaths / year,36140,NA,2.5%,24740,97.5%,44320,Page 3,"This estimate is about 35% lower than the projection using the wildfire-specific dose-response value, demonstrating variability in mortality when using a general PM2.5 coefficient."
6,Premature deaths,California,Historical wildfire PM2.5,2018,No CC,deaths,55710,NA,2.5%,4960,97.5%,103410,Page 5,The result represents the upper end of the range for the period from 2008 to 2018; 2018 is highlighted as a high-impact year.
7,Economic impact,California,Historical wildfire PM2.5,2018,No CC,billion USD,456,NA,2.5%,40.6,97.5%,847,Page 5,The economic valuation reflects associated costs of premature deaths.
8,Premature deaths,California,Base case,2018,No wildfires,deaths,12150,NA,NA,NA,NA,NA,6,From wildfire PM2.5 exposure
9,Premature deaths,California,Mod cap,2018,No wildfires,deaths,12850,NA,NA,NA,NA,NA,6,From wildfire PM2.5 exposure
10,Premature deaths,California,Historical,2013,No wildfire PM2.5,deaths,52480,NA,NA,NA,NA,55710,9,"Attributable to fire-only PM2.5 exposures; average over 2008-2018, using midpoint as representative year."
11,Economic impact,California,Historical,2013,No wildfire PM2.5,billion USD,432,NA,NA,NA,NA,456,9,"Associated with premature deaths from fire-only PM2.5 exposures; average over 2008-2018, using midpoint as representative year."
