,Outcome,Region,Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,Biomass,NA,Control 2020,2020,No CC,g DM,14.4,3.61,NA,NA,NA,NA,5,Observed biomass under control conditions (2020).
1,Biomass,NA,Control 2050,2050,Control 2020,g DM,10.2,3.61,NA,NA,NA,NA,5,Projected biomass under control conditions (2050).
2,Biomass,NA,2050 + flood,2050,Control 2020,g DM,8.6,3.61,NA,NA,NA,NA,5,Projected biomass under flood conditions (2050).
3,Biomass,NA,2050 + drought,2050,Control 2020,g DM,6.0,3.61,NA,NA,NA,NA,5,Projected biomass under drought conditions (2050).
4,Biomass,NA,2050 + heat shock,2050,Control 2020,g DM,5.8,3.61,NA,NA,NA,NA,5,Projected biomass under heat shock conditions (2050).
5,Chlorophyll,Local,2050,2050,No CC,% of control,-18.33,2.90,NA,NA,NA,NA,Page 6,Chlorophyll content decreases from 11.12 (2020 control) to 9.08 (2050).
6,Chlorophyll,Local,2050+flood,2050,No CC,% of control,-44.33,2.90,NA,NA,NA,NA,Page 6,Chlorophyll content decreases further under 2050+flood conditions from 11.12 to 6.19.
7,Fv/Fm,Local,2050+drought,2050,No CC,Ratio,-0.03,0.05,NA,NA,NA,NA,Page 6,Optimal efficiency of photosystem II slightly decreases from 0.81 (2020 control) to 0.78.
8,Crude Protein,Local,2050+drought,2050,No CC,% of DM,2.68,3.72,NA,NA,NA,NA,Page 6,Crude protein percentage increases significantly under drought conditions from 23.2 to 26.7.
9,Dry Matter,Local,2050,2050,No CC,% of DM,-2.5,3.42,NA,NA,NA,NA,Page 6,Dry matter percentage decreases slightly from 15.6 (2020 control) to 13.1 (2050 prediction).
10,Dry Matter,Local,2050+drought,2050,No CC,% of DM,2.7,3.42,NA,NA,NA,NA,Page 6,"Under drought conditions, dry matter percentage increases to 18.3 compared to 2020."
11,NDF,Local,2050,2050,No CC,% of DM,4.0,4.5,NA,NA,NA,NA,Page 6,Neutral detergent fiber percentage increases from 36.0 (2020 control) to 40.0.
