,Outcome,Region,Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,GDP per capita,World,RCP N/A,2100,No CC,percent,-7,NA,NA,NA,NA,NA,1,persistent increase in average global temperature by 0.04 ◦C per year
1,GDP per capita,World,Paris Agreement Goals,2100,No CC,percent,-1,NA,NA,NA,NA,NA,1,temperature increase limited to 0.01 ◦C per annum
2,GDP per capita,World,RCP N/A,2100,No CC,percent,-13,NA,NA,NA,NA,NA,1,country-specific variability of climate conditions were to rise commensurate with annual temperature increases of 0.04 ◦C
3,GDP per capita growth,Global,Temp Rise,2023,Historical Norm,percentage points/year,-0.0543,NA,NA,NA,NA,NA,3,
4,GDP per capita,Global,RCP 8.5,2100,No CC,%,-7.22,NA,NA,NA,NA,NA,3,Reflects impact of 0.04°C annual temperature increase.
5,GDP per capita,Global,"RCP 8.5, High Var",2100,No CC,%,-13.11,NA,NA,NA,NA,NA,3,
6,GDP per capita,Global,Paris Agreement,2100,No CC,%,-1.07,NA,NA,NA,NA,NA,3,Reflects impact of 0.01°C annual temperature increase.
7,GDP per capita,United States,RCP 8.5,2100,No CC,%,-10.52,NA,NA,NA,NA,NA,3,
8,GDP per capita,United States,RCP 8.5,2100,No CC,%,-6.66,NA,NA,NA,NA,NA,Highlights,Lower bound from paper's estimates
9,GDP per capita,United States,RCP 8.5,2100,No CC,%,-14.32,NA,NA,NA,NA,NA,Highlights,Upper bound from paper's estimates
10,GDP per capita growth,Global,"Temp Dev, Spec1, FE",2014,Historical Norms,% change / degree C deviation,-0.373,0.141,NA,NA,NA,NA,6,̂𝜃𝛥̃𝑇𝑖𝑡(𝑚)+
11,GDP per capita growth,Global,"Temp Dev, Spec1, HPJ-FE",2014,Historical Norms,% change / degree C deviation,-0.566,0.209,NA,NA,NA,NA,6,̂𝜃𝛥̃𝑇𝑖𝑡(𝑚)+
12,GDP per capita growth,Global,"Temp Dev, Spec1, FE",2014,Historical Norms,% change / degree C deviation,-0.583,0.195,NA,NA,NA,NA,6,̂𝜃𝛥̃𝑇𝑖𝑡(𝑚)+
13,GDP per capita growth,Global,"Temp Dev, Spec1, HPJ-FE",2014,Historical Norms,% change / degree C deviation,-0.894,0.291,NA,NA,NA,NA,6,̂𝜃𝛥̃𝑇𝑖𝑡(𝑚)+
