,Outcome,Country(ies),Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,Global economic growth,Global,Current climate,2016,No CC,percentage points year−1,-0.25,NA,NA,NA,NA,NA,Page 1,Slowing of global economic growth due to current temperature climatologies.
1,Global economic growth,Global,Future warming scenario,2100,No CC,percentage points year−1,-0.28,NA,NA,NA,NA,NA,Page 1,Additional slowing of global economic growth projected from future warming.
2,US maize yields,US,Warming trends since 1980,2016,Pre-1980,%,-48,NA,NA,NA,NA,NA,Page 1,Temperature depresses current U.S. maize yields.
3,Conflict risk,Africa,Warming trends since 1980,2016,Pre-1980,%,11,NA,NA,NA,NA,NA,Page 1,Warming trends since 1980 elevated conflict risk in Africa.
4,GDP,Low cyclone exp.,Unspecified,2016,No cyclones,Unspecified,-1,NA,NA,NA,NA,NA,Page 7,Negative effects of cyclones on GDP in countries with low historical cyclone experience.
5,GDP,Rich Nations,Unspecified,2016,Poor Nations,Unspecified,-1,NA,NA,NA,NA,NA,Page 7,GDP reductions are slightly less severe in rich nations than in poor ones but not statistically different.
6,Income,Global,Unspecified,2010,Optimal temperature,percentage points,-0.25,NA,NA,NA,NA,NA,Table 1,Impact on annual global growth rate between 1980 and 2010
7,Income,Global,Unspecified,2100,Optimal temperature,%,-23,NA,NA,NA,NA,NA,Table 1,Projected impact on global GDP by 2100
8,Income,Global,Unspecified,2100,2010,percentage points,-0.28,NA,NA,NA,NA,NA,Table 1,Projected impact on global annual growth rate between 2010 and 2100
9,Income,USA,Unspecified,2100,Optimal temperature,percentage points,-0.06,NA,NA,NA,NA,0.16,Table 1,Projected impact on the U.S. annual growth rate
10,GDP growth,Global,Unspecified,2008,No CC,percentage points,-1.27,NA,NA,NA,NA,NA,Table 1,Impact on global annual growth rate between 1970 and 2008
11,Total factor productivity,China,Unspecified,2050,50-60°F,percentage points,-4.18,NA,NA,NA,NA,NA,Table 1,Impact on annual TFP
12,Mortality Rate,USA,A1F1,2100,No CC,%,3,NA,NA,NA,NA,NA,Page 11,Predicted climate change increases annual mortality rates by 3%
13,Energy Use,USA,A1F1,2100,No CC,%,11,NA,NA,NA,NA,NA,Page 11,Predicted climate change increases annual energy use by 11%
14,GDP Growth,United States,Current Climate,2023,Coolest,% points,-1.7,NA,NA,NA,NA,NA,Page 12,Impact of temperature on GDP growth in the US
15,Global GDP Growth,Global,Current Climate,2023,No CC,% points/year,-0.28,NA,NA,NA,NA,NA,Page 12,Impact of current climate conditions on global GDP growth
16,Global GDP Growth,Global,Warming Trends Since 1980,1980,No CC,% points/year,-0.002,NA,NA,NA,NA,NA,Page 12,Warming since 1980 and its impact on global GDP growth
17,Electricity Consumption,United States,Projected End-of-Century,2100,No CC,%,11,NA,NA,NA,NA,NA,Page 12,Projected increase in electricity consumption by end of century
18,Mortality Rate,United States,Projected End-of-Century,2100,No CC,%,3,NA,NA,NA,NA,NA,Page 12,Projected increase in mortality rates by end of century
19,Crop Yields,United States,Projected Future 2050,2050,No CC,%,-17.5,NA,NA,NA,NA,NA,Page 12,Projected decline in crop yields by 2050 in the US
20,Crop Yields,Africa,Projected 2050,2050,No CC,%,-19.5,NA,NA,NA,NA,NA,Page 12,"Projected decline in African crop yields for maize, sorghum, millet, and groundnuts by 2050"
21,Armed Conflict,Africa,Projected 2030,2030,No CC,%,50,NA,NA,NA,NA,NA,Page 12,Projected increase in armed conflict by 2030 in Africa due to climate change
