,Outcome,Region,Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,Economic Damage,East Coast,Anthropogenic Climate Change,2012,No CC,USD,8.1E+09,NA,5%,4.7E+09,95%,1.4E+10,1,Attributable to climate-mediated anthropogenic sea level rise
1,People Affected by Flooding,East Coast,Anthropogenic Climate Change,2012,No CC,people,71000,NA,5%,40000,95%,131000,1,Additional people affected by flooding due to climate-mediated anthropogenic sea level rise
2,Sea Level Rise,Global,Central,2012,1900,cm,9.8,NA,5%,6.4,95%,13.7,2,Budget-based attribution
3,Sea Level Rise,New York City,Central,2012,1900,cm,8.9,NA,5%,5.2,95%,13.1,2,Budget-based attribution
4,Sea Level Rise,Global,Budget Low,2012,No CC,cm,7.0,NA,5%,4.1,95%,10.4,3,Based on observed HadCRUT4 global temperature record
5,Sea Level Rise,Global,Budget Medium,2012,No CC,cm,9.8,NA,5%,6.4,95%,13.7,3,Based on observed HadCRUT4 global temperature record
6,Sea Level Rise,Global,Budget High,2012,No CC,cm,12.6,NA,5%,8.7,95%,17.1,3,Based on observed HadCRUT4 global temperature record
7,Sea Level Rise,Global,Stable Temp,2012,No CC,cm,10.4,NA,5%,7.3,95%,14.3,3,Based on observed HadCRUT4 global temperature record
8,Sea Level Rise,Global,Cooling Temp,2012,No CC,cm,14.3,NA,5%,7.8,95%,20.0,3,Based on observed HadCRUT4 global temperature record
9,Sea Level Rise,Global,CMIP5 Temp,2012,No CC,cm,12.7,NA,5%,5.4,95%,21.7,3,Based on observed HadCRUT4 global temperature record
10,Sea Level Rise,Global,Semi-empirical,2012,No CC,cm,12.0,NA,5%,7.3,95%,19.0,3,Based on observed HadCRUT4 global temperature record
11,Sea Level Rise,Global,Total Ensemble,2012,No CC,cm,10.5,NA,5%,6.6,95%,17.1,3,Based on observed HadCRUT4 global temperature record
12,Sea Level Rise,New York,Budget Low,2012,No CC,cm,6.1,NA,5%,3.3,95%,9.5,3,Based on observed HadCRUT4 global temperature record
13,Sea Level Rise,New York,Budget Medium,2012,No CC,cm,8.9,NA,5%,5.2,95%,13.1,3,Based on observed HadCRUT4 global temperature record
14,Sea Level Rise,New York,Budget High,2012,No CC,cm,11.6,NA,5%,6.7,95%,17.0,3,Based on observed HadCRUT4 global temperature record
15,Sea Level Rise,New York,Stable Temp,2012,No CC,cm,9.4,NA,5%,6.6,95%,13.0,3,Based on observed HadCRUT4 global temperature record
16,Sea Level Rise,New York,Cooling Temp,2012,No CC,cm,13.0,NA,5%,7.1,95%,18.2,3,Based on observed HadCRUT4 global temperature record
17,Sea Level Rise,New York,CMIP5 Temp,2012,No CC,cm,11.5,NA,5%,4.9,95%,19.7,3,Based on observed HadCRUT4 global temperature record
18,Sea Level Rise,New York,Semi-empirical,2012,No CC,cm,10.9,NA,5%,6.6,95%,17.3,3,Based on observed HadCRUT4 global temperature record
19,Sea Level Rise,New York,Total Ensemble,2012,No CC,cm,9.6,NA,5%,5.6,95%,15.6,3,Based on observed HadCRUT4 global temperature record
20,Population,Tri-State Area,Observed,2012,No CC,thousands,70.6,NA,5%,40.4,95%,131.0,Page 5,Additional population affected by flooding attributable to ASLR from Hurricane Sandy
21,Housing,Tri-State Area,Observed,2012,No CC,thousands,36.3,NA,5%,20.6,95%,65.8,Page 5,Additional housing units affected by flooding attributable to ASLR from Hurricane Sandy
22,Damage,Tri-State Area,Observed,2012,No CC,$Billions,8.1,NA,5%,4.7,95%,14.0,Page 5,Damage attributable to ASLR from Hurricane Sandy
23,Population,New York,Observed,2012,No CC,thousands,45.0,NA,5%,25.6,95%,74.5,Page 5,Additional population affected by flooding attributable to ASLR from Hurricane Sandy
24,Housing,New York,Observed,2012,No CC,thousands,18.9,NA,5%,10.7,95%,31.2,Page 5,Additional housing units affected by flooding attributable to ASLR from Hurricane Sandy
25,Damage,New York,Observed,2012,No CC,$Billions,4.2,NA,5%,2.4,95%,6.7,Page 5,Damage attributable to ASLR from Hurricane Sandy
26,Population,New Jersey,Observed,2012,No CC,thousands,24.5,NA,5%,14.2,95%,54.6,Page 5,Additional population affected by flooding attributable to ASLR from Hurricane Sandy
27,Housing,New Jersey,Observed,2012,No CC,thousands,16.7,NA,5%,9.5,95%,33.5,Page 5,Additional housing units affected by flooding attributable to ASLR from Hurricane Sandy
28,Damage,New Jersey,Observed,2012,No CC,$Billions,3.7,NA,5%,2.2,95%,7.0,Page 5,Damage attributable to ASLR from Hurricane Sandy
29,Population,Connecticut,Observed,2012,No CC,thousands,1.1,NA,5%,0.62,95%,1.9,Page 5,Additional population affected by flooding attributable to ASLR from Hurricane Sandy
30,Housing,Connecticut,Observed,2012,No CC,thousands,0.62,NA,5%,0.35,95%,1.1,Page 5,Additional housing units affected by flooding attributable to ASLR from Hurricane Sandy
31,Damage,Connecticut,Observed,2012,No CC,$Billions,0.18,NA,5%,0.10,95%,0.30,Page 5,Damage attributable to ASLR from Hurricane Sandy
