,Outcome,Region,Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,Maximum Daily Precipitation,"NJ, NY, CT",Historical,2021,1970,cm/day,7.4,NA,NA,NA,NA,NA,Page 4,Average annual maximum daily precipitation 1970-2021
1,Storm Surge,"NJ, NY, CT",Historical,2021,1970,m MSL,1.57,NA,NA,NA,NA,NA,Page 4,Average annual maximum storm surge 1970-2021
2,NFIP Claims,"NJ, NY, CT",Historical,2021,1979,claims/year,3476,NA,NA,NA,NA,NA,Page 4,Average annual number of flood insurance claims 1979-2021
3,NFIP Claims,"NJ, NY, CT",Historical,2021,1979,USD/year,112000000,NA,NA,NA,NA,NA,Page 4,Average annual claim total 1979-2021
4,NFIP Claims,"NJ, NY, CT",Historical,2012,No CC,claims,75247,NA,NA,NA,NA,NA,Page 4,Claims due to rainfall and storm surge from Hurricane Sandy
5,NFIP Claims,"NJ, NY, CT",Historical,2012,No CC,USD,4860000000,NA,NA,NA,NA,NA,Page 4,Reported NFIP claims after Hurricane Sandy
6,NFIP Policies,"NJ, NY, CT",Historical,2013,No CC,policies,182530,NA,NA,NA,NA,NA,Page 4,Maximum flood insurance policies held
7,NFIP Policies,"NJ, NY, CT",Historical,2021,No CC,policies,144954,NA,NA,NA,NA,NA,Page 4,Number of flood insurance policies held in 2021
8,Housing Prices,Hudson/Long Island/NJ,Future Climate Change,2023,Pre-Sandy,%,6,NA,NA,NA,NA,NA,7,Lower bound of HP not corrected to true flood risk profile
9,Housing Prices,Hudson/Long Island/NJ,Future Climate Change,2023,Pre-Sandy,%,13,NA,NA,NA,NA,NA,7,Upper bound of HP not corrected to true flood risk profile
10,Housing prices,"NJ, NY, CT",Hurricane Sandy,2013,Pre-Sandy,relative change,-0.01,NA,NA,NA,NA,NA,8,"Home values saw a relative drop after initial rise, but the actual value is not specified; assuming a small drop"
11,Housing prices,"NJ, NY, CT",NFIP Policy Change,2014,Pre-policy change,relative change,-0.01,NA,NA,NA,NA,NA,8,NFIP policy changes correlate with home value declines; assuming a small decline.
12,Home values,NJ/NY/CT Coast,Post-Sandy,2013,Pre-Sandy,%,-1,NA,NA,NA,NA,NA,Page 9,General sustained decline after Sandy; value is illustrative of a decline.
