,Outcome,Region,Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,Yield,Eastern Nebraska,Historical,2020,Rainfed Rotation,kg m-2,0.26,NA,NA,NA,NA,NA,7,Maize irrigated continuous yield was 1.11 kg m-2; Irrigated rotation yield was 1.17 kg m-2; rainfed rotation yield was 0.85 kg m-2. Soybean yield for irrigated rotation was 0.38 kg m-2 and rainfed 0.33 kg m-2
1,Evapotranspiration,Eastern Nebraska,Historical,2020,Rainfed Rotation,mm,62,NA,NA,NA,NA,NA,7,Seasonal ET: Irrigated continuous maize was 534 mm; Irrigated rotation was 527 mm; Rainfed rotation was 465 mm. Soybean irrigated rotation was 470 mm; Rainfed 446 mm
2,Water Productivity,Eastern Nebraska,Historical,2020,Rainfed Maize Rotation,kg m-3,0.41,NA,NA,NA,NA,NA,7,Irrigated maize rotation WP: 2.23 kg m-3; Irrigated continuous maize 2.08 kg m-3; Rainfed maize rotation 1.82 kg m-3. Soybean: irrigated WP: 0.81 kg m-3; Rainfed 0.75 kg m-3
3,Yield,Eastern Nebraska,Historical,2020,Irrigated,kg m-2,-0.26,0.12,NA,NA,NA,NA,8,Rainfed maize-soybean rotation compared to Irrigated continuous maize
4,Yield,Eastern Nebraska,Historical,2020,Irrigated,kg m-2,-0.32,0.12,NA,NA,NA,NA,8,Rainfed maize-soybean rotation compared to Irrigated maize-soybean rotation
5,Evapotranspiration,Eastern Nebraska,Historical,2020,Irrigated,mm,-69,20,NA,NA,NA,NA,8,Rainfed maize-soybean rotation compared to Irrigated continuous maize
6,Evapotranspiration,Eastern Nebraska,Historical,2020,Irrigated,mm,-62,20,NA,NA,NA,NA,8,Rainfed maize-soybean rotation compared to Irrigated maize-soybean rotation
7,Water Productivity,Eastern Nebraska,Historical,2020,Irrigated,kg m-3,-0.26,0.24,NA,NA,NA,NA,8,Rainfed maize-soybean rotation compared to Irrigated continuous maize
8,Water Productivity,Eastern Nebraska,Historical,2020,Irrigated,kg m-3,-0.41,0.24,NA,NA,NA,NA,8,Rainfed maize-soybean rotation compared to Irrigated maize-soybean rotation
9,Yield,Eastern Nebraska,Historical,2020,Irrigated,kg m-2,-0.05,0.04,NA,NA,NA,NA,8,Rainfed soybean compared to Irrigated maize-soybean rotation
10,Evapotranspiration,Eastern Nebraska,Historical,2020,Irrigated,mm,-24,34,NA,NA,NA,NA,8,Rainfed soybean compared to Irrigated maize-soybean rotation
11,Water Productivity,Eastern Nebraska,Historical,2020,Irrigated,kg m-3,-0.06,0.09,NA,NA,NA,NA,8,Rainfed soybean compared to Irrigated maize-soybean rotation
12,Water Productivity,Eastern Nebraska,Historical,2010,Rainfed Site,correlation coefficient,0.67,NA,NA,NA,NA,NA,Page 10,Correlation between Water Input and Water Productivity (WP); Approximate midpoint of 2001-2020 used for Year.
13,Yield,Eastern Nebraska,Historical,2010,Rainfed Site,correlation coefficient,0.79,NA,NA,NA,NA,NA,Page 10,Correlation between Water Input and Yield; Approximate midpoint of 2001-2020 used for Year.
14,Water Productivity,US Midwest,Historical data,2020,No CC,%,-150,NA,NA,NA,NA,NA,More Notes,Decline in WP due to climate change in *irrigated* systems
15,Water Productivity,US Midwest,Historical data,2020,No CC,%,-54,NA,NA,NA,NA,NA,More Notes,Decline in WP due to climate change in *rainfed* systems
16,Maize WP,Eastern Nebraska,No specific scenario,2020,No CC,Percent,-150,NA,NA,NA,NA,NA,Page 12,Expected decline in maize WP in irrigated systems due to future climate change.
17,Maize WP,Eastern Nebraska,No specific scenario,2020,No CC,Percent,-54,NA,NA,NA,NA,NA,Page 12,Expected decline in maize WP in rainfed systems due to future climate change.
