,Outcome,Region,Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,Extreme Precipitation,Midwest and Ohio Valley,EOC4.5,2100,HIST,%,1,NA,NA,NA,NA,NA,1,"December-May, statistically significant increases"
1,Extreme Precipitation,Midwest and Ohio Valley,EOC8.5,2100,HIST,%,1,NA,NA,NA,NA,NA,1,"December-May, statistically significant increases"
2,Extreme Precipitation,Southern Great Plains,EOC4.5,2100,HIST,%,-1,NA,NA,NA,NA,NA,1,"December-February, statistically significant decreases"
3,Extreme Precipitation,Southern Great Plains,EOC8.5,2100,HIST,%,-1,NA,NA,NA,NA,NA,1,"December-February, statistically significant decreases"
4,Precipitation Extremes,CONUS Cities,EOC4.5,2100,HIST,%,1,NA,NA,NA,NA,NA,1,For eight climatologically unique cities
5,Precipitation Extremes,CONUS Cities,EOC8.5,2100,HIST,%,1,NA,NA,NA,NA,NA,1,For eight climatologically unique cities
6,Return Period Precipitation,CONUS Cities,EOC4.5,2100,HIST,%,1,NA,NA,NA,NA,NA,1,For most cities examined
7,Return Period Precipitation,CONUS Cities,EOC8.5,2100,HIST,%,1,NA,NA,NA,NA,NA,1,For most cities examined
8,Flood Deaths,United States,HIST,2022,No CC,deaths/year,90,NA,NA,NA,NA,NA,1,Average flood deaths per year
9,Flood Disasters,United States,HIST,2022,No CC,$ (CPI-adjusted),4300000000,NA,NA,NA,NA,NA,1,Average monetary loss from billion-dollar flood disasters
10,Precipitation,CONUS,HIST,2022,No CC,Trend,1,NA,NA,NA,NA,NA,1,Statistically significant upward trend in precipitation over the last ;100 years
11,Precipitation,Midwest,HIST,2022,No CC,Trend,1,NA,NA,NA,NA,NA,1,Statistically significant upward trend in precipitation over the last ;100 years
12,Precipitation,Southeast,HIST,2022,No CC,Trend,1,NA,NA,NA,NA,NA,1,Statistically significant upward trend in precipitation over the last ;100 years
13,Precipitation,Northeast,HIST,2022,No CC,Trend,1,NA,NA,NA,NA,NA,1,Statistically significant upward trend in precipitation over the last ;100 years
14,99th Percentile Precipitation,Western CONUS,EOC8.5,2085,HIST,%,-50,NA,NA,NA,NA,NA,6,"March-May, Southwest and Intermountain West. Negative values."
15,Snowpack,Pacific Northwest,EOC4.5,2085,HIST,degrees C,2,NA,NA,NA,NA,NA,6,Temperature increase. Assuming 0 degree C isotherm remains low in elevation.
16,Snowpack,Pacific Northwest,EOC8.5,2085,HIST,degrees C,8,NA,NA,NA,NA,NA,6,Temperature increase. Assuming 0 degree C isotherm remains low in elevation.
17,99th Percentile Precipitation,Southern Great Plains,EOC8.5,2085,HIST,%,0,NA,NA,NA,NA,NA,6,"December-February, statistically significant decreases."
18,99th Percentile Precipitation,Southern Great Plains,EOC8.5,2085,HIST,%,0,NA,NA,NA,NA,NA,6,"March-May, statistically significant decreases."
19,Extreme Precipitation,Southeast,EOC4.5,2085,HIST,%,0,NA,NA,NA,NA,NA,6,"September-November, large areas of decrease but small areas of statistical significance."
20,Extreme Precipitation,Southeast,EOC8.5,2085,HIST,%,0,NA,NA,NA,NA,NA,6,"September-November, large areas of decrease but small areas of statistical significance."
21,Precipitation,Midwest and Ohio Valley,EOC8.5,2093,1998,percent,100,NA,NA,NA,NA,NA,Page 7,"99th percentile, March-May, stat. sig. increase"
22,Precipitation,Midwest,EOC8.5,2093,1998,percent,100,NA,NA,NA,NA,NA,Page 7,"99th percentile, Sept-Nov, stat. sig. increase"
23,Precipitation,Northeast,RCP4.5,2100,HIST,mm,20,NA,NA,NA,NA,NA,16,"99th percentile daily precipitation value, lower bound"
24,Precipitation,Northeast,RCP8.5,2100,HIST,mm,20,NA,NA,NA,NA,NA,16,"99th percentile daily precipitation value, lower bound"
25,Precipitation,Midwest,RCP4.5,2100,HIST,mm,20,NA,NA,NA,NA,NA,16,"99th percentile daily precipitation value, lower bound"
26,Precipitation,Midwest,RCP8.5,2100,HIST,mm,20,NA,NA,NA,NA,NA,16,"99th percentile daily precipitation value, lower bound"
27,Precipitation,Southeast,RCP4.5,2100,HIST,mm,20,NA,NA,NA,NA,NA,16,"99th percentile daily precipitation value, lower bound"
28,Precipitation,Southeast,RCP8.5,2100,HIST,mm,20,NA,NA,NA,NA,NA,16,"99th percentile daily precipitation value, lower bound"
29,Precipitation,Pacific Northwest,RCP4.5,2100,HIST,mm,20,NA,NA,NA,NA,NA,16,"99th percentile daily precipitation value, lower bound"
30,Precipitation,Pacific Northwest,RCP8.5,2100,HIST,mm,20,NA,NA,NA,NA,NA,16,"99th percentile daily precipitation value, lower bound"
