,Outcome,Country(ies),Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,GDP,Global,NA,2019,No CC,%,-3,NA,NA,NA,NA,NA,58,"Under- and malnourishment costs 3% of global GDP, and overweight and obesity another 2%. Climate change is not explicitly mentioned but malnutrition is exacerbated by climate shocks. Year is based on the reference to the World Bank Report."
1,Human Potential,DRC,NA,2023,Nutrition Interventions,NA,-1,NA,NA,NA,NA,NA,69,Refers to the long-term losses in human potential and incomes for poorer people due to inadequate nutrition.
2,Health System Costs,DRC,NA,2023,Scalable Interventions,NA,-1,NA,NA,NA,NA,NA,69,Refers to the fact that the cost of NCDs to the health system is significantly higher per unit than that of scalable interventions.
3,GHG Emissions,Global,NA,2023,NA,NA,-1,NA,NA,NA,NA,NA,69,Rapid reductions in anthropogenic GHG emissions across all sectors can reduce the negative impacts of climate change on food systems in the long term.
4,GDP,Africa (21 countries),NA,2021,NA,%, -2,NA,NA,NA,NA,NA,79,"Cost of Hunger in Africa series: Hunger and underrnutrition have cost countries between 2% and 17% of their GDP, likely estimated around 2021"
5,GDP,Africa (21 countries),NA,2021,NA,%, -17,NA,NA,NA,NA,NA,79,"Cost of Hunger in Africa series: Hunger and underrnutrition have cost countries between 2% and 17% of their GDP, likely estimated around 2021"
6,Undernourishment,World,Structural Interventions,2030,2020 Baseline,Millions,-314,NA,NA,NA,NA,NA,119,Reduction due to increased agrifood system efficiency.
7,Diet Affordability,World,Structural Interventions,2030,2020 Baseline,Millions,568,NA,NA,NA,NA,NA,119,Increase due to increased agrifood system efficiency.
8,Economic Access,World,Safety Nets,2030,No safety nets,Millions,-2400,NA,NA,NA,NA,NA,119,People without economic access after safety nets.
9,Cost: End Hunger,World,Various,2030,No action,% food markets,8,NA,NA,NA,NA,NA,119,Cost representing 8% of food markets.
10,Govt. Investment,World,Innovation Package,2030,No innovation,% total cost,45,NA,NA,NA,NA,NA,119,Combined large structural investment.
11,Safety Nets Cost,World,Innovation Package,2030,No innovation,% total cost,36,NA,NA,NA,NA,NA,119,Safety nets contribution to the total cost.
12,Redistribution,Countries w/o Action,No Action,2030,Action,Trillion USD,1.4,NA,NA,NA,NA,NA,119,Amount to redistribute to guarantee healthy diets.
13,Crop production,Low-income countries,Climate change,2019,No CC,%,-20,NA,NA,NA,NA,NA,439,Annual losses due to pests; range is 20-40%.
14,Yields,Global,1 degree Celsius warming,2030,No CC,%,-10,NA,NA,NA,95%,-25,439,Major grains; range is 10-25% per degree of warming.
15,Extinctions,Global,Restoration Scenario,2023,No restoration,%,-60,NA,NA,NA,NA,NA,490,Restoring 15% of converted lands in priority areas could avoid 60% of expected extinctions.
16,Carbon Sequestration,Global,Restoration Scenario,2023,No restoration,Gt CO2e,299,NA,NA,NA,NA,NA,490,Restoring 15% of converted lands in priority areas could sequester 299 Gt CO2e.
17,Hunger risk,Global,SSP3,2050,SSP1,people at risk (millions),183,NA,NA,NA,NA,NA,514,Impact under high emission and low adaptation scenario compared to low emission and high adaptation scenario
18,Micronutrient deficiency,Global,Higher emission,2050,No CC,people (millions),425,NA,NA,150,NA,600,514,"Projected range for people experiencing micronutrient deficiency, averaged to the midpoint"
19,Crop Production,Global,NA,1961,No CC,Total Factor Productivity (%),-21,NA,NA,NA,NA,NA,514,Reduction in total factor productivity of global agriculture since 1961
20,Cereal yields,Global,NA,2000,No CC,yields (%),-3.5,NA,NA,-2,NA,-5,514,"Average global reduction in cereal yields due to climate change, averaged to the midpoint, date estimated at the end of the study period"
21,Cereal yields,Europe,NA,2000,No CC,yields (%),-5,NA,NA,NA,NA,NA,514,"Regional study finding for cereal yield reduction in Europe, date estimated at the end of the study period"
22,Cereal yields,India,NA,2000,No CC,yields (%),-5,NA,NA,NA,NA,NA,514,"Regional study finding for wheat yield reduction in India, date estimated at the end of the study period"
23,Cereal yields,Africa & Asia,NA,2000,No CC,yields (%),-5,NA,NA,NA,NA,NA,514,"Regional study finding for maize yield reduction in Africa and Asia, date estimated at the end of the study period"
24,Cereal yields,W Africa,NA,2000,No CC,yields (%),-12.5,NA,NA,-5,NA,-20,514,"Regional study finding for millet and sorghum yield reduction in West Africa, averaged to the midpoint, date estimated at the end of the study period"
25,Cereal yields,E & S Europe,NA,2000,No CC,yields (%),-15,NA,NA,-5,NA,-25,514,"Regional study finding for maize yield reduction in Eastern and Southern Europe, averaged to the midpoint, date estimated at the end of the study period"
26,Vegetable Production,Global,Unspecified,2016,No CC,%,-4,NA,NA,NA,NA,NA,515,Estimated reduction due to climate change.
27,Fish Yield,Global,Unspecified,2019,No CC,%,-4,NA,NA,NA,NA,NA,515,Maximum sustainable yield.
28,Animal Biomass,Global,1°C Warming,2019,No Warming,%,-5,NA,NA,NA,NA,NA,515,Mean global reduction
29,Cereal Prices,Global,Shared Socio Pathway,2019,No CC,%,15,NA,NA,NA,NA,NA,516,Midpoint of projected increase.
30,Land restoration return,World,2015,2015,No land restoration,$/$ invested,3,NA,NA,NA,NA,6,521,Range depends on location; based on Nkonya et al. 2015
31,Global mortality reduction,World,NA,2050,Current mortality,%,6,NA,NA,NA,NA,19,521,"Reductions in mortality are due to shifting to healthy, sustainable diets and minimizing food waste"
32,GHG emission reduction,World,NA,2050,Current emissions,%,29,NA,NA,NA,NA,70,521,"Reductions in GHG emissions are due to shifting to healthy, sustainable diets and minimizing food waste"
33,Environmental costs,Global,Unspecified,2023,Unspecified,Trillion USD,7,NA,NA,4,NA,11,591,"Annual estimate, includes GHG emissions, land use change and air pollution"
34,Costs to human life,Global,Unspecified,2023,Unspecified,Trillion USD,11,NA,NA,3,NA,39,591,"Annual estimate, costs of unhealthy diets"
35,Economic costs,Global,Unspecified,2023,Unspecified,Trillion USD,1,NA,NA,0.2,NA,1.8,591,"Annual estimate, costs of unhealthy diets"
36,Total cost of food,Global,Unspecified,2023,Current market prices,Trillion USD,29,NA,NA,NA,NA,NA,591,True cost compared to a current market price of 9 trillion USD
37,Undernourishment,Global,COVID-19 impact,2030,No COVID-19,Millions of people,69,NA,NA,NA,NA,NA,640,Difference between 909 million and 840 million
38,People in Hunger,Global,Global GDP Decline (COVID-19),2020,No GDP Decline,Millions of people,100,NA,NA,NA,NA,NA,640,Lower bound estimate due to 4.9% GDP decline
39,People in Hunger,Global,Global GDP Decline (COVID-19),2020,No GDP Decline,Millions of people,194,NA,NA,NA,NA,NA,640,Upper bound estimate due to 10% GDP decline
40,Public Expenditure,Global,SDG2 & Climate,2030,Current,%,20,NA,NA,NA,NA,NA,673,Increase in agriculture & rural development needed by 2030 for ending hunger and climate goals.
41,Social Assistance,Global,SDG2 & Climate,2030,Current,%,12,NA,NA,NA,NA,NA,673,Increase in social assistance needed by 2030 for ending hunger and climate goals.
42,Agri Subsidies,Dev. Countries,NA,2020,Current,billion dollars,52,NA,NA,NA,NA,NA,673,Reallocation potential from harmful subsidies.
43,Fossil Fuel Subsidies,Global,Climate Pact,2026,Current,billion dollars,800,NA,NA,NA,NA,NA,673,Reallocation potential from phasing down subsidies.
44,Health Costs (NCDs),Global,Diet-related NCDs,2030,No action,US$ trillion/year,2.5,NA,NA,NA,NA,NA,896,Health costs linked to mortality and health impacts of NCDs.
45,GDP,Africa and Asia,Inadequate Nutrition,2019,No inadequate nutrition,%,-2,NA,NA,NA,NA,NA,896,Lower estimate of the drag on GDP from inadequate nutrition.
46,GDP,Africa and Asia,Inadequate Nutrition,2019,No inadequate nutrition,%,-11,NA,NA,NA,NA,NA,896,Upper estimate of the drag on GDP from inadequate nutrition.
47,Cost of Pollination Loss,Global,Biodiversity Loss,2019,No Biodiversity Loss,US$ billion/year,-235,NA,NA,NA,NA,NA,896,Lower estimate of the cost of global annual loss of pollinating insects.
48,Cost of Pollination Loss,Global,Biodiversity Loss,2019,No Biodiversity Loss,US$ billion/year,-577,NA,NA,NA,NA,NA,896,Upper estimate of the cost of global annual loss of pollinating insects.
49,GHG Emissions,Global,Food System,2030,Current Emissions,%,-41,NA,NA,NA,NA,NA,896,Lower estimate of potential GHG emissions reduction from transformed food systems.
50,GHG Emissions,Global,Food System,2030,Current Emissions,%,-74,NA,NA,NA,NA,NA,896,Upper estimate of potential GHG emissions reduction from transformed food systems.
51,Externalities,Global,Unspecified,2021,Unspecified,Trillion USD,4,NA,NA,NA,NA,NA,924,"Environmental externalities of food systems, approximate year based on citation"
52,Externalities,Global,Unspecified,2021,Unspecified,Trillion USD,3,NA,NA,NA,NA,NA,924,"Health externalities of food systems (lower bound), approximate year based on citation"
53,Externalities,Global,Unspecified,2021,Unspecified,Trillion USD,39,NA,NA,NA,NA,NA,924,"Health externalities of food systems (upper bound), approximate year based on citation"
54,True cost of food,Global,Unspecified,2021,Food Consumption Costs,Trillion USD,19.8,NA,NA,NA,NA,NA,924,"Environmental, health and economic externalities, compared to food consumption costs of 9 Trillion USD, approximate year based on citation"
