,Outcome,Region,Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,Temperature,Mexico,No specific scenario,2039,Baseline,°C,1.75,NA,NA,NA,NA,NA,Page 6,Average of 1.5 and 2 degrees.
1,GDP,Mexico,No specific scenario,2021,No CC,%,-9.5,NA,NA,NA,NA,NA,Page 6,"Average of -7% and -12%; IMF, 2021."
2,Corn Yields,Multiple States,No specific scenario,2100,Baseline,%,-35,NA,NA,NA,NA,NA,Page 6,Average of -30% and -40%.
3,Sea Level,North America,No specific scenario,2022,Baseline,cm,40,NA,NA,NA,NA,NA,Page 6,"Average of 20 and 60; IPCC, 2022 Ch. 14"
4,Ocean pH,Pacific Coast,No specific scenario,2022,Baseline,pH,-0.5,NA,NA,NA,NA,NA,Page 6,"Decrease in pH; IPCC, 2022 Ch. 14."
5,Weather-related Losses,North America,Observed,1980,No CC,US$,805000000000,NA,NA,NA,NA,NA,7,Total losses from storms since 1980.
6,Insured Losses,North America,Observed,1980,No CC,US$,454000000000,NA,NA,NA,NA,NA,7,Insured losses from storms since 1980.
7,Windstorm Damages,US,Observed,1980,No CC,US$,180000000000,NA,NA,NA,NA,NA,7,Windstorm damages from severe thunderstorms between 1980 and 2011.
8,Temperature,US,Observed,2012,20th Century Norm,°F,3.8,NA,NA,NA,NA,NA,7,Mean temperature in 2012 relative to the 20th century norm (2.1°C).
9,Temperature,US,Observed,2012,20th Century Norm,°C,2.1,NA,NA,NA,NA,NA,7,Mean temperature in 2012 relative to the 20th century norm (3.8°F).
10,Weather-related Losses,US,Observed,2011,No CC,%,15,NA,NA,NA,NA,NA,7,"Increase in total losses from severe weather events for heat waves, droughts, and wildfires compared to no climate change baseline. Since this is compared to increase for storms ending in 2011"
11,Suicide Rate,US Counties,NA,2018,No CC,%/degree C,0.7,NA,NA,NA,NA,NA,10,"Rate rise per 1 degree C increase in monthly average temperature; based on Obradovich et al., 2018"
12,Suicide Rate,Mexican Municipalities,NA,2018,No CC,%/degree C,2.1,NA,NA,NA,NA,NA,10,"Rate rise per 1 degree C increase in monthly average temperature; based on Obradovich et al., 2018"
13,Additional Suicides,United States and Mexico,RCP8.5,2050,No CC,suicides,24000,NA,5%,9000,95%,40000,Page 11,The study projects additional suicides resulting from unmitigated climate change.
14,Damages to Paved Roads,United States,RCP8.5,2090,No CC,USD,-20000000000,NA,NA,NA,NA,NA,Page 11,Annual damages from temperature- and precipitation-related damages.
15,Damages from Inland Flooding,United States,RCP8.5,2050,No CC,USD/Year,-1300000000,NA,NA,1200000000,NA,1400000000,Page 11,Annual average damages anticipated from inland flooding affecting bridges.
16,Road Maintenance Cost,Mexico,Not Specified,2050,No CC,USD,-3250000000,NA,NA,1500000000,NA,5000000000,Page 11,Additional national expenditure required for road maintenance due to climate change impacts.
17,Extreme Events Economic Cost,North America,NA,2020,No CC,Billion USD,239,NA,NA,NA,NA,NA,Page 12,"Direct economic costs from extreme events in North America estimated between 210-268 billion USD, so taking average."
18,SLR Tidal Flooding Increase,United States,NA,2023,Since 1950,Percent,233,NA,NA,NA,NA,NA,Page 12,Tidal flooding has increased by 233% in the past 20 years due to sea level rise (reporting current year). The range 210-268 was averaged.
19,SLR Increase,United States,NA,2023,Since 1950,cm,8,NA,NA,NA,NA,NA,Page 12,"Sea level has increased by 20 cm since 1950, with the last 20 years accounting for almost half (8 cm) of that increase (reporting current year)."
20,Adaptation Finance,Global,NA,2010,Dev Finance,%,33,NA,NA,NA,NA,NA,13,Funds committed to adaptation
21,Adaptation Finance,Global,NA,2010,"Dev Fin, Private",%,1.6,NA,NA,NA,NA,NA,13,Of adaptation finance
22,Adaptation Cost,Global,NA,2016,NA,billion USD/yr,140,NA,NA,NA,NA,NA,13,UNEP estimate
23,Adaptation Cost,Global,NA,2016,NA,billion USD/yr,300,NA,NA,NA,NA,NA,13,UNEP estimate
24,Adaptation Cost,Global,NA,2050,NA,billion USD/yr,280,NA,NA,NA,NA,NA,13,UNEP estimate
25,Adaptation Cost,Global,NA,2050,NA,billion USD/yr,500,NA,NA,NA,NA,NA,13,UNEP estimate
26,Climate Finance,Global,NA,2019,NA,%,24,NA,NA,NA,NA,NA,13,Committed by MDBs for Adaptation
