,Impacted Sector,Solution,Country(ies),Scenario,Quantification,Expression,Type of Value,Sample,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,Health,Air Conditioning,United States,MCA,Mortality Costs,AdaptationCost,Economic,Need,billion USD,6,NA,NA,NA,NA,NA,Page 3,Costs associated with 654 future summer PM2.5-related deaths due to increased air conditioning.
1,Health,Air Conditioning,United States,MCA,Mortality Costs,AdaptationCost,Economic,Need,billion USD,3,NA,NA,NA,NA,NA,Page 3,Costs associated with 315 future summer O3-related deaths due to increased air conditioning.
2,Power Sector,Air conditioning,United States,MCA-MCCO,Mortality Cost,AdaptationCost,Economic,Need,billion USD / yr,6,NA,NA,0,NA,12,Page 16,Impact of adaptation alone on PM2.5 related mortality
3,All,Any,United States,MCCO-PD,Mortality Cost,BaselineImpact,Economic,Need,billion USD / yr,120,NA,NA,12,NA,234,Page 16,Additional premature deaths caused by climate change alone
4,All,Any,United States,MCA-PD,Mortality Cost,BaselineImpact,Economic,Need,billion USD / yr,126,NA,NA,12,NA,246,Page 16,Total impact of climate and adaptation on premature deaths
5,Power sector,Adaptation,United States,MCA–MCCO,Mortality cost,MonetaryBenefits,Economic,Need,billion USD/year,6,NA,NA,NA,NA,NA,"PLOS Medicine, DOI: 10.1371/journal.pmed.1002599, Table 2",The annual mean incremental cost in mortality for PM2.5 due to mid-century building energy use was given in billions USD.
6,Power sector,Adaptation,United States,MCA–MCCO,Mortality cost,MonetaryBenefits,Economic,Need,billion USD/year,3,NA,NA,NA,NA,NA,"PLOS Medicine, DOI: 10.1371/journal.pmed.1002599, Table 2",The annual mean incremental cost in mortality for O3 due to mid-century building energy use was given in billions USD.
7,Health,Air Conditioning,United States,MCA-PD,MonetaryBenefits,MonetaryBenefits [billion USD / yr],Economic,Need,billion USD / yr,32.5,NA,NA,NA,NA,NA,Page 19,"Cost of premature mortality from all causes (average) related to O3 exposure, using MDA8 and non-accidental mortality from MDA8"
8,Health,Air Conditioning,United States,MCA vs MCCO,MonetaryBenefits,MonetaryBenefits [%],Economic,Need,%,8.0,NA,NA,NA,NA,NA,Page 19,Percentage of additional deaths in the MCA scenario that are attributable to adaptation (increased air conditioning) vs. climate change alone.
9,Health,Air Conditioning,United States,MCA vs MCCO,MonetaryBenefits,MonetaryBenefits [%],Economic,Need,%,8.7,NA,NA,NA,NA,NA,Page 19,Percentage increase in deaths above climate change impacts alone from adaptation via increased air conditioning.
10,Health,Air Conditioning,United States,MCA,AdaptationCost,AdaptationCost [million USD / yr],Economic,Need,million USD / yr,0,NA,NA,0,NA,45,Page 19,Range of cost estimates from morbidity impacts due to PM2.5 (lower and upper range).
11,Health,Air Conditioning,United States,MCA,AdaptationCost,AdaptationCost [million USD / yr],Economic,Need,million USD / yr,0,NA,NA,0,NA,39,Page 19,Range of cost estimates from morbidity impacts due to MDA8 O3 (lower and upper range).
12,Health,Air Conditioning,United States,MCA,AdaptationCost,AdaptationCost [million USD / yr],Economic,Need,million USD / yr,6,NA,NA,6,NA,18,Page 19,Range of cost estimates from morbidity impacts due to maximum daily 1-hour O3 (lower and upper range).
