,Outcome,Region,Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,Sea-level rise mitigation,Buck Island Reef,Moderate emissions,2100,reef erosion," ""m""",0.5,NA,NA,NA,NA,NA,1,Reefs can keep pace with ~0.5 m of sea level rise due to coral restoration by 2100 under moderate emissions.
1,Coral cover increase,Buck Island Reef,coral restoration,2100,No restoration,%,10,NA,NA,NA,NA,NA,1,optimistic scenarios projecting >10% coral cover increase by 2100
2,Reef accretion potential,Buck Island Reef,Current Conditions,2016,No CC,mm y^-1,-1.56,0.27,NA,NA,NA,NA,Page 2,"Reef accretion potential varied between -5.31 and 6.21 mm y^-1. Only five sites had positive reef-accretion potential, and reef-accretion potential was only positive on the southern reef crest."
3,Elevation change,Buck Island Reef,Future Projection,2100,Current Conditions,cm,1,10,NA,NA,NA,NA,Page 2,Projected elevation change of the southern reef crest by 2100.
4,Elevation change,Buck Island Reef,Future Projection,2100,Current Conditions,cm,-13.09,0.02,NA,NA,NA,NA,Page 2,"Bioerosion resulted in an average decrease in elevation by 2100, with bioerosion being the dominant process at 91% of sites."
5,Total Water Levels,Buck Island,Present,2023,Present,Meters,4.17,0.03,NA,NA,NA,NA,Page 4,"Avg max water level, tropical storm/Cat-1 hurricane, present bathymetry."
6,Total Water Levels,Buck Island,Present,2023,Present,Meters,4.94,0.02,NA,NA,NA,NA,Page 4,"Avg max water level, Cat-5 hurricane, present bathymetry."
7,Reef Elevation Change,Buck Island,Restoration,2100,No CC,Meters,-0.5,NA,NA,NA,NA,NA,Page 4,Restoration could reduce the elevation gap by this much.
8,Total Water Levels,Buck Island,High SLR,2100,No CC,Meters,0.81,0.03,NA,NA,NA,NA,Page 4,Restoration could reduce water levels under high SLR.
9,Reef elevation,Buck Island,Various SLR and storms,2100,Present-day,m,-0.12,NA,NA,NA,NA,NA,6,Most reef zones are projected to lose 0.12-0.23 m of elevation on average by 2100.
10,Reef elevation,Buck Island,Various SLR and storms,2100,Present-day,m,-0.23,NA,NA,NA,NA,NA,6,Most reef zones are projected to lose 0.12-0.23 m of elevation on average by 2100.
11,Total water levels,Buck Island,SLR and storms,2100,Reef degradation,m,-0.81,NA,NA,NA,NA,NA,6,Successful restoration could reduce total water levels by up to 0.81 m
12,Wave levels,Buck Island,SSP1-2.6 to SSP2-4.5,2100,SSP5-8.5,meters,0.2,NA,NA,NA,NA,NA,Page 8,Projected increase in wave-driven water levels during storms.
13,Water depths,Buck Island,SSP5-8.5,2100,No restoration,meters,0.30,NA,NA,NA,NA,NA,Page 8,"Without restoration, water depths at the reef crest are prevented from reaching the lowest sea-level rise predictions."
14,Coastal flooding,Buck Island,Pessimistic,2100,No restoration,binary,0,NA,NA,NA,NA,NA,Page 8,Restoration could prevent wave-driven increases in coastal flooding during storms.
15,Reef-accretion,Buck Island Reef,NA,2100,No CC,kg CaCO3 m^-2 y^-1,29.07,NA,NA,NA,NA,NA,Page 10,Conservative estimate.
