,Outcome,Region,Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,Economic Damages,United States,Multiple Scenarios,2090,No CC,USD,2.9e+12,NA,5%,5.1e+11,95%,1.2e+13,Page 1,Annual damages
1,Damages per capita,Southeast,Multiple Scenarios,2090,No CC,USD/person/year,9300,NA,5%,1800,95%,37000,Page 1,Mean value. All regions as defined in Fig. 5
2,Damages per capita,Southwest,Multiple Scenarios,2090,No CC,USD/person/year,6300,NA,5%,840,95%,27000,Page 1,Mean value. All regions as defined in Fig. 5
3,Temperature,Global,RFF-SPs,2100,1986-2005,°C,1.9,NA,2.5%,0.8,97.5%,3.5,1017,Average change in global mean surface temperature
4,Temperature,Global,RFF-SPs,2300,1986-2005,°C,3.1,NA,2.5%,-0.2,97.5%,7.8,1017,Average change in global mean surface temperature
5,Population,US,RFF-SP,2100,NA,millions,390,NA,5%,260,95%,520,1018,Population in 2100.
6,GDP per capita growth rates,US,RFF-SP,2100,NA,%,1.5,NA,5%,-0.4,95%,4.0,1018,GDP per capita growth rate in 2100.
7,Population,US,RFF-SP,2300,NA,millions,370,NA,5%,43,95%,1300,1018,Population in 2300.
8,GDP per capita growth rates,US,RFF-SP,2300,NA,%,0.9,NA,5%,-0.2,95%,3.4,1018,GDP per capita growth rate in 2300.
9,Economic damages,United States,RFF-SP,2090,No CC,billion USD/year,2900,NA,5%,510,95%,12000,Page 1021,Total economic damages in 2090 as projected by FrEDI model
10,Mortality (temperature),United States,RFF-SP,2090,No CC,deaths/year,50000,NA,5%,19000,95%,91000,Page 1021,Projected additional deaths due to climate-driven changes in temperature
11,Mortality (air quality),United States,RFF-SP,2090,No CC,deaths/year,5100,NA,5%,2100,95%,10000,Page 1021,Projected additional deaths due to climate-driven changes in air quality
12,Exposure to wildfire,United States,RFF-SP,2090,No CC,deaths/year,1100,NA,5%,460,95%,1700,Page 1021,Projected additional deaths due to climate-driven changes in exposure to wildfire smoke
13,Econ. impact (temperature),United States,RFF-SP,2090,No CC,trillion USD/year,2.3,NA,5%,0.31,95%,9.9,Page 1021,Mean economic valuation of premature mortality from temperature effects
14,Econ. impact (air quality),United States,RFF-SP,2090,No CC,billion USD/year,240,NA,5%,32,95%,1000,Page 1021,Mean economic valuation of premature mortality from air quality effects
15,High-tide flood impacts,United States,RFF-SP,2090,No CC,billion USD/year,140,NA,5%,110,95%,200,Page 1021,Economic valuation of transportation impacts from high-tide flooding
16,Lost labor hours,United States,RFF-SP,2090,No CC,billion USD/year,51,NA,5%,6.7,95%,210,Page 1021,Economic valuation of national labor hours lost due to climate impacts
17,Wildfire smoke health,United States,RFF-SP,2090,No CC,billion USD/year,51,NA,5%,8.1,95%,220,Page 1021,Economic valuation of health damages from wildfire smoke exposure and suppression costs
18,Coastal storm damages,United States,RFF-SP,2090,No CC,billion USD/year,28,NA,5%,12,95%,49,Page 1021,Economic damages to coastal properties from changes in tropical storm frequency and strength
19,Rail system damages,United States,RFF-SP,2090,No CC,billion USD/year,19,NA,5%,7.7,95%,45,Page 1021,Economic damages attributable to rail systems
20,Road system damages,United States,RFF-SP,2090,No CC,billion USD/year,17,NA,5%,6.6,95%,35,Page 1021,Economic damages attributable to road systems
21,Health damages from dust,United States,RFF-SP,2090,No CC,billion USD/year,18,NA,5%,2.5,95%,77,Page 1021,Health damages from climate-driven southwestern dust exposure
22,Valley fever incidence,United States,RFF-SP,2090,No CC,billion USD/year,14,NA,5%,2.0,95%,58,Page 1021,Projected economic burden from increased incidence of Valley fever
