,Outcome,Region,Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,Soil moisture,Global,NA,2005,Pre-industrial variability,%,16,NA,5%,NA,95%,NA,4000,Percentage of ice-free global land area outside the pre-industrial variability envelope
1,Soil Moisture Content,Global Ice-Free Land,PiControl,1850,No CC,kg/m²,390,NA,NA,NA,NA,NA,"4002, Fig 1a","Mean value, representative of climate conditions around 1850."
2,Regions Incr. Soil Moist.,Global,SSP1-2.6,2085,PiControl,Regions,27,NA,NA,NA,NA,NA,"Page 7, Figure 4",Average 2071-2100.
3,Regions Decr. Soil Moist.,Global,SSP1-2.6,2085,PiControl,Regions,16,NA,NA,NA,NA,NA,"Page 7, Figure 4",Average 2071-2100.
4,Regions Incr. Soil Moist.,Global,SSP2-4.5,2085,PiControl,Regions,23,NA,NA,NA,NA,NA,"Page 7, Figure 4",Average 2071-2100.
5,Regions Decr. Soil Moist.,Global,SSP2-4.5,2085,PiControl,Regions,20,NA,NA,NA,NA,NA,"Page 7, Figure 4",Average 2071-2100.
6,Regions Incr. Soil Moist.,Global,SSP3-7.0,2085,PiControl,Regions,22,NA,NA,NA,NA,NA,"Page 7, Figure 4",Average 2071-2100.
7,Regions Decr. Soil Moist.,Global,SSP3-7.0,2085,PiControl,Regions,21,NA,NA,NA,NA,NA,"Page 7, Figure 4",Average 2071-2100.
8,Regions Incr. Soil Moist.,Global,SSP5-8.5,2085,PiControl,Regions,23,NA,NA,NA,NA,NA,"Page 7, Figure 4",Average 2071-2100.
9,Regions Decr. Soil Moist.,Global,SSP5-8.5,2085,PiControl,Regions,20,NA,NA,NA,NA,NA,"Page 7, Figure 4",Average 2071-2100.
10,Land area departure,Global,SSP (various),2021,Pre-industrial,%,5,NA,NA,NA,NA,NA,Page 7,> 5% indicated
11,Permanent Dry Departures,Global,SSP1-2.6,2100,PiControl,Months,0,NA,NA,NA,NA,NA,Page 9,"The number of months with permanent dry departures is discussed qualitatively, but no specific numeric values are provided."
12,Permanent Wet Departures,Global,SSP1-2.6,2100,PiControl,Months,0,NA,NA,NA,NA,NA,Page 9,"The number of months with permanent wet departures is discussed qualitatively, but no specific numeric values are provided."
13,Permanent Dry Departures,Global,SSP3-7.0,2100,PiControl,Months,0,NA,NA,NA,NA,NA,Page 9,"The number of months with permanent dry departures is discussed qualitatively, but no specific numeric values are provided."
14,Permanent Wet Departures,Global,SSP3-7.0,2100,PiControl,Months,0,NA,NA,NA,NA,NA,Page 9,"The number of months with permanent wet departures is discussed qualitatively, but no specific numeric values are provided."
15,Conflicting Departure Signals,Global,SSP-3.70,2100,NA,%,33,NA,NA,NA,NA,NA,4010,Percentage of regions globally with conflicting departure signals among ESMs
16,Conflicting Departure Signals,Global,SSP-1.26,2100,NA,%,37,NA,NA,NA,NA,NA,4010,Percentage of regions globally with conflicting departure signals among ESMs
17,Wet Departures,Global,SSP1-2.6,2100,Pre-industrial,%,15,NA,NA,NA,NA,NA,4013,
18,Wet Departures,Global,SSP2-4.5,2100,Pre-industrial,%,23,NA,NA,NA,NA,NA,4013,
19,Wet Departures,Global,SSP3-7.0,2100,Pre-industrial,%,28,NA,NA,NA,NA,NA,4013,
20,Wet Departures,Global,SSP5-8.5,2100,Pre-industrial,%,34,NA,NA,NA,NA,NA,4013,
