,Outcome,Region,Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes,sourcematerial
0,Cereal Trade,Global,Import Dependency,2050,Baseline,%,-50,NA,NA,NA,NA,NA,1,"The analysis shows that under a global zero cereal import dependency scenario, the global trade of cereals decreases ~50% in 2050 compared to the baseline.","""""""The quotes and evidence from the provided material that justifies or provides necessary context for the answer given are as follows: Cereal Trade: ""the global trade of cereals decreases ~50% in 2050 compared to the baseline"" (Page 1), Cereal Production: ""smaller decreases in cereal production... (4%)"" (Page 1), Cereal Consumption: ""smaller decreases in cereal ... consumption (4%)"" (Page 1), Irrigation Water Consumption: ""global irrigation water consumption increases 3% in 2050"" (Page 1), Corn Ethanol Production: ""corn ethanol production decreases 7% in 2050"" (Page 1)""""""
"
1,Cereal Production,Global,Import Dependency,2050,Baseline,%,-4,NA,NA,NA,NA,NA,1,"The analysis shows that under a global zero cereal import dependency scenario, cereal production decreases ~4% in 2050 compared to the baseline.","""""""The quotes and evidence from the provided material that justifies or provides necessary context for the answer given are as follows: Cereal Trade: ""the global trade of cereals decreases ~50% in 2050 compared to the baseline"" (Page 1), Cereal Production: ""smaller decreases in cereal production... (4%)"" (Page 1), Cereal Consumption: ""smaller decreases in cereal ... consumption (4%)"" (Page 1), Irrigation Water Consumption: ""global irrigation water consumption increases 3% in 2050"" (Page 1), Corn Ethanol Production: ""corn ethanol production decreases 7% in 2050"" (Page 1)""""""
"
2,Cereal Consumption,Global,Import Dependency,2050,Baseline,%,-4,NA,NA,NA,NA,NA,1,"The analysis shows that under a global zero cereal import dependency scenario, cereal consumption decreases ~4% in 2050 compared to the baseline.","""""""The quotes and evidence from the provided material that justifies or provides necessary context for the answer given are as follows: Cereal Trade: ""the global trade of cereals decreases ~50% in 2050 compared to the baseline"" (Page 1), Cereal Production: ""smaller decreases in cereal production... (4%)"" (Page 1), Cereal Consumption: ""smaller decreases in cereal ... consumption (4%)"" (Page 1), Irrigation Water Consumption: ""global irrigation water consumption increases 3% in 2050"" (Page 1), Corn Ethanol Production: ""corn ethanol production decreases 7% in 2050"" (Page 1)""""""
"
3,Irrigation Water Consumption,Global,Import Dependency,2050,Baseline,%,3,NA,NA,NA,NA,NA,1,"The changes in trade impact water and bioenergy, leading to an increase of 3% in global irrigation water consumption in 2050.","""""""The quotes and evidence from the provided material that justifies or provides necessary context for the answer given are as follows: Cereal Trade: ""the global trade of cereals decreases ~50% in 2050 compared to the baseline"" (Page 1), Cereal Production: ""smaller decreases in cereal production... (4%)"" (Page 1), Cereal Consumption: ""smaller decreases in cereal ... consumption (4%)"" (Page 1), Irrigation Water Consumption: ""global irrigation water consumption increases 3% in 2050"" (Page 1), Corn Ethanol Production: ""corn ethanol production decreases 7% in 2050"" (Page 1)""""""
"
4,Corn Ethanol Production,Global,Import Dependency,2050,Baseline,%,-7,NA,NA,NA,NA,NA,1,"The changes in trade impact water and bioenergy, leading to a decrease of 7% in corn ethanol production in 2050.","""""""The quotes and evidence from the provided material that justifies or provides necessary context for the answer given are as follows: Cereal Trade: ""the global trade of cereals decreases ~50% in 2050 compared to the baseline"" (Page 1), Cereal Production: ""smaller decreases in cereal production... (4%)"" (Page 1), Cereal Consumption: ""smaller decreases in cereal ... consumption (4%)"" (Page 1), Irrigation Water Consumption: ""global irrigation water consumption increases 3% in 2050"" (Page 1), Corn Ethanol Production: ""corn ethanol production decreases 7% in 2050"" (Page 1)""""""
"
5,Prod,Global,ID,2050,RF,%,-3.1,NA,NA,NA,NA,NA,5,Relative to Reference scenario,"
"
6,Cons,Global,ID,2050,RF,%,-3.1,NA,NA,NA,NA,NA,5,Relative to Reference scenario,"
"
7,Prod,Global,ID,2025,RF,%,-4.1,NA,NA,NA,NA,NA,5,Relative to Reference scenario,"
"
8,Cons,Global,ID,2025,RF,%,-4.1,NA,NA,NA,NA,NA,5,Relative to Reference scenario,"
"
9,Imp,Global,ID,2025,RF,%,-50,NA,NA,NA,NA,NA,5,Decreases to nearly half,"
"
