,Impacted Sector,Solution,Country(ies),Scenario,Quantification,Expression,Type of Value,Sample,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,Infrastructure,Adaptation,Russia,SSP2-4.5,AreaReduction,BaselineImpact,N/A,Need,%,22,7,NA,NA,NA,NA,Page 7,Permafrost territory reduction by the end of the century
1,Infrastructure,Adaptation,Russia,SSP5-8.5,AreaReduction,BaselineImpact,N/A,Need,%,28,10,NA,NA,NA,NA,Page 7,Permafrost territory reduction by the end of the century
2,Infrastructure,Adaptation,Russia,SSP2-4.5,AreaReduction,BaselineImpact,N/A,Need,%,40,15,NA,NA,NA,NA,Page 7,Permafrost territory reduction by the end of the century
3,Infrastructure,Adaptation,Russia,SSP5-8.5,AreaReduction,BaselineImpact,N/A,Need,%,72,20,NA,NA,NA,NA,Page 7,Permafrost territory reduction by the end of the century
4,Infrastructure,Adaptation,Russia,Any,Cost,AdaptationCost,Monetary,Need,billion rubles / yr,55,NA,NA,NA,NA,NA,Page 7,Cost to maintain and repair infrastructure as well as its protection from the melting permafrost
5,Infrastructure,Adaptation,Russia,NA,BaselineImpact,BaselineImpact,Economic,Need,billion USD,250,NA,NA,NA,NA,NA,Page 8,"Losses due to damage to infrastructure facilities, by 2080, due to 25% decrease of permafrost area."
6,Hydrocarbons,Adaptation,Russia,NA,BaselineImpact,BaselineImpact,Economic,Need,percent,29,NA,NA,NA,NA,NA,Page 8,Percentage reduction of hydrocarbon production cases due to permafrost degradation.
7,Infrastructure,Adaptation,Russia,NA,BaselineImpact,BaselineImpact,Economic,Need,trillion rubles,5,NA,NA,NA,NA,NA,Page 8,"Damage from permafrost degradation by 2050, according to Russian Academy of Science estimates."
8,Infrastructure,Adaptation,Russia,NA,BaselineImpact,BaselineImpact,Economic,Need,trillion rubles,9,NA,NA,NA,NA,NA,Page 8,"Damage to buildings and infrastructure due to melting permafrost by 2050, according to Alexander Krutikov."
9,Infrastructure,Adaptation,Russia,SSP5-8.5,BaselineImpact,BaselineImpact,Economic,Need,billion USD,105,NA,NA,NA,NA,NA,Page 8,"Total cost of infrastructure exposed to negative effects of permafrost melting, by mid-21st century under SSP5-8.5."
10,Infrastructure,Adaptation,Russia,SSP5-8.5,BaselineImpact,BaselineImpact,Economic,Need,billion USD,301.1,NA,NA,NA,NA,NA,Page 8,"Overall exposure of assets due to permafrost melting, by mid-21st century under SSP5-8.5."
11,Infrastructure,Adaptation,Russia,NA,AdaptationCost,OpExCost,Monetary,Need,billion rubles / year,422.68,NA,NA,NA,NA,864.81,Page 8,Road infrastructure network improvements costs in the period 2020-2050
12,Infrastructure,Adaptation,Russia,NA,AdaptationCost,OpExCost,Monetary,Need,billion USD,7.0,NA,NA,NA,NA,14.4,Page 8,Maintenance of road infrastructure owing to permafrost degradation in Russia’s northern regions by 2050
13,Residential,Adaptation,Russia,NA,AdaptationCost,OpExCost,Monetary,Need,billion USD / year,0.5,NA,NA,NA,NA,0.6,Page 8,Replacement of residential infrastructure over 2020-2050 due to permafrost degradation.
14,Infrastructure,Adaptation,Russia,NA,BaselineImpact,BaselineImpact,Economic,Need,billion rubles,148,NA,NA,NA,NA,NA,Page 8,Damage from Norilsk accident (Thermal Power Station-3) due to thawing soil.
15,Infrastructure,Adaptation,Russia,NA,AdaptationCost,OpExCost,Fiscal,Need,percent of GRP,1,NA,NA,NA,NA,NA,Page 8,Financial burden for guarantee uninterrupted consistent functioning of infrastructure units in Western Siberia.
