,Outcome,Region,Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,SST Extreme Events,North Pacific,Historical,1900,Preindustrial,Years,5000,NA,NA,NA,NA,NA,1,"Expected return time, midpoint of 1000-10000"
1,SST Extreme Events,North Pacific,Current,2023,Current,Years,22.5,NA,NA,NA,NA,NA,1,"Expected return time, midpoint of 5-40"
2,Sockeye Catches,Gulf of Alaska,FAR >= 0.98,2023,Long-term Log Mean,Standard Deviations,-1.4,NA,NA,NA,NA,NA,1,Migration Year
3,Sockeye Catches,Gulf of Alaska,High FAR Years,2023,Raw Catch,Percent,-39,NA,NA,NA,NA,NA,Abstract,Declines in Raw Catch
4,Fraction of Attributable Risk,North Pacific,Historical/SSP5-8.5,2003,Pre-industrial climate,ratio,0.99,NA,NA,NA,NA,NA,4,Three-year running mean SST
5,Fraction of Attributable Risk,North Pacific,Historical/SSP5-8.5,2013,Pre-industrial climate,ratio,0.99,NA,NA,NA,NA,NA,4,Annual SST
6,SST Anomaly,Eastern Bering Sea,Current Climate,2024,No CC,SD,5.08,NA,NA,NA,NA,NA,Page 6,Largest annual sea surface temperature anomaly observed to date in the Eastern Bering Sea.
7,Sockeye Catch,Gulf of Alaska,Current Climate,2019,Low Human Influence,ln(catch),-1.4,NA,NA,NA,NA,NA,Page 6,A decline in sockeye salmon catches associated with high Fraction of Attributable Risk (FAR ≥ 0.98). (Average of 2017-2022)
8,Temperature Anomaly Likelihood,Eastern Bering Sea,Current Climate,2024,Pre-industrial,Likelihood Ratio,40,NA,NA,NA,NA,NA,Page 6,The largest SST anomaly is expected every ~40 years in the current climate.
9,Temperature Anomaly Likelihood,Gulf of Alaska,Current Climate,2024,Pre-industrial,Likelihood Ratio,5,NA,NA,NA,NA,NA,Page 6,The smallest observed anomaly is expected every ~5 years in the current climate.
10,SST FAR,Eastern Bering Sea,Current,2004,Pre-Industrial,Value,0.99,NA,NA,NA,NA,NA,Page 6,Three-year running mean SST FAR reached 0.99 as of 2003-2004 (use end year).
11,SST FAR,Gulf of Alaska,Current,2020,Pre-Industrial,Value,0.99,NA,NA,NA,NA,NA,Page 6,Annual SST FAR values were greater than 0.99 from 2014 through 2020 (use end year).
12,SST threshold exceedance,North Pacific,Current,2024,Pre-1950,%,49,NA,NA,NA,NA,NA,Page 7,Threshold is 2.08 SD above pre-1950.
13,SST threshold exceedance,North Pacific,1.5-2.0°C warming,2070,Pre-1950,%,80,NA,NA,NA,NA,NA,Page 7,Projected; Threshold is 2.08 SD above pre-1950.
14,Log catch anomaly,Gulf of Alaska,NA,2017,Preindustrial,Log catch anomaly,-0.39,NA,80%,-0.53,95%,-0.25,Page 8,"The 2017 negative log catch anomaly is inferred from Figure 6D, where the SST for that year exceeds 2.08° normalized anomaly, associated with observed negative effects on sockeye salmon catches. The exact outcome is deduced based on the narrative and visual data interpretation."
15,Extreme SST,North Pacific,NA,2024,Preindustrial,Likelihood increase (factor),10000,NA,NA,NA,NA,NA,Page 9,SST events are now tens of thousands of times more likely.
16,SST Return Time,Northeast Pacific,NA,2024,Preindustrial,Years,-1,NA,NA,NA,NA,NA,Page 9,"Expected return times for extreme SST anomalies have rapidly declined, which is represented here as a general negative effect."
17,Sockeye Catch,Gulf of Alaska,NA,2024,FAR>=0.98,SD,-1.4,NA,NA,NA,NA,NA,Page 9,Decline in log-transformed sockeye salmon catch.
18,Sockeye Catches,Gulf of Alaska,High FAR,2024,Low FAR,%,-39,NA,NA,NA,NA,NA,Paper Summary,Expected decline in raw catch in high-FAR years.
19,Sea Surface Temperature,North Pacific,SSP5-8.5,2100,1950,degrees Celsius,0,NA,NA,NA,NA,NA,Image Caption,"Projected increase; actual numeric value not specified, so represented as 0 in Value column for formatting purposes."
