,Outcome,Country(ies),Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,Social Cost of Carbon Dioxide,Global,2021,2021,PAGE09,USD/tCO2,2.0,NA,NA,NA,NA,NA,3,The paper mentions that the SCCO2 doubles the earlier PAGE09 values due to model updates.
1,Social Cost of Carbon Dioxide,Global,2020,2021,Nordhaus 2017,USD,84.5,NA,NA,NA,NA,132,3,Refers to Kalkuhl and Wenz (2020) tripling the SCCO2 based on earlier results ($37–$132).
2,Social Cost of Carbon Dioxide,Global,2018,2021,Previous est.,USD,318.5,NA,NA,NA,NA,417,3,Refers to the effect of long-term persistence increasing the outcome even more ($220–$417).
3,Social Cost of Carbon,Global,SSP2-4.5,2020,No CC,$2015 USD per tonne,281,NA,25%,147,75%,349,Page 6,"This result reflects updates from PAGE09 to PAGE-ICE, including climate sensitivity and AR5 updates."
4,Social Cost of Carbon,Global,SSP2-4.5,2020,No CC,$2015 USD per tonne,307,NA,5%,82,95%,831,Page 6,Final SCCO2 value reflects damage persistence introduced to GDP.
5,Social Cost of Carbon,Global South,SSP2-4.5,2020,No CC,$2015 USD per tonne,0,NA,NA,NA,NA,NA,Page 6,Increase in SCCO2 is attributed almost entirely to increased social costs in the Global South.
6,Social Cost of Carbon,Global North,SSP2-4.5,2020,No CC,$2015 USD per tonne,0,NA,NA,NA,NA,NA,Page 6,No notable change is shown due to regional empirical damage estimates.
7,Damage Persistence,Global,SSP2-4.5,2015,No CC,Percentage,50.1,NA,25%,34.5,75%,69.0,Page 6,"Persistence reflects impacts on growth trajectory, especially in Africa, South Asia, and Latin America."
8,GDP,World,SSP2-4.5,2100,No CC,%,-30,NA,NA,NA,NA,NA,7,"Mean global GDP is 30% lower with empirical persistence distribution, relative to the SSP2-4.5 growth path without persistence."
9,GDP Growth,Global South,SSP2-4.5,2200,No CC,%,-99,NA,NA,NA,NA,NA,7,"Mean growth loss due to persistence exceeds the GDP growth rate in the whole Global South, causing economic contraction."
10,Subsistence,India+,SSP2-4.5,2100,No CC,% of simulations,12,NA,NA,NA,NA,NA,7,Share of Monte Carlo simulations for which a region reaches the lower bound for GDP per capita.
