,Outcome,Region,Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,Heating Demand,Global,2°C,2050,Current Levels,%,-27,NA,NA,NA,NA,NA,1,
1,Heating Demand,Global,2°C,2100,Current Levels,%,-66,NA,NA,NA,NA,NA,1,
2,Cooling Demand,Global,2°C,2050,Current Levels,%,176,NA,NA,NA,NA,NA,1,
3,Cooling Demand,Global,2°C,2100,Current Levels,%,286,NA,NA,NA,NA,NA,1,
4,Residential Emissions,Global,2°C,2100,NA,%,0,NA,NA,NA,NA,NA,1,Through envelope efficiency and advanced heating technologies; Assuming Near-eliminated = 0
5,Net Energy Demand,Global,2°C,2100,NA,%,0,NA,NA,NA,NA,NA,1,By combining increased envelope efficiency and advanced heating technologies with rooftop PV; Assuming Approaches zero = 0
6,Envelope Efficiency Investment,OECD,Baseline,2030,No CC,bill. $/yr,80.4,NA,NA,NA,NA,NA,5,Total annual investment; Renovations and new buildings
7,Envelope Efficiency Investment,OECD,Baseline,2050,No CC,bill. $/yr,78.3,NA,NA,NA,NA,NA,5,Total annual investment; Renovations and new buildings
8,Envelope Efficiency Investment,OECD,Baseline,2100,No CC,bill. $/yr,72.9,NA,NA,NA,NA,NA,5,Total annual investment; Renovations and new buildings
9,Envelope Efficiency Investment,Reforming Economies,Baseline,2030,No CC,bill. $/yr,19.3,NA,NA,NA,NA,NA,5,Total annual investment; Renovations and new buildings
10,Envelope Efficiency Investment,Reforming Economies,Baseline,2050,No CC,bill. $/yr,21.3,NA,NA,NA,NA,NA,5,Total annual investment; Renovations and new buildings
11,Envelope Efficiency Investment,Reforming Economies,Baseline,2100,No CC,bill. $/yr,17.6,NA,NA,NA,NA,NA,5,Total annual investment; Renovations and new buildings
12,Envelope Efficiency Investment,Asia,Baseline,2030,No CC,bill. $/yr,121.2,NA,NA,NA,NA,NA,5,Total annual investment; Renovations and new buildings
13,Envelope Efficiency Investment,Asia,Baseline,2050,No CC,bill. $/yr,183,NA,NA,NA,NA,NA,5,Total annual investment; Renovations and new buildings
14,Envelope Efficiency Investment,Asia,Baseline,2100,No CC,bill. $/yr,202.2,NA,NA,NA,NA,NA,5,Total annual investment; Renovations and new buildings
15,Envelope Efficiency Investment,Middle East & Africa,Baseline,2030,No CC,bill. $/yr,45,NA,NA,NA,NA,NA,5,Total annual investment; Renovations and new buildings
16,Envelope Efficiency Investment,Middle East & Africa,Baseline,2050,No CC,bill. $/yr,74.5,NA,NA,NA,NA,NA,5,Total annual investment; Renovations and new buildings
17,Envelope Efficiency Investment,Middle East & Africa,Baseline,2100,No CC,bill. $/yr,225.3,NA,NA,NA,NA,NA,5,Total annual investment; Renovations and new buildings
18,Envelope Efficiency Investment,Latin America,Baseline,2030,No CC,bill. $/yr,29.7,NA,NA,NA,NA,NA,5,Total annual investment; Renovations and new buildings
19,Envelope Efficiency Investment,Latin America,Baseline,2050,No CC,bill. $/yr,35.4,NA,NA,NA,NA,NA,5,Total annual investment; Renovations and new buildings
20,Envelope Efficiency Investment,Latin America,Baseline,2100,No CC,bill. $/yr,38.8,NA,NA,NA,NA,NA,5,Total annual investment; Renovations and new buildings
21,Envelope Efficiency Investment,OECD,2/C,2030,No CC,bill. $/yr,96,NA,NA,NA,NA,NA,5,Total annual investment; Renovations and new buildings
22,Envelope Efficiency Investment,OECD,2/C,2050,No CC,bill. $/yr,86.1,NA,NA,NA,NA,NA,5,Total annual investment; Renovations and new buildings
23,Envelope Efficiency Investment,OECD,2/C,2100,No CC,bill. $/yr,76.5,NA,NA,NA,NA,NA,5,Total annual investment; Renovations and new buildings
24,Envelope Efficiency Investment,Reforming Economies,2/C,2030,No CC,bill. $/yr,19.6,NA,NA,NA,NA,NA,5,Total annual investment; Renovations and new buildings
25,Envelope Efficiency Investment,Reforming Economies,2/C,2050,No CC,bill. $/yr,26.1,NA,NA,NA,NA,NA,5,Total annual investment; Renovations and new buildings
26,Envelope Efficiency Investment,Reforming Economies,2/C,2100,No CC,bill. $/yr,19.9,NA,NA,NA,NA,NA,5,Total annual investment; Renovations and new buildings
27,Envelope Efficiency Investment,Asia,2/C,2030,No CC,bill. $/yr,127.6,NA,NA,NA,NA,NA,5,Total annual investment; Renovations and new buildings
28,Envelope Efficiency Investment,Asia,2/C,2050,No CC,bill. $/yr,216.4,NA,NA,NA,NA,NA,5,Total annual investment; Renovations and new buildings
29,Envelope Efficiency Investment,Asia,2/C,2100,No CC,bill. $/yr,214,NA,NA,NA,NA,NA,5,Total annual investment; Renovations and new buildings
30,Envelope Efficiency Investment,Middle East & Africa,2/C,2030,No CC,bill. $/yr,45.5,NA,NA,NA,NA,NA,5,Total annual investment; Renovations and new buildings
31,Envelope Efficiency Investment,Middle East & Africa,2/C,2050,No CC,bill. $/yr,84.1,NA,NA,NA,NA,NA,5,Total annual investment; Renovations and new buildings
32,Envelope Efficiency Investment,Middle East & Africa,2/C,2100,No CC,bill. $/yr,263.5,NA,NA,NA,NA,NA,5,Total annual investment; Renovations and new buildings
33,Envelope Efficiency Investment,Latin America,2/C,2030,No CC,bill. $/yr,32.8,NA,NA,NA,NA,NA,5,Total annual investment; Renovations and new buildings
34,Envelope Efficiency Investment,Latin America,2/C,2050,No CC,bill. $/yr,40,NA,NA,NA,NA,NA,5,Total annual investment; Renovations and new buildings
35,Envelope Efficiency Investment,Latin America,2/C,2100,No CC,bill. $/yr,41.3,NA,NA,NA,NA,NA,5,Total annual investment; Renovations and new buildings
36,Renovation Rate,OECD,Baseline,2035,No CC,%,1.4,NA,NA,NA,NA,NA,5,Annual average
37,Renovation Rate,OECD,Baseline,2060,No CC,%,1.4,NA,NA,NA,NA,NA,5,Annual average
38,Renovation Rate,Reforming Economies,Baseline,2035,No CC,%,1.1,NA,NA,NA,NA,NA,5,Annual average
39,Renovation Rate,Reforming Economies,Baseline,2060,No CC,%,1.3,NA,NA,NA,NA,NA,5,Annual average
40,Renovation Rate,Asia,Baseline,2035,No CC,%,0.8,NA,NA,NA,NA,NA,5,Annual average
41,Renovation Rate,Asia,Baseline,2060,No CC,%,1.2,NA,NA,NA,NA,NA,5,Annual average
42,Renovation Rate,Middle East & Africa,Baseline,2035,No CC,%,0.4,NA,NA,NA,NA,NA,5,Annual average
43,Renovation Rate,Middle East & Africa,Baseline,2060,No CC,%,0.8,NA,NA,NA,NA,NA,5,Annual average
44,Renovation Rate,Latin America,Baseline,2035,No CC,%,0.9,NA,NA,NA,NA,NA,5,Annual average
45,Renovation Rate,Latin America,Baseline,2060,No CC,%,1.2,NA,NA,NA,NA,NA,5,Annual average
46,Renovation Rate,OECD,2/C,2035,No CC,%,1.6,NA,NA,NA,NA,NA,5,Annual average
47,Renovation Rate,OECD,2/C,2060,No CC,%,1.5,NA,NA,NA,NA,NA,5,Annual average
48,Renovation Rate,Reforming Economies,2/C,2035,No CC,%,1.3,NA,NA,NA,NA,NA,5,Annual average
49,Renovation Rate,Reforming Economies,2/C,2060,No CC,%,1.6,NA,NA,NA,NA,NA,5,Annual average
50,Renovation Rate,Asia,2/C,2035,No CC,%,1.1,NA,NA,NA,NA,NA,5,Annual average
51,Renovation Rate,Asia,2/C,2060,No CC,%,1.6,NA,NA,NA,NA,NA,5,Annual average
52,Renovation Rate,Middle East & Africa,2/C,2035,No CC,%,0.6,NA,NA,NA,NA,NA,5,Annual average
53,Renovation Rate,Middle East & Africa,2/C,2060,No CC,%,1.2,NA,NA,NA,NA,NA,5,Annual average
54,Renovation Rate,Latin America,2/C,2035,No CC,%,1.1,NA,NA,NA,NA,NA,5,Annual average
55,Renovation Rate,Latin America,2/C,2060,No CC,%,1.6,NA,NA,NA,NA,NA,5,Annual average
56,Energy Demand,Global,Baseline,2100,Current levels,%,-23,NA,NA,NA,NA,NA,7,Energy demand falling to 77% of current levels
