,Outcome,Region,Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes,sourcematerial
0,Flood damage,England and Wales,No CC,2100,No CC,GBP billion/year,27,NA,NA,NA,NA,NA,Page 2570,Forecast flood damage is currently GBP1.4 billion annually and is expected to rise to as much as GBP27 billion by 2100.,"
Forecast ﬂood damage is currently GBP1.4 billion annually but is expected to rise to as much as GBP27 billion by 2100
"
1,Deaths,USA,Observed,2018,1989,deaths/year,87,NA,NA,NA,NA,NA,5,Average from 1989-2018,"""The United States of America (USA) regularly experiences severe ﬂooding. According to the US National Weather Service (NWS), there was an average of 87 deaths per year from ﬂooding between 1989 and 2018 (National Weather Service, 2018) and 29 ﬂood events during the same period that resulted in over USD1 billion in economic losses, with an average event cost of USD4.3 million. This does not include ﬂooding caused by tropical cyclones (42 during the same period with an average event cost of USD21.9 billion) (National Atmospheric and Oceanic Administration, 2019)."" Page 5."
2,Economic Losses,USA,Observed,2018,1989,USD billion/year,4.3,NA,NA,NA,NA,NA,5,"Average flood event cost from 1989-2018, excluding tropical cyclones","""The United States of America (USA) regularly experiences severe ﬂooding. According to the US National Weather Service (NWS), there was an average of 87 deaths per year from ﬂooding between 1989 and 2018 (National Weather Service, 2018) and 29 ﬂood events during the same period that resulted in over USD1 billion in economic losses, with an average event cost of USD4.3 million. This does not include ﬂooding caused by tropical cyclones (42 during the same period with an average event cost of USD21.9 billion) (National Atmospheric and Oceanic Administration, 2019)."" Page 5."
3,Economic Losses,USA,Observed,2018,1989,USD billion/year,21.9,NA,NA,NA,NA,NA,5,Average tropical cyclone event cost from 1989-2018,"""The United States of America (USA) regularly experiences severe ﬂooding. According to the US National Weather Service (NWS), there was an average of 87 deaths per year from ﬂooding between 1989 and 2018 (National Weather Service, 2018) and 29 ﬂood events during the same period that resulted in over USD1 billion in economic losses, with an average event cost of USD4.3 million. This does not include ﬂooding caused by tropical cyclones (42 during the same period with an average event cost of USD21.9 billion) (National Atmospheric and Oceanic Administration, 2019)."" Page 5."
4,Precipitation,Japan,Lower,2089,No CC,ratio,1.07,NA,NA,NA,NA,NA,Page 10,Average of 2080-2099. Lower climate projection,"
""Outcome"",""Region"",""Scenario"",""Year"",""Relative to"",""Units"",""Value"",""SD"",""Low Quantile"",""Low Value"",""High Quantile"",""High Value"",""Result Source"",""More Notes""
0,""Precipitation"",""Japan"",""Lower"",""2089"",""ratio"",""1.07"",""NA"",""NA"",""NA"",""NA"",""NA"",""Page 10"",""Average of 2080-2099. Lower climate projection""
1,""Precipitation"",""Japan"",""Middle"",""2089"",""No CC"",""ratio"",""1.10"",""NA"",""NA"",""NA"",""NA"",""Page 10"",""Average of 2080-2099. Middle climate projection""
2,""Precipitation"",""Japan"",""Upper"",""2089"",""No CC"",""ratio"",""1.14"",""NA"",""NA"",""NA"",""NA"",""Page 10"",""Average of 2080-2099. Upper climate projection""
3,""Discharge"",""Japan"",""Lower"",""2089"",""No CC"",""ratio"",""1.10"",""NA"",""NA"",""NA"",""NA"",""Page 10"",""Average of 2080-2099. Lower climate projection""
4,""Discharge"",""Japan"",""Middle"",""2089"",""No CC"",""ratio"",""1.20"",""NA"",""NA"",""NA"",""NA"",""Page 10"",""Average of 2080-2099. Middle climate projection""
5,""Discharge"",""Japan"",""Upper"",""2089"",""No CC"",""ratio"",""1.35"",""NA"",""NA"",""NA"",""NA"",""Page 10"",""Average of 2080-2099. Upper climate projection""
6,""Flood control"",""Japan"",""Lower"",""2089"",""No CC"",""ratio"",""1.14"",""NA"",""NA"",""NA"",""NA"",""Page 10"",""Average of 2080-2099. Lower climate projection""
7,""Flood control"",""Japan"",""Middle"",""2089"",""No CC"",""ratio"",""1.29"",""NA"",""NA"",""NA"",""NA"",""Page 10"",""Average of 2080-2099. Middle climate projection""
8,""Flood control"",""Japan"",""Upper"",""2089"",""No CC"",""ratio"",""1.68"",""NA"",""NA"",""NA"",""NA"",""Page 10"",""Average of 2080-2099. Upper climate projection""
"
5,Precipitation,Japan,Middle,2089,No CC,ratio,1.10,NA,NA,NA,NA,NA,Page 10,Average of 2080-2099. Middle climate projection,"
""Outcome"",""Region"",""Scenario"",""Year"",""Relative to"",""Units"",""Value"",""SD"",""Low Quantile"",""Low Value"",""High Quantile"",""High Value"",""Result Source"",""More Notes""
0,""Precipitation"",""Japan"",""Lower"",""2089"",""ratio"",""1.07"",""NA"",""NA"",""NA"",""NA"",""NA"",""Page 10"",""Average of 2080-2099. Lower climate projection""
1,""Precipitation"",""Japan"",""Middle"",""2089"",""No CC"",""ratio"",""1.10"",""NA"",""NA"",""NA"",""NA"",""Page 10"",""Average of 2080-2099. Middle climate projection""
2,""Precipitation"",""Japan"",""Upper"",""2089"",""No CC"",""ratio"",""1.14"",""NA"",""NA"",""NA"",""NA"",""Page 10"",""Average of 2080-2099. Upper climate projection""
3,""Discharge"",""Japan"",""Lower"",""2089"",""No CC"",""ratio"",""1.10"",""NA"",""NA"",""NA"",""NA"",""Page 10"",""Average of 2080-2099. Lower climate projection""
4,""Discharge"",""Japan"",""Middle"",""2089"",""No CC"",""ratio"",""1.20"",""NA"",""NA"",""NA"",""NA"",""Page 10"",""Average of 2080-2099. Middle climate projection""
5,""Discharge"",""Japan"",""Upper"",""2089"",""No CC"",""ratio"",""1.35"",""NA"",""NA"",""NA"",""NA"",""Page 10"",""Average of 2080-2099. Upper climate projection""
6,""Flood control"",""Japan"",""Lower"",""2089"",""No CC"",""ratio"",""1.14"",""NA"",""NA"",""NA"",""NA"",""Page 10"",""Average of 2080-2099. Lower climate projection""
7,""Flood control"",""Japan"",""Middle"",""2089"",""No CC"",""ratio"",""1.29"",""NA"",""NA"",""NA"",""NA"",""Page 10"",""Average of 2080-2099. Middle climate projection""
8,""Flood control"",""Japan"",""Upper"",""2089"",""No CC"",""ratio"",""1.68"",""NA"",""NA"",""NA"",""NA"",""Page 10"",""Average of 2080-2099. Upper climate projection""
"
6,Precipitation,Japan,Upper,2089,No CC,ratio,1.14,NA,NA,NA,NA,NA,Page 10,Average of 2080-2099. Upper climate projection,"
""Outcome"",""Region"",""Scenario"",""Year"",""Relative to"",""Units"",""Value"",""SD"",""Low Quantile"",""Low Value"",""High Quantile"",""High Value"",""Result Source"",""More Notes""
0,""Precipitation"",""Japan"",""Lower"",""2089"",""ratio"",""1.07"",""NA"",""NA"",""NA"",""NA"",""NA"",""Page 10"",""Average of 2080-2099. Lower climate projection""
1,""Precipitation"",""Japan"",""Middle"",""2089"",""No CC"",""ratio"",""1.10"",""NA"",""NA"",""NA"",""NA"",""Page 10"",""Average of 2080-2099. Middle climate projection""
2,""Precipitation"",""Japan"",""Upper"",""2089"",""No CC"",""ratio"",""1.14"",""NA"",""NA"",""NA"",""NA"",""Page 10"",""Average of 2080-2099. Upper climate projection""
3,""Discharge"",""Japan"",""Lower"",""2089"",""No CC"",""ratio"",""1.10"",""NA"",""NA"",""NA"",""NA"",""Page 10"",""Average of 2080-2099. Lower climate projection""
4,""Discharge"",""Japan"",""Middle"",""2089"",""No CC"",""ratio"",""1.20"",""NA"",""NA"",""NA"",""NA"",""Page 10"",""Average of 2080-2099. Middle climate projection""
5,""Discharge"",""Japan"",""Upper"",""2089"",""No CC"",""ratio"",""1.35"",""NA"",""NA"",""NA"",""NA"",""Page 10"",""Average of 2080-2099. Upper climate projection""
6,""Flood control"",""Japan"",""Lower"",""2089"",""No CC"",""ratio"",""1.14"",""NA"",""NA"",""NA"",""NA"",""Page 10"",""Average of 2080-2099. Lower climate projection""
7,""Flood control"",""Japan"",""Middle"",""2089"",""No CC"",""ratio"",""1.29"",""NA"",""NA"",""NA"",""NA"",""Page 10"",""Average of 2080-2099. Middle climate projection""
8,""Flood control"",""Japan"",""Upper"",""2089"",""No CC"",""ratio"",""1.68"",""NA"",""NA"",""NA"",""NA"",""Page 10"",""Average of 2080-2099. Upper climate projection""
"
7,Discharge,Japan,Lower,2089,No CC,ratio,1.10,NA,NA,NA,NA,NA,Page 10,Average of 2080-2099. Lower climate projection,"
""Outcome"",""Region"",""Scenario"",""Year"",""Relative to"",""Units"",""Value"",""SD"",""Low Quantile"",""Low Value"",""High Quantile"",""High Value"",""Result Source"",""More Notes""
0,""Precipitation"",""Japan"",""Lower"",""2089"",""ratio"",""1.07"",""NA"",""NA"",""NA"",""NA"",""NA"",""Page 10"",""Average of 2080-2099. Lower climate projection""
1,""Precipitation"",""Japan"",""Middle"",""2089"",""No CC"",""ratio"",""1.10"",""NA"",""NA"",""NA"",""NA"",""Page 10"",""Average of 2080-2099. Middle climate projection""
2,""Precipitation"",""Japan"",""Upper"",""2089"",""No CC"",""ratio"",""1.14"",""NA"",""NA"",""NA"",""NA"",""Page 10"",""Average of 2080-2099. Upper climate projection""
3,""Discharge"",""Japan"",""Lower"",""2089"",""No CC"",""ratio"",""1.10"",""NA"",""NA"",""NA"",""NA"",""Page 10"",""Average of 2080-2099. Lower climate projection""
4,""Discharge"",""Japan"",""Middle"",""2089"",""No CC"",""ratio"",""1.20"",""NA"",""NA"",""NA"",""NA"",""Page 10"",""Average of 2080-2099. Middle climate projection""
5,""Discharge"",""Japan"",""Upper"",""2089"",""No CC"",""ratio"",""1.35"",""NA"",""NA"",""NA"",""NA"",""Page 10"",""Average of 2080-2099. Upper climate projection""
6,""Flood control"",""Japan"",""Lower"",""2089"",""No CC"",""ratio"",""1.14"",""NA"",""NA"",""NA"",""NA"",""Page 10"",""Average of 2080-2099. Lower climate projection""
7,""Flood control"",""Japan"",""Middle"",""2089"",""No CC"",""ratio"",""1.29"",""NA"",""NA"",""NA"",""NA"",""Page 10"",""Average of 2080-2099. Middle climate projection""
8,""Flood control"",""Japan"",""Upper"",""2089"",""No CC"",""ratio"",""1.68"",""NA"",""NA"",""NA"",""NA"",""Page 10"",""Average of 2080-2099. Upper climate projection""
"
8,Discharge,Japan,Middle,2089,No CC,ratio,1.20,NA,NA,NA,NA,NA,Page 10,Average of 2080-2099. Middle climate projection,"
""Outcome"",""Region"",""Scenario"",""Year"",""Relative to"",""Units"",""Value"",""SD"",""Low Quantile"",""Low Value"",""High Quantile"",""High Value"",""Result Source"",""More Notes""
0,""Precipitation"",""Japan"",""Lower"",""2089"",""ratio"",""1.07"",""NA"",""NA"",""NA"",""NA"",""NA"",""Page 10"",""Average of 2080-2099. Lower climate projection""
1,""Precipitation"",""Japan"",""Middle"",""2089"",""No CC"",""ratio"",""1.10"",""NA"",""NA"",""NA"",""NA"",""Page 10"",""Average of 2080-2099. Middle climate projection""
2,""Precipitation"",""Japan"",""Upper"",""2089"",""No CC"",""ratio"",""1.14"",""NA"",""NA"",""NA"",""NA"",""Page 10"",""Average of 2080-2099. Upper climate projection""
3,""Discharge"",""Japan"",""Lower"",""2089"",""No CC"",""ratio"",""1.10"",""NA"",""NA"",""NA"",""NA"",""Page 10"",""Average of 2080-2099. Lower climate projection""
4,""Discharge"",""Japan"",""Middle"",""2089"",""No CC"",""ratio"",""1.20"",""NA"",""NA"",""NA"",""NA"",""Page 10"",""Average of 2080-2099. Middle climate projection""
5,""Discharge"",""Japan"",""Upper"",""2089"",""No CC"",""ratio"",""1.35"",""NA"",""NA"",""NA"",""NA"",""Page 10"",""Average of 2080-2099. Upper climate projection""
6,""Flood control"",""Japan"",""Lower"",""2089"",""No CC"",""ratio"",""1.14"",""NA"",""NA"",""NA"",""NA"",""Page 10"",""Average of 2080-2099. Lower climate projection""
7,""Flood control"",""Japan"",""Middle"",""2089"",""No CC"",""ratio"",""1.29"",""NA"",""NA"",""NA"",""NA"",""Page 10"",""Average of 2080-2099. Middle climate projection""
8,""Flood control"",""Japan"",""Upper"",""2089"",""No CC"",""ratio"",""1.68"",""NA"",""NA"",""NA"",""NA"",""Page 10"",""Average of 2080-2099. Upper climate projection""
"
9,Discharge,Japan,Upper,2089,No CC,ratio,1.35,NA,NA,NA,NA,NA,Page 10,Average of 2080-2099. Upper climate projection,"
""Outcome"",""Region"",""Scenario"",""Year"",""Relative to"",""Units"",""Value"",""SD"",""Low Quantile"",""Low Value"",""High Quantile"",""High Value"",""Result Source"",""More Notes""
0,""Precipitation"",""Japan"",""Lower"",""2089"",""ratio"",""1.07"",""NA"",""NA"",""NA"",""NA"",""NA"",""Page 10"",""Average of 2080-2099. Lower climate projection""
1,""Precipitation"",""Japan"",""Middle"",""2089"",""No CC"",""ratio"",""1.10"",""NA"",""NA"",""NA"",""NA"",""Page 10"",""Average of 2080-2099. Middle climate projection""
2,""Precipitation"",""Japan"",""Upper"",""2089"",""No CC"",""ratio"",""1.14"",""NA"",""NA"",""NA"",""NA"",""Page 10"",""Average of 2080-2099. Upper climate projection""
3,""Discharge"",""Japan"",""Lower"",""2089"",""No CC"",""ratio"",""1.10"",""NA"",""NA"",""NA"",""NA"",""Page 10"",""Average of 2080-2099. Lower climate projection""
4,""Discharge"",""Japan"",""Middle"",""2089"",""No CC"",""ratio"",""1.20"",""NA"",""NA"",""NA"",""NA"",""Page 10"",""Average of 2080-2099. Middle climate projection""
5,""Discharge"",""Japan"",""Upper"",""2089"",""No CC"",""ratio"",""1.35"",""NA"",""NA"",""NA"",""NA"",""Page 10"",""Average of 2080-2099. Upper climate projection""
6,""Flood control"",""Japan"",""Lower"",""2089"",""No CC"",""ratio"",""1.14"",""NA"",""NA"",""NA"",""NA"",""Page 10"",""Average of 2080-2099. Lower climate projection""
7,""Flood control"",""Japan"",""Middle"",""2089"",""No CC"",""ratio"",""1.29"",""NA"",""NA"",""NA"",""NA"",""Page 10"",""Average of 2080-2099. Middle climate projection""
8,""Flood control"",""Japan"",""Upper"",""2089"",""No CC"",""ratio"",""1.68"",""NA"",""NA"",""NA"",""NA"",""Page 10"",""Average of 2080-2099. Upper climate projection""
"
