,Impacted Sector,Solution,Country(ies),Scenario,Quantification,Expression,Type of Value,Sample,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,All,Adaptation,"Russian Federation, World",Sustainable Development,Cost-Benefit Analysis,MonetaryBenefits / AdaptationCost,Economic,Need,ratio,4,NA,NA,NA,NA,NA,Page 1,"Benefits of adaptation are, on average, four times greater than the costs."
1,All,Adaptation,Russian Federation,Sustainable Development,Monetary Damage Estimation,BaselineImpact,Economic,Need,USD billions per year,391,NA,NA,NA,NA,647,Page 1,"Estimated damage to business and households from failures or disruptions in infrastructure, accounting for the share of dangerous hydrometeorological events."
2,All,Early Warning Systems,Russian Federation,Sust. dev. strat.,Avoided Costs,AvoidedImpact,Economic,Need,billion. doll. / year,200,NA,NA,NA,NA,NA,page 5,Savings due to accurate risk assessment from hydrometeorological disasters in developing countries
3,Infrastructure,Infrastructure Adaptation,Russian Federation,Sust. dev. strat.,AdaptationCost,AdaptationCost,Economic,Need,billion. rub. / year,50,NA,NA,NA,NA,NA,page 5,"Additional adaptation costs for infrastructure (road, social incl. housing, healthcare) in Arctic zone"
4,Municipalities,Permafrost Adaptation,Russian Federation,Sust. dev. strat.,Avoided Costs,AvoidedImpact,Economic,Need,trln. rub.,6,NA,NA,NA,NA,NA,page 5,Avoided damage due to permafrost degradation in Arctic zone municipalities between 2020-2050. Equivalent to 200 billion RUB/year on average.
5,All,Adaptation,World,Sustainable development,Benefit-Cost Ratio,MonetaryBenefits / AdaptationCost,Economic,Need,Ratio,4,NA,NA,NA,NA,NA,Page 6,Global Commission on Adaptation (2019) estimate. Unit investment gives a reduction in damage.
6,All,Early warning,World,Sustainable development,Benefit-Cost Ratio,MonetaryBenefits / AdaptationCost,Economic,Lead,Ratio,10,NA,NA,NA,NA,NA,Page 6,Investment in early warning systems
7,All,Coastal protection,World,Sustainable development,Benefit-Cost Ratio,MonetaryBenefits / AdaptationCost,Economic,Lead,Ratio,6,NA,NA,NA,NA,NA,Page 6,Investment in coastal vegetation protection (mangroves)
8,Infrastructure,Resilient infrastructure,World,Sustainable development,Benefit-Cost Ratio,MonetaryBenefits / AdaptationCost,Economic,Lead,Ratio,5,NA,NA,NA,NA,NA,Page 6,Investment in climate resilient infrastructure
9,Agriculture,Drought-resistant crops,World,Sustainable development,Benefit-Cost Ratio,MonetaryBenefits / AdaptationCost,Economic,Lead,Ratio,5,NA,NA,NA,NA,NA,Page 6,Investment in drought-resistant crops
10,All,Adaptation,Developing countries,Accelerating climate change,Increase in Adaptation Cost,OpExCost,Monetary,Need,Percent,100,NA,NA,NA,NA,NA,Page 6,Delaying adaptation investment by 10 years increases adaptation costs by 100% in developing countries
11,All,Adaptation,Russian Federation,Sustainable Development,Economic efficiency,MonetaryBenefits / AdaptationCost,Economic,Need,Multiple,4,NA,NA,NA,NA,NA,Abstract,World average benefits surpass costs fourfold.
