,Outcome,Country(ies),Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,Agricultural Productivity,11 Asian countries,Historical Data (1980-2016),2016,No CC,%,-1.94,NA,NA,NA,NA,NA,Page 11,1% increase in CO2 emission level
1,Agricultural Productivity,11 Asian countries,Historical Data (1980-2016),2016,No CC,%,-2.28,NA,NA,NA,NA,NA,Page 11,1% increase in temperature level
2,Agricultural Productivity,11 Asian countries,Historical Data (1980-2016),2016,No CC,%,0.95,NA,NA,NA,NA,NA,Page 11,1% increase in rainfall
3,Agricultural Productivity,11 Asian countries,Historical Data (1980-2016),2016,No CC,%,2.42,NA,NA,NA,NA,NA,Page 11,1% increase in energy consumption
4,Agricultural Productivity,11 Asian countries,Historical Data (1980-2016),2016,No CC,%,0.69,NA,NA,NA,NA,NA,Page 11,1% increase in fertilizer consumption
5,Agricultural productivity,11 Asian countries,Historical data (1980-2016),2016,Baseline,Coefficient,-1.943,0.613,NA,NA,NA,NA,Table 4,Long-run coefficient for lnCO2 using PMG estimator; significant at 1% level.
6,Agricultural productivity,11 Asian countries,Historical data (1980-2016),2016,Baseline,Coefficient,-2.285,0.698,NA,NA,NA,NA,Table 4,Long-run coefficient for lnTEMP using PMG estimator; significant at 1% level.
7,Agricultural productivity,11 Asian countries,Historical data (1980-2016),2016,Baseline,Coefficient,0.954,0.325,NA,NA,NA,NA,Table 4,Long-run coefficient for lnRF using PMG estimator; significant at 1% level.
8,Agricultural productivity,11 Asian countries,Historical data (1980-2016),2016,Baseline,Coefficient,2.428,0.612,NA,NA,NA,NA,Table 4,Long-run coefficient for lnEC using PMG estimator; significant at 1% level.
9,Agricultural productivity,11 Asian countries,Historical data (1980-2016),2016,Baseline,Coefficient,0.692,0.116,NA,NA,NA,NA,Table 4,Long-run coefficient for lnFE using PMG estimator; significant at 1% level.
10,Agricultural productivity,11 Asian countries,Historical data (1980-2016),2016,Baseline,Coefficient,-0.554,0.282,NA,NA,NA,NA,Table 4,Long-run coefficient for lnCO2 using MG estimator; significant at 5% level.
11,Agricultural productivity,11 Asian countries,Historical data (1980-2016),2016,Baseline,Coefficient,0.808,0.317,NA,NA,NA,NA,Table 4,Long-run coefficient for lnEC using MG estimator; significant at 5% level.
12,Agricultural productivity,11 Asian countries,Historical data (1980-2016),2016,Baseline,Coefficient,0.431,0.171,NA,NA,NA,NA,Table 4,Long-run coefficient for lnFE using DFE estimator; significant at 5% level.
13,Agricultural productivity,11 Asian countries,Historical data (1980-2016),2016,Baseline,Coefficient,0.141,0.037,NA,NA,NA,NA,Table 4,Short-run coefficient for ∆lnCO2 using PMG estimator; significant at 1% level.
14,Agricultural productivity,11 Asian countries,Historical data (1980-2016),2016,Baseline,Coefficient,-0.127,0.044,NA,NA,NA,NA,Table 4,Short-run coefficient for ∆lnEC using PMG estimator; significant at 1% level.
15,Agricultural productivity,11 Asian countries,Historical data (1980-2016),2016,Baseline,Coefficient,0.153,0.052,NA,NA,NA,NA,Table 4,Short-run coefficient for ∆lnCO2 using MG estimator; significant at 1% level.
16,Agricultural productivity,11 Asian countries,Historical data (1980-2016),2016,Baseline,Coefficient,-0.185,0.083,NA,NA,NA,NA,Table 4,Short-run coefficient for ∆lnEC using MG estimator; significant at 5% level.
17,Agricultural productivity,11 Asian countries,Historical data (1980-2016),2016,Baseline,Coefficient,-0.048,0.026,NA,NA,NA,NA,Table 4,Short-run coefficient for ∆lnRF using MG estimator; significant at 10% level.
