,Outcome,Region,Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,Spawning Biomass,Eastern Bering Sea,CESM ssp585,2099,Unfished level,%,-80,NA,NA,NA,NA,NA,8,Spawning biomass drops below 20% of unfished level.
1,Spawning Biomass,Eastern Bering Sea,GFDL ssp585,2099,Unfished level,%,-80,NA,NA,NA,NA,NA,8,Spawning biomass drops below 20% of unfished level.
2,R-squared,Eastern Bering Sea,NA,2022,NA,NA,0.168,NA,NA,NA,NA,NA,Image on 8,Model 1
3,R-squared,Eastern Bering Sea,NA,2022,NA,NA,0.157,NA,NA,NA,NA,NA,Image on 8,Model 2
4,R-squared,Eastern Bering Sea,NA,2022,NA,NA,0.157,NA,NA,NA,NA,NA,Image on 8,Model 3
5,R-squared,Eastern Bering Sea,NA,2022,NA,NA,0.117,NA,NA,NA,NA,NA,Image on 8,Model 4
6,Spawning Biomass,Eastern Bering Sea,ssp126,2099,Target Level,%,-100,NA,NA,NA,NA,NA,8,Spawning biomass below the target level of 40% of the unfished level by the end of the projection period.
7,Spawning Biomass,Eastern Bering Sea,CESM ssp585,2099,Target Level,%,-100,NA,NA,NA,NA,NA,8,Spawning biomass below the target level of 40% of the unfished level by the end of the projection period.
8,Spawning Biomass,Eastern Bering Sea,GFDL ssp585,2099,Target Level,%,-100,NA,NA,NA,NA,NA,8,Spawning biomass below the target level of 40% of the unfished level by the end of the projection period.
9,Spawning biomass,Eastern Bering Sea,GFDL ssp585,2099,20% unfished biomass,Threshold,1,NA,NA,NA,NA,NA,Page 9,Basing future catches on GFDL ssp585 keeps the stock generally above the threshold.
10,Spawning biomass,Eastern Bering Sea,MIROC ssp126,2099,20% unfished biomass,Threshold,-1,NA,NA,NA,NA,NA,Page 9,Probability of dropping below 20% of unfished spawning biomass threshold remains high when higher catches from MIROC ssp126 are applied.
11,Profit,Eastern Bering Sea,GFDL ssp585,2099,First 10 years,%,100,NA,NA,NA,NA,NA,Page 9,Median profit percentages are at or above 100% during the last 20 years of the projection period.
12,Profit,Eastern Bering Sea,MIROC ssp126,2099,First 10 years,%,99,NA,NA,NA,NA,NA,Page 9,Lower profit percentages when catch limits are based on MIROC ssp126.
