,Outcome,Country(ies),Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,GDP Fluctuations,New Zealand,Climate change,2020,No CC,%,35,NA,NA,NA,NA,NA,1,Weather shocks explain about 35% of GDP and agricultural output fluctuations.
1,Agric Output,New Zealand,Climate change,2020,No CC,%,35,NA,NA,NA,NA,NA,1,Weather shocks explain about 35% of GDP and agricultural output fluctuations.
2,Welfare Cost,New Zealand,Climate change,2020,No CC,% of permanent consumption,-0.30,NA,NA,NA,NA,NA,1,Entails a welfare cost of 0.30% of permanent consumption.
3,Welfare Cost,New Zealand,Worst case,2020,No CC,% of permanent consumption,-0.46,NA,NA,NA,NA,NA,1,"Increases the macroeconomic volatility under climate change, resulting in a higher welfare cost peaking to 0.46% in the worst case scenario of climate change."
4,Consumption,New Zealand,IPCC(2014),2100,No CC,%,-0.30,NA,NA,NA,NA,NA,4,Households willing to give up this much consumption to rule out weather shocks
5,Consumption,New Zealand,Worst-case CC,2100,No CC,%,-0.46,NA,NA,NA,NA,NA,4,Households willing to give up this much consumption to rule out weather shocks
6,GDP Volatility,New Zealand,IPCC(2014),2100,No CC,index,1,NA,NA,NA,NA,NA,4,Climate change increases the variability
7,Agricultural Output Volatility,New Zealand,IPCC(2014),2100,No CC,index,1,NA,NA,NA,NA,NA,4,Climate change increases the variability
8,Real Exchange Rate Volatility,New Zealand,IPCC(2014),2100,No CC,index,1,NA,NA,NA,NA,NA,4,Climate change increases the variability
9,Productivity growth,US,Unknown,2017,No CC,percentage point decrease,-1.4,NA,NA,NA,NA,NA,6,"Refers to results from Donadelli et al.(2017) paper, not from this paper's own results. The result is from Donadelli et al. (2017) paper, so the year is assumed to be that paper's publication year."
10,Agricultural Production,New Zealand,Historical data,2015,No CC,%,-0.12,NA,NA,NA,NA,NA,9,Contemporaneous impact from a one-standard-deviation drought shock
11,Agricultural Production,New Zealand,Historical data,2015,No CC,%,-1.27,NA,NA,NA,NA,NA,9,Peak decline three periods after a one-standard-deviation drought shock
12,GDP,New Zealand,Historical data,2015,No CC,%,-0.05,NA,NA,NA,NA,NA,9,Contemporaneous impact from a one-standard-deviation drought shock
13,Agricultural Output,New Zealand,Weather shock,2020,Pre-shock,%,-1.5,NA,NA,NA,NA,NA,29,Decline in agricultural output following a standard weather shock. Year is the paper's year of publication.
14,Land Productivity,New Zealand,Drought shock,2020,Pre-shock,%,-22,NA,NA,NA,NA,NA,29,Decrease in land productivity following a drought shock. Year is the paper's year of publication.
15,Agricultural production,New Zealand,Historical weather conditions,2008,All shocks,%,-6,NA,NA,NA,NA,NA,32,Contribution of weather shock to fluctuations in agricultural production.
16,Agricultural production,New Zealand,Historical weather conditions,2008,All shocks,%,-1.5,NA,NA,NA,NA,NA,32,Contribution of weather shock to contraction of agricultural production following drought.
17,Agricultural production,New Zealand,Historical weather conditions,2016,All shocks,%,-5,NA,NA,NA,NA,NA,32,Contribution of drought to contraction of agricultural supply.
18,GDP,New Zealand,Historical weather conditions,2008,All shocks,%,-1,NA,NA,NA,NA,NA,32,Combined effect of droughts.
19,Consumption,New Zealand,Historical weather conditions,2008,All shocks,%,-1,NA,NA,NA,NA,NA,32,Combined effect of droughts.
20,Hours worked,New Zealand,Historical weather conditions,2008,All shocks,%,1,NA,NA,NA,NA,NA,32,Combined effect of droughts. Contraction in GDP and Consumption while labor supplied increased.
21,GDP growth,New Zealand,Historical weather conditions,2010,All shocks,%,2,NA,NA,NA,NA,NA,32,"Weather's contribution to the growth rate of GDP, example year."
22,GDP growth,New Zealand,Historical weather conditions,2010,All shocks,%,-2,NA,NA,NA,NA,NA,32,"Weather's contribution to the growth rate of GDP, example year."
23,Consumption growth,New Zealand,Historical weather conditions,2010,All shocks,%,2,NA,NA,NA,NA,NA,32,"Weather's contribution to the growth rate of consumption, example year."
