,Outcome,Region,Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,Agricultural Productivity,Global,NA,2013,1969,% per annum,0.44,NA,NA,NA,NA,NA,Page 3,Driven by technological progress and mix-efficiency change; variations across regions
1,TFP,Global,Historical,2013,1969,%,0.44,NA,NA,NA,NA,NA,p7,Geometric mean of global agricultural TFP growth rate from 1969 to 2013.
2,Technical efficiency,Global,Historical,2013,1969,%,0.05,NA,NA,NA,NA,NA,p7,Geometric mean of global technical efficiency growth rate from 1969 to 2013.
3,Scale efficiency,Global,Historical,2013,1969,%,0.04,NA,NA,NA,NA,NA,p7,Geometric mean of global scale efficiency growth rate from 1969 to 2013.
4,Mix-efficiency,Global,Historical,2013,1969,%,0.32,NA,NA,NA,NA,NA,p7,Geometric mean of global mix-efficiency growth rate from 1969 to 2013.
5,Residual scale efficiency,Global,Historical,2013,1969,%,0.19,NA,NA,NA,NA,NA,p7,Geometric mean of global residual scale efficiency growth rate from 1969 to 2013.
6,Scale–mix efficiency,Global,Historical,2013,1969,%,0.55,NA,NA,NA,NA,NA,p7,Geometric mean of global scale–mix efficiency growth rate from 1969 to 2013.
7,TFP change index,Global,Historical,2013,1969,index,1.014,NA,NA,NA,NA,NA,p7,Geometric mean of TFP change index from 1969 to 2013.
8,TFP Change,Low income countries,Historical,2013,Baseline,Index,1.001,NA,NA,NA,NA,NA,p. 10,Geometric mean of TFP change.
9,Tech. Efficiency,Low income countries,Historical,2013,Baseline,Index,0.940,NA,NA,NA,NA,NA,p. 10,Geometric mean of efficiency change.
10,Scale Efficiency,Low income countries,Historical,2013,Baseline,Index,0.980,NA,NA,NA,NA,NA,p. 10,Geometric mean of efficiency change.
11,Mix-Efficiency,Low income countries,Historical,2013,Baseline,Index,0.944,NA,NA,NA,NA,NA,p. 10,Geometric mean of efficiency change.
12,TFP Change,Low middle income countries,Historical,2013,Baseline,Index,0.975,NA,NA,NA,NA,NA,p. 10,Geometric mean of TFP change.
13,Tech. Efficiency,Low middle income countries,Historical,2013,Baseline,Index,0.879,NA,NA,NA,NA,NA,p. 10,Geometric mean of efficiency change.
14,Scale Efficiency,Low middle income countries,Historical,2013,Baseline,Index,0.965,NA,NA,NA,NA,NA,p. 10,Geometric mean of efficiency change.
15,Mix-Efficiency,Low middle income countries,Historical,2013,Baseline,Index,0.947,NA,NA,NA,NA,NA,p. 10,Geometric mean of efficiency change.
16,TFP Change,Upper-middle income countries,Historical,2013,Baseline,Index,1.105,NA,NA,NA,NA,NA,p. 10,Geometric mean of TFP change.
17,Tech. Efficiency,Upper-middle income countries,Historical,2013,Baseline,Index,0.916,NA,NA,NA,NA,NA,p. 10,Geometric mean of efficiency change.
18,Scale Efficiency,Upper-middle income countries,Historical,2013,Baseline,Index,0.978,NA,NA,NA,NA,NA,p. 10,Geometric mean of efficiency change.
19,Mix-Efficiency,Upper-middle income countries,Historical,2013,Baseline,Index,1.041,NA,NA,NA,NA,NA,p. 10,Geometric mean of efficiency change.
20,TFP Change,High income countries,Historical,2013,Baseline,Index,1.236,NA,NA,NA,NA,NA,p. 10,Geometric mean of TFP change.
21,Tech. Efficiency,High income countries,Historical,2013,Baseline,Index,0.963,NA,NA,NA,NA,NA,p. 10,Geometric mean of efficiency change.
22,Scale Efficiency,High income countries,Historical,2013,Baseline,Index,0.995,NA,NA,NA,NA,NA,p. 10,Geometric mean of efficiency change.
23,Mix-Efficiency,High income countries,Historical,2013,Baseline,Index,1.012,NA,NA,NA,NA,NA,p. 10,Geometric mean of efficiency change.
24,TFP Change,Low elevation,Historical,2013,Baseline,Index,0.851,NA,NA,NA,NA,NA,p. 10,Geometric mean of TFP change.
25,Tech. Efficiency,Low elevation,Historical,2013,Baseline,Index,0.901,NA,NA,NA,NA,NA,p. 10,Geometric mean of efficiency change.
26,Scale Efficiency,Low elevation,Historical,2013,Baseline,Index,0.964,NA,NA,NA,NA,NA,p. 10,Geometric mean of efficiency change.
27,Mix-Efficiency,Low elevation,Historical,2013,Baseline,Index,0.942,NA,NA,NA,NA,NA,p. 10,Geometric mean of efficiency change.
28,TFP Change,Medium elevation,Historical,2013,Baseline,Index,1.147,NA,NA,NA,NA,NA,p. 10,Geometric mean of TFP change.
