,Outcome,Region,Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,Wallaby Grass Height,Australia,Observed,2024,Non-Biochar GR,cm,0,NA,NA,NA,NA,NA,9,"Biochar-amended GRs performed better than traditional GRs in terms of plant height, most noticeable effects were recorded in the final observation period (hot and dry); 0 represents an unspecified positive impact."
1,Common Everlasting Height,Australia,Observed,2024,Non-Biochar GR,cm,0,NA,NA,NA,NA,NA,9,GR-15M-M and GR7.5M-F had the greatest impact on common everlasting height in the last two observation periods; 0 represents an unspecified positive impact.
2,Billy Button Height,Australia,Observed,2024,Non-Biochar GR,cm,0,NA,NA,NA,NA,NA,9,Medium biochar particles mixed at the application rates of 7.5% and 15% v/v had the highest performance on billy button height; 0 represents an unspecified positive impact.
3,Plant Height,Local,Various Biochar Treatments,2024,No Amendment,Units,0,NA,NA,NA,NA,NA,Page 10,"The graphs depict average heights of Wallaby Grass and Common Everlasting over different time periods, showing trends but no specific quantifiable impacts due to climate change are reported; values are not directly extracted from the graphs. 0 is used to indicate no specific value is extracted."
4,Dry Weight,Australia,N/A,2024,No biochar,grams,0,NA,NA,NA,NA,NA,Page 11,"The study indicates the highest dry weights for plant species in green roofs with 15% medium biochar, but exact values are not specified. Assuming no change."
5,Substrate Temperature,Australia,Observed,2023,GR-0,degrees C,-4,NA,NA,NA,NA,NA,12,Maximum reduction in substrate temperature during the hottest times of hot days for GR-7.5M-M.
6,Substrate Temperature,Australia,Observed,2023,GR-0,degrees C,-3.5,NA,NA,NA,NA,NA,12,Maximum reduction in substrate temperature during the hottest times of hot days for GR-15M-M.
7,Substrate Temperature,Australia,Observed,2023,GR-0,degrees C,-2,NA,NA,NA,NA,NA,12,Reduction in substrate temperature during the cold days.
8,Substrate Temperature,Australia,Observed,2018,GR-0,degrees Celsius,0,NA,NA,NA,NA,NA,Figure of Page 14,"Qualitative comparison of GR-M and GR-F values relative to GR-0 and ambient temperature fluctuations between 27/06/2018 to 06/07/2018; different biochar treatments shown in each graph (GR-15M-M, GR-7.5M-M, GR-7.5B-M, GR-7.5M-F, GR-7.5T-F); no specific quantitative values extracted, only the relative change is depicted."
9,Substrate Temperature,Australia,Observed,2022,GR-0,degrees Celsius,0,NA,NA,NA,NA,NA,Figure of Page 14,"Qualitative comparison of GR-15M-M, GR-7.5M-M, GR-7.5B-M, GR-7.5M-F, GR-7.5T-F, relative to GR-0 and ambient temperature fluctuations between 30/12/2021 to 04/02/2022; no specific quantitative values extracted, only the relative change is depicted."
10,Water retention capacity,Local,No CC,2023,Traditional GRs,%,10,NA,NA,NA,NA,NA,Page 18,Biochar increases water retention capacity in green roofs during the summer.
11,Runoff retention,Local,No CC,2023,Traditional GRs,%,14.25,NA,NA,NA,NA,NA,Page 18,3 cm to 5 cm biochar layers increase runoff retention from around 60% to approximately 68%.
