,Impacted Sector,Solution,Country(ies),Scenario,Quantification,Expression,Type of Value,Sample,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,Coastal,Coastal Protection,Australia,RCP2.6,DiscountedSum,AdaptationCost [million USD / km],Economic,Need,million USD / km,0.573792,NA,NA,NA,NA,NA,Page 1,Costs escalate between RCP2.6 and RCP8.5 scenarios.
1,Coastal,Coastal Protection,Australia,RCP8.5,DiscountedSum,AdaptationCost [million USD / km],Economic,Need,million USD / km,1.7,NA,NA,NA,NA,NA,Page 1,Costs escalate between RCP2.6 and RCP8.5 scenarios.
2,Coastal,Coastal protection,Australia,RCP2.6,NPV,DiscountedSum(AdaptationCost),Monetary,Need,USD/km,574000,NA,NA,NA,NA,NA,Table 6,r=3%
3,Coastal,Coastal protection,Australia,RCP4.5,NPV,DiscountedSum(AdaptationCost),Monetary,Need,USD/km,937000,NA,NA,NA,NA,NA,Table 6,r=3%
4,Coastal,Coastal protection,Australia,RCP6,NPV,DiscountedSum(AdaptationCost),Monetary,Need,USD/km,928000,NA,NA,NA,NA,NA,Table 6,r=3%
5,Coastal,Coastal protection,Australia,RCP8.5,NPV,DiscountedSum(AdaptationCost),Monetary,Need,USD/km,1715000,NA,NA,NA,NA,NA,Table 6,r=3%
6,Coastal,Coastal protection,Australia,RCP2.6,NPV,DiscountedSum(AdaptationCost),Monetary,Need,USD/km,1780800,NA,NA,NA,NA,NA,Table 7,r=1%
7,Coastal,Coastal protection,Australia,RCP4.5,NPV,DiscountedSum(AdaptationCost),Monetary,Need,USD/km,3098000,NA,NA,NA,NA,NA,Table 7,r=1%
8,Coastal,Coastal protection,Australia,RCP6,NPV,DiscountedSum(AdaptationCost),Monetary,Need,USD/km,3099000,NA,NA,NA,NA,NA,Table 7,r=1%
9,Coastal,Coastal protection,Australia,RCP8.5,NPV,DiscountedSum(AdaptationCost),Monetary,Need,USD/km,11193000,NA,NA,NA,NA,NA,Table 7,r=1%
10,Coastal,Coastal Protection,Australia,RCP2.6,NPV,DiscountedSum(AdaptationCost),Monetary,Need,$,713000,NA,NA,NA,NA,NA,Table 8,"Total NPV of coastal protection between 2020 and 2100, r=7.5%"
11,Coastal,Coastal Protection,Australia,RCP2.6,Adaptation Costs (per km),AdaptationCost,Monetary,Need,$/km,55000,NA,NA,NA,NA,NA,Table 8,"Cost of coastal protection between 2020 and 2100 (NPV/km), r=7.5%"
12,Coastal,Coastal Protection,Australia,RCP4.5,NPV,DiscountedSum(AdaptationCost),Monetary,Need,$,1215000,NA,NA,NA,NA,NA,Table 8,"Total NPV of coastal protection between 2020 and 2100, r=7.5%"
13,Coastal,Coastal Protection,Australia,RCP4.5,Adaptation Costs (per km),AdaptationCost,Monetary,Need,$/km,93000,NA,NA,NA,NA,NA,Table 8,"Cost of coastal protection between 2020 and 2100 (NPV/km), r=7.5%"
