,Outcome,Region,Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,Dengue suitability,Global,Not specified,2022,1979,People,2500000000,NA,NA,NA,NA,NA,Page 1,"The study explored how climate suitability for dengue transmission changed due to climate and population factors, highlighting a significant increase in global populations living in high-risk areas."
1,Population Risk,Global,Observed,2022,1983,Percentage Points (pp),10.8,NA,90%,10.0,90%,11.8,Page 5,The global population living in high-risk areas increased from 48.8% to 60.0%.
2,Climate Suitability,Global,Observed,2022,1983,Percentage Points (pp),1.1,NA,90%,0.9,90%,1.4,Page 5,Proportion of land area with high climate suitability increased from 38.4% to 39.5%.
3,Population Risk,Africa,Observed,2022,1983,Percentage Points (pp),4.6,NA,90%,4.2,90%,5.9,Page 5,Population in high-risk settings increased from 59.6% to 64.2%.
4,Population Risk,Asia,Observed,2022,1983,Percentage Points (pp),9.3,NA,90%,7.2,90%,12.0,Page 5,Population in high-risk settings increased from 63.1% to 72.3%.
5,Population Risk,North America,Observed,2022,1983,Percentage Points (pp),9.1,NA,90%,5.3,90%,11.2,Page 5,Population in high-risk settings increased from 25.6% to 34.9%.
6,Population Risk,South America,Observed,2022,1983,Percentage Points (pp),3.5,NA,90%,3.1,90%,3.8,Page 5,Population in high-risk settings increased from 38.6% to 42.1%.
7,Climate Impact,Global South,Observed,2022,1983,People,2160000000,NA,NA,NA,NA,NA,Page 5,Independent impact of climate change: 2.16 billion more people in high-risk areas.
8,Population Impact,Global South,Observed,2022,1983,People,182000000,NA,NA,NA,NA,NA,Page 5,Independent impact of population growth: 182 million more people in high-risk areas.
9,Climate suitability,Global,Historical,2022,1979-1983,Percentage Points,7.7,NA,90%,4.7,90%,13.0,Page 6,High and very high density areas globally showed an increase in climate suitability for DENV transmission from 58.5% to 66.2%.
10,Climate suitability,Global,Historical,2022,1979-1983,Percentage Points,15.5,NA,90%,14.1,90%,17.0,Page 6,Very high density areas globally showed a significant increase in climate suitability for DENV transmission from 48.1% to 63.6%.
11,Climate suitability,Upper-middle/High income,Historical,2022,1979-1983,Percentage Points,1.3,NA,90%,0.2,90%,2.4,Page 6,Upper-middle income economies saw an increase in land area with high climate suitability from 31.6% to 32.9%.
12,Climate suitability,Upper-middle/High income,Historical,2022,1979-1983,Percentage Points,1.6,NA,90%,0.3,90%,2.5,Page 6,High income economies experienced an increase in land area with high climate suitability from 20.5% to 22.2%.
13,Climate suitability,Temperate,Historical,2022,1979-1983,Percentage Points,5.3,NA,90%,3.2,90%,6.2,Page 6,"Significant increase in climate suitability in temperate zones, from 25.2% to 30.5%."
14,Climate suitability,Tropical,Historical,2022,1979-1983,Percentage Points,2.6,NA,90%,1.3,90%,3.5,Page 6,Tropical climate zones experienced an increase in high climate suitability from 87.5% to 90.1%.
15,Population at Risk,Africa and Asia,Historical,2022,Four decades earlier,%,15,NA,NA,NA,NA,NA,7,"Approximately 70% of the populations in Africa and Asia are currently living in areas with a high risk of infection, a roughly 15% increase relative to four decades earlier, assuming favorable conditions for vector establishment."
