,Outcome,Region,Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,Efficiency,Global,NA,2024,Increase in Temperature,% per degree Celsius,-0.45,0.05,NA,NA,NA,NA,Page 2,Temperature increase reduces efficiency; range given is impact per degree Celsius; value is midpoint with half the range as SD.
1,Output,Desert regions,NA,2024,No CC,%,-60,NA,NA,NA,NA,NA,Page 2,"Desert regions experience up to a 60% reduction in electricity output due to atmospheric conditions like clouds, aerosols, pollutants, and dust."
2,Performance Ratio,Global,Unspecified,2025,400 W/m2," ""%""",-7,NA,NA,NA,NA,NA,4,Performance ratio falls by 7-9% at 150 W/m2 compared to 400 W/m2
3,Performance Ratio,Global,Unspecified,2025,400 W/m2," ""%""",-9,NA,NA,NA,NA,NA,4,Performance ratio falls by 7-9% at 150 W/m2 compared to 400 W/m2
4,Power Output,Unspecified,Unspecified,2025,STC,%,-10,NA,NA,NA,NA,NA,6,Real-world power delivery can deviate by up to 10% from Standard Test Conditions (STC) due to temperature and other environmental factors; using 2025 as the publication year.
5,Efficiency,Unspecified,Unspecified,2025,STC,%/degree C,0,NA,NA,NA,NA,NA,6,Efficiency loss due to temperature is quantified by temperature coefficient of power; using 0 as an indicator that a negative temperature coefficient means efficiency goes down with increasing temperature; 2025 as the publication year.
6,Solar PV Capacity,United States,No specific scenario,2017,No CC,GW,-21.56,NA,NA,NA,NA,NA,Page 14,"This value indicates a reduction in solar power capacity due to the solar eclipse on August 21, 2017, affecting nearly 22 GW of total generating capacity at the time."
7,Solar PV Capacity,United States,No specific scenario,2024,No CC,GW,-55,NA,NA,NA,NA,NA,Page 14,"This value indicates a reduction in solar power capacity due to the solar eclipse on April 8, 2024, affecting over three times more capacity compared to 2017."
8,Solar PV Production,Texas,No specific scenario,2017,Pre-eclipse,GW,-5.7,NA,NA,NA,NA,NA,Page 14,"Represents the drop in state-wide solar PV production during the 2017 eclipse, from 7.2 GW to 1.5 GW over 40 minutes."
9,GHI,Global,Climate change,1960,2000,%,0.1,NA,NA,NA,NA,NA,15,Global horizontal irradiance reduction greater than 0% from 1960 to 2000 due to climate change. Using 0.1 as a placeholder.
10,GHI,Germany,Historical Data,1964,1990,% / decade,-8,NA,NA,NA,NA,NA,15,Solar irradiance decreased on cloudy days between 1964 and 1990 by 8% per decade.
11,Water Vapor,Global,Late 19th Century,1960,NA,% increase / degree of warming,7,NA,NA,NA,NA,NA,15,Atmospheric water vapor concentration increased by 7% for every degree of warming since the late 19th century.
