,Outcome,Region,Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,TC intensification rate,near coastal regions,Historical,2020,1979,kt per 24-hr,3,NA,NA,NA,NA,NA,Page 1,"Observed historical increase in tropical cyclone intensification rate close to the coast over the period 1979-2020, primarily aided by increases in relative humidity and decreases in vertical wind shear."
1,TC Intensification Rate,Global Nearshore,Observed,2000,1979,kt 6h⁻¹,0.78,NA,NA,NA,NA,NA,4,Difference in mean intensification rate between 2000-2020 and 1979-1999. p-value 0.04
2,TC Intensification Rate,Global Nearshore,Observed,1979,No CC,kt 6h⁻¹,0.37,NA,NA,NA,NA,NA,4,Mean intensification rate during 1979-1999
3,TC Intensification Rate,Global Nearshore,Observed,2000,No CC,kt 6h⁻¹,1.13,NA,NA,NA,NA,NA,4,Mean intensification rate during 2000-2020
4,Vertical Wind Shear,Global Nearshore,1979-2020,2020,1979,ms-1year-1,-0.026,NA,NA,NA,NA,NA,6,Trend magnitude for nearshore regions.
5,Vertical Wind Shear,Global Offshore,1979-2020,2020,1979,ms-1year-1,-0.011,NA,NA,NA,NA,NA,6,Trend magnitude for offshore regions.
6,Relative Humidity,Global Nearshore,1979-2020,2020,1979,%year-1,0.057,NA,NA,NA,NA,NA,6,Trend magnitude for nearshore regions.
7,Relative Humidity,Global Offshore,1979-2020,2020,1979,%year-1,0.0,NA,NA,NA,NA,NA,6,"Trend magnitude for offshore regions, positive but weak."
8,SST Trend,Global,Historical,2020,1979,°C per year,0.014,NA,NA,NA,NA,NA,Page 7,Coastal SST increase over 1979-2020
9,SST Trend,Global,Historical,2020,1979,°C per year,0.006,NA,NA,NA,NA,NA,Page 7,Offshore SST increase over 1979-2020
10,WS Trend,Global,Historical,2020,1979,m/s per year,-0.026,NA,NA,NA,NA,NA,Page 7,Coastal wind speed decrease over 1979-2020
11,WS Trend,Global,Historical,2020,1979,m/s per year,-0.003,NA,NA,NA,NA,NA,Page 7,"Offshore wind speed decrease over 1979-2020, less pronounced"
12,RH Trend,Global,Historical,2020,1979,% per year,0.057,NA,NA,NA,NA,NA,Page 7,Coastal relative humidity increase over 1979-2020
