,Outcome,Country(ies),Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,Direct losses,U.S.,Present climate,2009,No CC,million U.S.$ per landfall,-1578,NA,NA,NA,NA,NA,377,Mean direct losses per landfall; the paper was published in 2009.
1,Direct losses,U.S.,Present climate,2009,No CC,million U.S.$ per track,-980,NA,NA,NA,NA,NA,377,Mean direct losses per hurricane track; the paper was published in 2009.
2,Property Damage,U.S.,Post-Andrew Code,2002,Pre-Andrew Code,USD billion,-10.4,NA,NA,NA,NA,NA,379,Estimated combined loss reduction if all buildings in South Florida were retrofitted or in compliance with the specified building codes.
3,Production,U.S.,Katrina Landfall,2005,Pre-storm situation,percent,-8,NA,NA,NA,NA,NA,383,Instantaneous production reduction
4,Reconstruction period,U.S.,Katrina Landfall,2015,Pre-storm situation,years,10,NA,NA,NA,NA,NA,383,Time to return to pre-storm situation
5,Gross State Product,U.S.,Katrina,2005,Pre-Katrina,percent,-2.8,NA,NA,NA,NA,NA,384,Loss over the four last months of 2005. Model underestimation.
6,Gross State Product,U.S.,Katrina,2005,Pre-Katrina,percent,-4.5,NA,NA,NA,NA,NA,384,Observed growth loss according to BEA data.
7,Production,U.S.,Katrina,2005,Pre-Katrina,Billion USD,-28,NA,NA,NA,NA,NA,Page 385,Estimated sector production loss during the reconstruction period after Hurricane Katrina.
8,Housing services,U.S.,Katrina,2005,Pre-Katrina,Billion USD,-19,NA,NA,NA,NA,NA,Page 385,Estimated loss in housing service production due to damaged houses and buildings.
9,Total losses,U.S.,Katrina,2005,Pre-Katrina,Billion USD,-154,NA,NA,NA,NA,NA,Page 385,"Total losses, including production loss and reconstruction-related production, with EAR = 1.44."
10,Economic Amplification Ratio,U.S.,Katrina,2005,No CC,Ratio,1.44,NA,NA,NA,NA,NA,379,Direct losses of $100 billion
11,Economic Amplification Ratio,U.S.,Synthetic,2005,No CC,Ratio,2.00,NA,NA,NA,NA,NA,379,Direct losses of $200 billion
12,Indirect losses,U.S.,Katrina,2005,No CC,US$b,-40,NA,NA,NA,NA,NA,379,"Direct losses below U.S. $40b (negative indirect losses, economic system damps shock)"
13,Total losses,U.S.,Modified Climate,2009,No CC,Million U.S.$ per landfall,2272,NA,NA,NA,NA,NA,Page 387,In the modified climate scenario with increased hurricane intensity.
14,Total losses,U.S.,Present Climate,2009,No CC,Million U.S.$ per landfall,1426,NA,NA,NA,NA,NA,Page 387,Total losses are lower than direct losses due to the economic system's ability to limit them.
15,Total losses,U.S.,Modified Climate,2009,Present Climate,Percentage,59,NA,NA,NA,NA,NA,Page 387,A 10% increase in potential hurricane intensity results in a 59% increase in total economic losses.
16,High-cost hurricane risk,U.S.,Modified Climate,2009,Present Climate,Likelihood ratio,2,NA,NA,NA,NA,NA,Page 387,Likelihood of hurricane landfall causing damage over $50 billion doubles with a 10% increase in potential intensity.
