,Outcome,Country(ies),Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,Crop yield,US,RCP 4.5,2030,No CC,%,-0.6,NA,NA,NA,NA,NA,Page 10,Average of 2020-2039
1,Crop yield,US,RCP 4.5,2050,No CC,%,-0.9,NA,NA,NA,NA,NA,Page 10,Average of 2040-2059
2,Crop yield,US,RCP 4.5,2090,No CC,%,-3.4,NA,NA,NA,NA,NA,Page 10,Average of 2080-2099
3,Crop yield,US,RCP 8.5,2090,No CC,%,-15.3,NA,NA,NA,NA,NA,Page 10,Average of 2080-2099
4,Crop yield,US,RCP 4.5,2030,"No CC, no carbon fertilization",%,-4.1,NA,NA,NA,NA,NA,Page 10,Average of 2020-2039
5,Crop yield,US,RCP 4.5,2050,"No CC, no carbon fertilization",%,-8.4,NA,NA,NA,NA,NA,Page 10,Average of 2040-2059
6,Crop yield,US,RCP 4.5,2090,"No CC, no carbon fertilization",%,-14.4,NA,NA,NA,NA,NA,Page 10,Average of 2080-2099
7,Economic Costs,US,RCP 8.5,2040,Business as Usual,billion USD,-24,NA,NA,NA,NA,NA,Page 12,Refers to median estimate
8,Economic Costs,US,RCP 8.5,2050,Business as Usual,billion USD,9,NA,5%,7.3,95%,9.2,Page 12,Includes fire response and recreation in coral reefs. Values reported as range are 95% Confidence Intervals.
9,Economic Costs,US,RCP 8.5,2040,Business as Usual,billion USD,1.7,NA,NA,0.5,NA,5.2,Page 12,
10,Economic Costs,US,RCP 8.5,2050,Business as Usual,billion USD,8,NA,5%,1.7,95%,8.3,Page 12,"Includes Recreation in coral reefs, values are 95% Confidence Intervals."
11,Economic Costs,US,RCP 8.5,2040,Business as Usual,billion USD,11,NA,NA,NA,NA,53,Page 12,
12,Economic Costs,US,RCP 8.5,2050,Business as Usual,billion USD,33,NA,NA,NA,NA,89,Page 12,
13,Economic Costs,US,RCP 8.5,2040,Business as Usual,billion USD,93,NA,NA,NA,NA,536,Page 12,
14,Economic Costs,US,RCP 8.5,2050,Business as Usual,billion USD,45,NA,NA,NA,NA,156,Page 12,
15,Damage,US,RCP 8.5,2050,Business as Usual,billion USD,18,NA,NA,NA,NA,NA,Page 12,Coral Reefs
16,Morality,US,RCP 8.5,2050,Business as Usual,billion USD,67,NA,NA,NA,NA,160,Page 12,
17,Fishering,US,RCP 8.5,2050,Business as Usual,billion USD,0.3,NA,5%,NA,95%,1.0,Page 12,Recreation in coral reefs
18,Crop Yields,US,RCP 8.5,2030,No CC,$ billions,-2.5,NA,NA,NA,NA,NA,Page 13,Average annual direct cost. 2020-2039 period reported as 2030. Benefit reported as negative cost.
19,Crop Yields,US,RCP 8.5,2030,No CC,$ billions,3.5,NA,NA,NA,NA,NA,Page 13,Average annual direct cost. 2020-2039 period reported as 2030. Benefit reported as negative cost.
20,Crop Yields,US,RCP 8.5,2050,No CC,$ billions,-3.6,NA,NA,NA,NA,NA,Page 13,Average annual direct cost. 2040-2059 period reported as 2050. Benefit reported as negative cost.
21,Crop Yields,US,RCP 8.5,2050,No CC,$ billions,7.8,NA,NA,NA,NA,NA,Page 13,Average annual direct cost. 2040-2059 period reported as 2050. Benefit reported as negative cost.
22,Crop Yields,US,RCP 8.5,2090,No CC,$ billions,-3.9,NA,NA,NA,NA,NA,Page 13,Average annual direct cost. 2080-2099 period reported as 2090. Benefit reported as negative cost.
23,Crop Yields,US,RCP 8.5,2090,No CC,$ billions,24,NA,NA,NA,NA,NA,Page 13,Average annual direct cost. 2080-2099 period reported as 2090. Benefit reported as negative cost.
24,Impacts,US,Business-as-usual,2100,With adaptation,Bil. 2005$ disc. 2015,-990,NA,NA,NA,NA,NA,Page 14: CIRA report,The estimated impact of sea level rise and storm surge after cost-effective adaptation action.
25,Impacts,US,Business-as-usual,2100,No adaptation,Bil. 2005$ disc. 2015,-4000,NA,NA,NA,NA,NA,"Page 14: Waldhoff et al., 2014",This is an estimate of impacts without any adaptation action.
26,Coastal property,US,Business-as-usual,2050,No adaptation,Bil. 2015$,-66,NA,5%,-66,95%,-106,Page 14: Risky Business Project,"Estimates of existing coastal property likely to be below sea level by 2050, excluding adaptation action."
27,Coastal property,US,Business-as-usual,2100,No adaptation,Bil. 2015$,-238,NA,5%,-238,95%,-507,Page 14: Risky Business Project,"Estimates of existing coastal property likely to be below sea level by 2100, excluding adaptation action."
28,Coastal damage,US,No CC,2024,NA,$ billion,42,NA,NA,NA,NA,NA,Page 15,Due to just sea level rise effect. Current year as no specific year mentioned.
29,Coastal damage,US,Climate Change,2024,No CC,$ billion,108,NA,NA,NA,NA,NA,Page 15,Potential changes in hurricane activity. Current year as no specific year mentioned.
30,Welfare,US,Climate change,2050,No CC,$ billion per year,0.5,NA,NA,NA,NA,NA,Page 16,Net welfare effect
31,Welfare,US,Climate change,2100,No CC,$ billion per year,-6.5,NA,NA,NA,NA,NA,Page 16,Net welfare effect
32,Welfare,US,Climate change,2100,No CC,$ billion per year,-15.0,NA,NA,NA,NA,NA,Page 16,Lower bound welfare decrease
33,Welfare,US,Climate change,2100,No CC,$ billion per year,-100,NA,NA,NA,NA,NA,Page 16,Upper bound welfare decrease
34,Welfare,US,Mitigation policy,2050,No CC,$ billion per year,3.3,NA,NA,NA,NA,NA,Page 16,Effect on welfare of mitigation
35,Welfare,US,Mitigation policy,2100,No CC,$ billion per year,9.4,NA,NA,NA,NA,NA,Page 16,Effect on welfare of mitigation
36,Welfare,US,Mitigation policy,2100,No CC,$ billion per year,14.5,NA,NA,NA,NA,NA,Page 16,Lower bound welfare increase
37,Welfare,US,Mitigation policy,2100,No CC,$ billion per year,84,NA,NA,NA,NA,NA,Page 16,Upper bound welfare increase
38,Welfare,US,Climate change,2100,No CC,$ billion per year,2.5,NA,NA,NA,NA,NA,Page 16,Welfare increase from mitigation
39,Infra damage,US,Unspecified,2100,No CC,$ billions,-260.0,NA,NA,NA,NA,NA,Page 18,"Cumulative impacts discounted at 3%. Includes bridges, roads, and urban drainage."
40,Mitigation benefit,US,Unspecified,2100,No CC,$ billions,85.0,NA,NA,NA,NA,NA,Page 18,Cumulative impacts discounted at 3%.
41,Mortality Costs,US,RCP 8.5,2050,No CC,billion USD per year,67,NA,NA,-24,NA,160,Page 19 of 10.1515/jbca-2014-9003,"$67 billion is the median estimate, ranges from -$24 billion to +$160 billion."
42,Mortality Costs,US,RCP 8.5,2090,No CC,billion USD per year,67,NA,NA,93,NA,536,Page 19 of 10.1515/jbca-2014-9003,Estimates show a significant increase in mortality costs late in the century.
43,Crime Costs,US,RCP 8.5,2030,No CC,$ million,90,NA,NA,NA,NA,2600,Page 20,"Average, direct property and violent annual crime costs"
44,Crime Costs,US,RCP 8.5,2050,No CC,$ million,1700,NA,NA,NA,NA,5200,Page 20,"Average, direct property and violent annual crime costs"
45,Crime Costs,US,RCP 8.5,2090,No CC,$ million,5300,NA,NA,NA,NA,11000,Page 20,"Average, direct property and violent annual crime costs"
46,Electricity demand,US,Reference,2050,Today's climate,%,1.5,NA,NA,NA,NA,NA,Page 21,Increase in electricity demand
47,Electricity demand,US,Reference,2050,Today's climate,%,6.5,NA,NA,NA,NA,NA,Page 21,Increase in electricity demand
48,Power system costs,US,Reference,2050,Today's climate,%,1.7,NA,NA,NA,NA,NA,Page 21,Cumulative costs discounted at 3% from 2015 to 2050
