,Outcome,Region,Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,BI Loss,Global,Historical,1960,No CC,USD billion (2005 PPP),26.9,NA,NA,NA,NA,NA,Page 1,Average 1960-2013
1,Asset Damage,Global,Historical,1960,No CC,USD billion (2005 PPP),130.9,NA,NA,NA,NA,NA,Page 1,Average 1960-2013
2,BI Loss per GDP,Global,RCP8.5/SSP3,2061,1971-2000,%,0.32,NA,NA,NA,NA,NA,Page 1,Average increase 2061-2090
3,Asset Damage per GDP,Global,RCP8.5/SSP3,2061,1971-2000,%,1.78,NA,NA,NA,NA,NA,Page 1,Average increase 2061-2090
4,Asset Damage,Global,NA,1990,NA,USD (2005 PPP),96000000000,NA,NA,NA,NA,NA,10,"Annual global asset damage estimated in this study, averaged from 1960 to 1999."
5,Asset Damage,Targeted River Basins,NA,1991,NA,USD (2005 PPP),56700000000,NA,NA,NA,NA,NA,10,"Targeted river basins with drainage area > 5000 km2, annual global asset damage estimated in this study, averaged from 1976 to 2005."
6,Business Interruption,America & Europe,Historical,2013,No CC,USD (2005 PPP),50000001,NA,NA,NA,NA,NA,11,High GDP contributed to high BI loss. > means greater than or equal.
7,Business Interruption,Tigris/Euphrates/Chao,Historical,2013,No CC,USD (2005 PPP),50000001,NA,NA,NA,NA,NA,11,Mild slopes resulted in prolonged inundation and high BI loss. > means greater than or equal.
8,Business Interruption,South America & Africa,Historical,2013,No CC,USD (2005 PPP),999999,NA,NA,NA,NA,NA,11,GDP was <50 billion (2005 PPP) in most targeted river basins. < means less than.
9,Business Interruption per GDP,Several river basins,Historical,2013,Global Average,% of GDP,0.31,NA,NA,NA,NA,NA,11,Global average is 0.12%. Long inundation periods. > means greater than or equal.
10,Business Interruption per GDP,America & Europe,Historical,2013,Global Average,% of GDP,0.09,NA,NA,NA,NA,NA,11,High GDP results in small BI Loss / GDP ratio. < means less than.
11,BI Loss,Global,Historical,1971,No CC,Billion USD,27.2,NA,NA,NA,NA,NA,13,Annual Average (2005 PPP)
12,Asset Damage,Global,Historical,1971,No CC,Billion USD,150.0,NA,NA,NA,NA,NA,13,Annual Average (2005 PPP)
13,BI Loss per GDP,Global,Historical,1971,No CC,%,0.10,NA,NA,NA,NA,NA,13,Annual Average
14,Asset Damage per GDP,Global,Historical,1971,No CC,%,0.55,NA,NA,NA,NA,NA,13,Annual Average
15,BI Loss,Global,RCP8.5/SSP3,2021,No CC,Billion USD,435.5,NA,NA,NA,NA,NA,13,Annual Average (2005 PPP)
16,Asset Damage,Global,RCP8.5/SSP3,2021,No CC,Billion USD,2586.1,NA,NA,NA,NA,NA,13,Annual Average (2005 PPP)
17,BI Loss per GDP,Global,RCP8.5/SSP3,2021,No CC,%,0.29,NA,NA,NA,NA,NA,13,Annual Average
18,Asset Damage per GDP,Global,RCP8.5/SSP3,2021,No CC,%,1.74,NA,NA,NA,NA,NA,13,Annual Average
19,BI Loss,Global,RCP8.5/SSP3,2061,No CC,Billion USD,940.4,NA,NA,NA,NA,NA,13,Annual Average (2005 PPP)
20,Asset Damage,Global,RCP8.5/SSP3,2061,No CC,Billion USD,5201.3,NA,NA,NA,NA,NA,13,Annual Average (2005 PPP)
21,BI Loss per GDP,Global,RCP8.5/SSP3,2061,No CC,%,0.42,NA,NA,NA,NA,NA,13,Annual Average
22,Asset Damage per GDP,Global,RCP8.5/SSP3,2061,No CC,%,2.33,NA,NA,NA,NA,NA,13,Annual Average
23,BI Loss,Targeted River Basins,Historical,1986,No CC,Million USD,951.7,NA,NA,NA,NA,NA,13,"Average in area ≥ 10,000 km2 (2005 PPP). Year is midpoint."
24,BI Loss per GDP,Targeted River Basins,Historical,1986,No CC,%,0.81,NA,NA,NA,NA,NA,13,"Average in area ≥ 10,000 km2. Year is midpoint."
25,BI Loss,"China, Thailand, Nile",RCP8.5/SSP3,2061,1971-2000,Billion USD,1.0,NA,NA,NA,NA,NA,13,Increase relative to past values (2005 PPP)
26,BI Loss,"China, Thailand, Nile",RCP8.5/SSP3,2061,No CC,Billion USD,5.0,NA,NA,NA,NA,NA,13,Projected to exceed (2005 PPP)
27,BI Loss,"America, Australia",RCP8.5/SSP3,2061,1971-2000,Million USD,100.0,NA,NA,NA,NA,NA,13,Increase relative to past values
28,BI Loss per GDP,"Nile/Niger, Sub-Sahara",RCP8.5/SSP3,2061,No CC,%,1.5,NA,NA,NA,NA,NA,13,Projected to exceed
29,BI Loss per GDP,Nile/Niger,RCP8.5/SSP3,2061,1971-2000,%,1.0,NA,NA,NA,NA,NA,13,Increase expected
