,Outcome,Region,Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,Freshwater Use,United States,Best-case,2070,Recent trends,%,-8,NA,NA,NA,NA,NA,1,Total consumptive water use.
1,Freshwater Use,United States,Worst-case,2070,Recent trends,%,235,NA,NA,NA,NA,NA,1,Total consumptive water use.
2,Thermoelectric Water Use,Colorado,Various,2070,No CC,million gallons per day,100,NA,NA,NA,NA,NA,12,"Lowest projections, upper bound"
3,Thermoelectric Water Use,South Atlantic Gulf,Various,2070,No CC,million gallons per day,800,NA,NA,NA,NA,NA,12,Lowest projections
4,Thermoelectric Water Use,US,Warmer Temperatures,2070,Population Growth Alone,%,20,NA,NA,NA,NA,60,12,Range is 20-60%
5,Thermoelectric Water Use,US,Extreme Case,2070,Population Growth Alone,billion gallons per day,6,NA,NA,NA,NA,NA,12,
6,Acres Irrigated,West,Various,2070,2015,acres,-800,NA,NA,NA,NA,NA,12,"Decline from 46,800 to just under 46,000"
7,Irrigation Water Use,US,Various,2070,2015,billion gallons,18,NA,NA,NA,NA,NA,12,Increase from 116 to 134
8,Water Use,United States,Best-case,2070,Current,%,-8,NA,NA,NA,NA,NA,14,"Wet and middle climate models, highest emissions and population growth; assuming projection year of 2070 based on paper methodology"
9,Water Use,United States,Worst-case,2070,Current,%,235,NA,NA,NA,NA,NA,14,"Driest models, highest emissions and population growth; assuming projection year of 2070 based on paper methodology"
10,Domestic Water Use,South-Central US,SSP5 & RCP 8.5,2070,Current,%,100,NA,NA,NA,NA,NA,14,Under the dry model; assuming projection year of 2070 based on paper methodology
11,Water Withdrawal,United States,A1B,2015,No CC,Ratio,1.2,NA,NA,NA,NA,NA,Page 15,The projected water withdrawal in 2015 was about 20% higher than the reported data from USGS.
