,Outcome,Country(ies),Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,GDP,Latin America,Lancet Countdown,2022,No CC,%,-0.28,NA,NA,NA,NA,NA,3,Economic losses due to weather-related extreme events.
1,Economic Losses,Latin America,Lancet Countdown,2022,No CC,US$ billion,-15.6,NA,NA,NA,NA,NA,3,Due to weather-related extreme events.
2,Heat mortality,Latin America,2023 global Lancet Countdown,2022,Average income,Number of people equivalent,-451000,NA,NA,NA,NA,NA,4,"Refers to losses exceeding the equivalent of the average income of 451,000 people annually due to heat-related mortality among those 65 and older."
3,GDP impact,Latin America,2023 global Lancet Countdown,2022,No labour capacity reduction,%,-1.34,NA,NA,NA,NA,NA,4,"Represents the total potential income loss due to heat-related labour capacity reduction, disproportionately affecting agriculture and construction sectors."
4,GDP impact,Latin America,2023 global Lancet Countdown,2022,No air pollution,%,-0.61,NA,NA,NA,NA,NA,4,Represents the economic toll of premature mortality from air pollution.
5,Subsidies vs health,Venezuela,IEA,2020,No subsidies,%,-123,NA,NA,NA,NA,NA,4,Venezuela had the highest net subsidies relative to current health expenditure.
6,Subsidies vs health,Argentina,IEA,2020,No subsidies,%,-10.5,NA,NA,NA,NA,NA,4,Argentina had the fossil fuel subsidies relative to current health expenditure.
7,Subsidies vs health,Bolivia,IEA,2020,No subsidies,%,-10.3,NA,NA,NA,NA,NA,4,Bolivia had the fossil fuel subsidies relative to current health expenditure.
8,Subsidies vs health,Ecuador,IEA,2020,No subsidies,%,-8.3,NA,NA,NA,NA,NA,4,Ecuador had the fossil fuel subsidies relative to current health expenditure.
9,Subsidies vs health,Chile,IEA,2020,No subsidies,%,-5.6,NA,NA,NA,NA,NA,4,Chile had the fossil fuel subsidies relative to current health expenditure.
10,Food insecurity,Latin America,No specific scenario given,2021,1981-2010 average,Million people,9.9,NA,NA,NA,NA,NA,Page 10,The increase in food insecurity is linked to the higher frequency of heatwaves and droughts.
