,Outcome,Country(ies),Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,Efficiency Score,Sub-Saharan African countries,Unspecified,2020,No CC,%,83,NA,NA,NA,NA,NA,1,Average efficiency score for producing cereal crops between 2005 and 2020
1,Productivity,Africa,No specific scenario,2050,No CC,%,0,NA,NA,NA,NA,NA,"Page 2, Paragraph 3",Climate change will offset improvements in agricultural productivity and GDP contribution in Africa by 2050.
2,GDP,Africa,No specific scenario,2050,No CC,%,0,NA,NA,NA,NA,NA,"Page 2, Paragraph 3",Climate change is likely to provoke GDP losses in regions with impeded irrigation.
3,Agricultural Potential,Africa,NA,2024,Current Agricultural Potential,Percentage,-62.0,NA,NA,NA,NA,NA,4,This value represents the percentage of agricultural potential Africa is predicted to miss due to technological inefficiency.
4,TFP Growth,Poorer nations,NA,2024,No Temperature Increases,Units of TFP Growth,-1.0,NA,NA,NA,NA,NA,Highlights,Temperature increases are said to reduce TFP growth. Sign converted to be negative
5,Technical Efficiency,Sub-Saharan African countries,NA,2020,No CC,%,83,NA,NA,NA,NA,NA,10,Average technical efficiency of cereal crop production
6,Land Productivity,Sub-Saharan African countries,NA,2020,No CC,kg,0.004,0.014,NA,NA,NA,NA,10,Average land productivity
7,Labor Productivity,Sub-Saharan African countries,NA,2020,No CC,kg,0.001,0.002,NA,NA,NA,NA,10,Average labor productivity
8,Fertilizer Productivity,Sub-Saharan African countries,NA,2020,No CC,kg,10125.08,211000,NA,NA,NA,NA,10,Average fertilizer productivity
9,Cereal Yield,Sub-Saharan African countries,NA,2020,No CC,kg/hectare,1497.332,1138.51,NA,NA,NA,NA,10,Average cereal yield
10,Land productivity,Sub-Saharan African countries,Not specified,2020,No CC,kg,-5.80,3.55,NA,NA,NA,NA,12,Impact of agricultural methane emission on grain yields
11,Land productivity,Sub-Saharan African countries,Not specified,2020,No CC,kg,-5.13,7.68,NA,NA,NA,NA,12,Impact of CO2 emission on grain yields
12,Land productivity,Sub-Saharan African countries,Not specified,2020,Baseline,NA,3.39E-06,2.35E-07,NA,NA,NA,NA,12,Impact of GDP per capita income on grain yields; Value is significant at the 1% level
13,Labor productivity,Sub-Saharan African countries,Not specified,2020,No CC,NA,-2.89E-08,5.77E-09,NA,NA,NA,NA,12,Impact of agricultural methane emission on grain yields; Value is significant at the 1% level
14,Labor productivity,Sub-Saharan African countries,Not specified,2020,No CC,NA,-8.16E-09,1.25E-09,NA,NA,NA,NA,12,Impact of CO2 emission on grain yields; Value is significant at the 1% level
15,Labor productivity,Sub-Saharan African countries,Not specified,2020,Baseline,NA,4.83E-07,3.82E-08,NA,NA,NA,NA,12,Impact of GDP per capita income on grain yields; Value is significant at the 1% level
16,Fertilizer productivity,Sub-Saharan African countries,Not specified,2020,No CC,NA,-.000018,4.57E-06,NA,NA,NA,NA,12,Impact of agricultural methane emission on grain yields; Value is significant at the 1% level
17,Fertilizer productivity,Sub-Saharan African countries,Not specified,2020,No CC,NA,1.46E-06,9.89E-07,NA,NA,NA,NA,12,Impact of CO2 emission on grain yields
18,Fertilizer productivity,Sub-Saharan African countries,Not specified,2020,Baseline,NA,0.0003466,0.0000303,NA,NA,NA,NA,12,Impact of GDP per capita income on grain yields; Value is significant at the 1% level
19,Arable land productivity,Sub-Saharan African countries,Not specified,2020,No CC,Unit increase,1,NA,NA,NA,NA,NA,Page 13,GDP per capita income has a significant positive impact on arable land productivity.
20,Labour productivity,Sub-Saharan African countries,Not specified,2020,No CC,Unit increase,1,NA,NA,NA,NA,NA,Page 13,GDP per capita income has a significant positive impact on labour productivity.
21,Fertilizer productivity,Sub-Saharan African countries,Not specified,2020,No CC,Unit increase,1,NA,NA,NA,NA,NA,Page 13,GDP per capita income has a significant positive impact on fertilizer productivity.
22,ln Cereal yield per hectare,Sub-Saharan African countries,Not specified,2020,No CC,Coefficient,0.515,0.039,NA,NA,NA,NA,Page 13,ln Labor in agriculture has a positive coefficient indicating the impact on cereal yield.
23,ln Cereal yield per hectare,Sub-Saharan African countries,Not specified,2020,No CC,Coefficient,-0.447,0.036,NA,NA,NA,NA,Page 13,ln Arable land per hectare has a negative coefficient indicating the impact on cereal yield.
24,ln Cereal yield per hectare,Sub-Saharan African countries,Not specified,2020,No CC,Coefficient,0.057,0.012,NA,NA,NA,NA,Page 13,Fertilizer consume per k.g has a positive coefficient indicating the impact on cereal yield.
25,Cereal crop efficiency,Sub-Saharan African countries,Not specified,2020,No CC,% change,0.447,NA,NA,NA,NA,NA,14,Due to 1% increase in land size. The text says 'reduces the efficiency of cereal crop output in (kilograms/ hectare) by 0.447 percent' so I'm assuming this is a loss relative to a case with no land size increase. (Negative Value Omitted)
26,Cereal crop efficiency,Sub-Saharan African countries,Not specified,2020,No CC,% change,0.515,NA,NA,NA,NA,NA,14,Due to 1% increase in agricultural labour
27,Cereal crop efficiency,Sub-Saharan African countries,Not specified,2020,No CC,% change,0.057,NA,NA,NA,NA,NA,14,Due to 1% increase in fertilizer consumption
28,Technical efficacy,Sub-Saharan African countries,Not specified,2020,NA,%,83,NA,NA,NA,NA,NA,14,Average value
29,Technical efficacy,Sub-Saharan African countries,Not specified,2020,NA,%,99.4,NA,NA,NA,NA,NA,14,Maximum value
30,Technical efficacy,Sub-Saharan African countries,Not specified,2020,NA,%,68.3,NA,NA,NA,NA,NA,14,Minimum value
