,Outcome,Country(ies),Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,Tech Efficiency,Sub-Saharan African countries,Panel Data (2005-2020),2012,No CC,%,83,NA,NA,NA,NA,NA,Abstract," ""Average efficiency score for cereal crops"""
1,Labour Contribution,Sub-Saharan African countries,Panel Data (2005-2020),2012,No CC,%,51.5,NA,NA,NA,NA,NA,Abstract,To cereal yields
2,Fertilizer Contrib,Sub-Saharan African countries,Panel Data (2005-2020),2012,No CC,%,5.7,NA,NA,NA,NA,NA,Abstract,To cereal yields
3,Arable Land Impact,Sub-Saharan African countries,Panel Data (2005-2020),2012,No CC,%,-44.7,NA,NA,NA,NA,NA,Abstract,Reduced cereal yields
4,Land Productivity,Sub-Saharan African countries,Panel Data (2005-2020),2012,Climate Change,%,-1,NA,NA,NA,NA,NA,Abstract,Diminished (1% sig)
5,Labour Productivity,Sub-Saharan African countries,Panel Data (2005-2020),2012,Climate Change,%,-1,NA,NA,NA,NA,NA,Abstract,Diminished (1% sig)
6,Fertilizer Product,Sub-Saharan African countries,Panel Data (2005-2020),2012,Climate Change,%,-1,NA,NA,NA,NA,NA,Abstract,Diminished (1% sig)
7,TFP in Agriculture,Sub-Saharan African countries,Panel Data (2005-2020),2012,Climate Change,%,1,NA,NA,NA,NA,NA,Abstract,Boosted by GDP/cap
8,Agricultural productivity,Africa,Unspecified,2050,Improvements,Unspecified,-1,NA,NA,NA,NA,NA,Page 2,Climate change will offset the improvements in agricultural productivity and its contribution to GDP.
9,GDP,Africa,Unspecified,2050,Improvements,Unspecified,-1,NA,NA,NA,NA,NA,Page 2,Climate change will offset the improvements in agricultural productivity and its contribution to GDP.
10,Cereal yields,World,Technology Development,2030,No CC,%,1.8,NA,NA,NA,NA,NA,Page 2,CO2 increases world yields by roughly 1.8% with the development of technology. Assume 2030 as a possible year for this to be analyzed.
11,Cereal yields,World,No Technology Development,2030,No CC,% per decade,-1.5,NA,NA,NA,NA,NA,Page 2,"Without technology, yields decrease by 1.5% every decade due to CO2 effects. Assume 2030 as a possible year for this to be analyzed."
12,Food insecurity,Sub-Saharan Africa,Unspecified,2022,Unspecified,Million people,123,NA,NA,NA,NA,NA,Page 2,123 million people are expected to be acutely food insecure in 2022.
