,Impacted Sector,Solution,Country(ies),Scenario,Quantification,Expression,Type of Value,Sample,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,Transport,Infrastructure Adaptation,Russia,Inertial,AvoidedImpact,AvoidedImpact [₽ billion/yr],Economic,Need,₽ billion/yr,14,NA,NA,NA,NA,NA,Page 1,The conservative scenario estimates that adaptation costs due to permafrost degradation will average at least ₽14 billion per year. More details on moderate and modernization scenarios are discussed.
1,Transport,Infrastructure Adaptation,Russia,Moderate,AvoidedImpact,AvoidedImpact [₽ billion/yr],Economic,Need,₽ billion/yr,21,NA,NA,NA,NA,NA,Page 1,"Under the moderate scenario, the costs exceed ₽21 billion per year in adaptation to maintain road infrastructure."
2,Transport,Infrastructure Adaptation,Russia,Modernization,AvoidedImpact,AvoidedImpact [₽ billion/yr],Economic,Need,₽ billion/yr,28,NA,NA,NA,NA,NA,Page 1,The modernization scenario projects costs over ₽28 billion per year due to permafrost degradation.
3,Transport,Road Reconstruction,Russia,RCP8.5,AdaptationCost,AdaptationCost,Economic,Need,₽ bln,644.48,NA,NA,NA,NA,NA,Highlights,By 2050 under the moderate scenario. Represents 0.21% of the 2018 GRP of the nine regions.
4,All,Any,Russia,Any,BaselineImpact,BaselineImpact,Economic,Need,₽ bln / yr,150,NA,NA,NA,NA,NA,p. 568,Average annual perennial damage caused by permafrost degradation.  Represents 0.16% of the GDP.
5,Transport,Road reconstruction,Russia,Conservative,AdaptationCost,DiscountedSum() [billion USD],Economic,Need,billion RUB,422.68,NA,NA,NA,NA,NA,Text on page 7: Conservative scenario cost is ₽422.68 bln for 2020-2050,Costs include constant repair and capital investment for maintaining sustainable functioning due to permafrost degradation.
6,Transport,Road reconstruction,Russia,Moderate,AdaptationCost,DiscountedSum() [billion USD],Economic,Need,billion RUB,304.24,NA,NA,NA,NA,NA,Text on page 7: Moderate scenario reconstruction cost is ₽304.24 bln for 2020-2050,Includes costs for capital repairs and additional road network expansion to improve quality under permafrost degradation impacts.
7,Transport,Maintenance,Russia,Conservative,AdaptationCost,DiscountedSum(OpExCost),Monetary,Need,bln rubles,422.68,NA,NA,NA,NA,NA,Table 7,"Total cost of road reconstruction and maintenance due to thawing and permafrost degradation risks, 2020-2050."
8,Transport,Maintenance,Russia,Moderate,AdaptationCost,DiscountedSum(OpExCost),Monetary,Need,bln rubles,644.48,NA,NA,NA,NA,NA,Table 7,"Total cost of road reconstruction and maintenance due to thawing and permafrost degradation risks, 2020-2050."
9,Transport,Maintenance,Russia,Modernization,AdaptationCost,DiscountedSum(OpExCost),Monetary,Need,bln rubles,864.81,NA,NA,NA,NA,NA,Table 7,"Total cost of road reconstruction and maintenance due to thawing and permafrost degradation risks, 2020-2050."
10,Transport,Maintenance,Russia,Conservative,OpExCost,OpExCost,Monetary,Need,bln rubles / yr,14.09,NA,NA,NA,NA,NA,Table 7,"Average annual cost of road reconstruction and maintenance due to thawing and permafrost degradation risks, 2020-2050."
11,Transport,Maintenance,Russia,Moderate,OpExCost,OpExCost,Monetary,Need,bln rubles / yr,21.48,NA,NA,NA,NA,NA,Table 7,"Average annual cost of road reconstruction and maintenance due to thawing and permafrost degradation risks, 2020-2050."
12,Transport,Maintenance,Russia,Modernization,OpExCost,OpExCost,Monetary,Need,bln rubles / yr,28.83,NA,NA,NA,NA,NA,Table 7,"Average annual cost of road reconstruction and maintenance due to thawing and permafrost degradation risks, 2020-2050."
13,Transport,Maintenance,Russia,Moderate,AdaptationCost,DiscountedSum(OpExCost),Monetary,Need,% of GRP,0.21,NA,NA,NA,NA,NA,Page 8,Equivalent to 0.21% of the total GRP in 2018 of all nine regions.
14,Transport,Maintenance,Russia,Modernization,AdaptationCost,DiscountedSum(OpExCost),Monetary,Need,% of GRP,0.29,NA,NA,NA,NA,NA,Page 8,Equivalent to 0.29% of the total GRP of all nine regions in 2018.
