,Outcome,Region,Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,People at Flood Risk,England and Wales,NA,2017,NA,millions,4,NA,NA,NA,NA,NA,2570,
1,Property Value at Flood Risk,England and Wales,NA,2017,NA,GBP billions,200,NA,NA,NA,NA,NA,2570,
2,Flood Damage,England and Wales,NA,2017,NA,GBP billions / year,1.4,NA,NA,NA,NA,NA,2570,
3,Flood Damage,England and Wales,NA,2100,NA,GBP billions / year,27,NA,NA,NA,NA,NA,2570,Expected rise
4,Properties at Flood Risk,Netherlands,NA,2012,NA,millions,8.9,NA,NA,NA,NA,NA,2570,
5,Deaths,United States,Observed,1989,1988,deaths/year,87,NA,NA,NA,NA,NA,5,Average between 1989 and 2018.
6,Economic losses,United States,Observed,1989,1988,USD,4.3e6,NA,NA,NA,NA,NA,5,Average cost per flood event between 1989 and 2018 (excluding tropical cyclones).
7,Economic losses,United States,Observed,1989,1988,USD,21.9e9,NA,NA,NA,NA,NA,5,Average cost per tropical cyclone event between 1989 and 2018.
8,Population,States in USA,High growth,2030,Current,million,82,NA,NA,NA,NA,NA,p. 6,29% increase in coastal areas.
9,Flood Risk,Coastal USA,Increased demand,2023,No CC,NA,1,NA,NA,NA,NA,NA,p. 6,Qualitative increase in flood risk. Using 1 to denote increase.
10,Economic Damage,Mississippi River Basin,Observed,1993,1991,USD,15000000000,NA,NA,NA,NA,NA,Page 7,Damage due to Mississippi River flood
11,Rainfall Events,Japan,Climate Change,2022,No CC,Frequency,1.5,NA,NA,NA,NA,NA,Page 8,Intensive rainfall events (> 50 mm/h) have increased in frequency by about 50% over the last 30 years.
12,Rainfall Events > 100mm/h,Japan,Climate Change,2022,No CC,Frequency,2.0,NA,NA,NA,NA,NA,Page 8,Intensive rainfall events (> 100 mm/h) have more than doubled over the last 30 years.
13,Economic Losses,"Nagoya, Japan",Past Events,2000,NA,USD,9570000000,NA,NA,NA,NA,NA,Page 8,"In 2000, pluvial flooding caused economic losses of about JYP978 billion (ca. USD9.57 billion) in Nagoya, Japan."
14,Flood Deaths,Japan,Past Events,2004,NA,Count,180,NA,NA,NA,NA,NA,Page 8,"In 2004, four strong typhoons caused the deaths or disappearance of 180 individuals in Japan."
15,Flood Control,Japan,GCM 20 Upper Prediction,2050,Present,Ratio,1.6,NA,NA,NA,NA,NA,2576,Ratio of future/present flood control works
16,Discharge,Japan,GCM 20 Upper Prediction,2050,Present,Ratio,1.71,NA,NA,NA,NA,NA,2576,Discharge Ratio
17,Precipitation,Japan,GCM 20 Upper Prediction,2050,Present,Ratio,1.61,NA,NA,NA,NA,NA,2576,Precipitation Ratio
18,Flood Control,Japan,GCM 20 Middle Prediction,2050,Present,Ratio,1.18,NA,NA,NA,NA,NA,2576,Ratio of future/present flood control works
19,Discharge,Japan,GCM 20 Middle Prediction,2050,Present,Ratio,1.35,NA,NA,NA,NA,NA,2576,Discharge Ratio
20,Precipitation,Japan,GCM 20 Middle Prediction,2050,Present,Ratio,1.31,NA,NA,NA,NA,NA,2576,Precipitation Ratio
21,Flood Control,Japan,GCM 20 Lower Prediction,2050,Present,Ratio,1.02,NA,NA,NA,NA,NA,2576,Ratio of future/present flood control works
22,Discharge,Japan,GCM 20 Lower Prediction,2050,Present,Ratio,1.1,NA,NA,NA,NA,NA,2576,Discharge Ratio
23,Precipitation,Japan,GCM 20 Lower Prediction,2050,Present,Ratio,1.07,NA,NA,NA,NA,NA,2576,Precipitation Ratio
