,Outcome,Region,Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,Obesity,Global,No CC,2024,Baseline,million/deg C,79.7,NA,NA,NA,NA,NA,Page 1,"The paper identifies a 12.3% increase in obese adults with a 1°C increase in annual mean temperature as a significant impact of global warming. This is specifically found in temperate zones, not detailed on this page. The year provided reflects the publication year as the impact is a contemporary estimation."
1,Obesity,Temperate Zones,Unspecified,2050,2016,million adults,89.9,NA,NA,NA,NA,NA,3,Estimate of global warming impact from 2016 to 2050
2,Obesity,Global,Unspecified,2050,2016,US $billion,276.6,NA,NA,NA,NA,NA,3,Economic loss due to increased obesity rates from global warming
3,Obesity,152 countries,Unspecified,2016,No CC,%,1.06,NA,NA,NA,NA,NA,3,Population-weighted average marginal effect on obesity of a 1°C increase in temperature.
4,Obesity,Tropical countries,Unspecified,2016,No CC,number of countries,-21,NA,NA,NA,NA,NA,3,Global warming reduces obesity in 21 tropical countries.
5,Obesity rate,Global,Unspecified,2016,Temp < 27°C,percentage / degree C,1,NA,NA,NA,NA,NA,11,Warming has a significantly positive impact on adult obesity rate for most countries. Value is representative.
6,Obesity rate,Tropical Countries,Unspecified,2016,Temp > 27°C,percentage / degree C,-1,NA,NA,NA,NA,NA,11,Marginal effect has a reducing effect. Value is representative.
7,Obesity,Global,No Scenario Specified,2016,1°C Increase,percentage points,1.06,NA,NA,NA,NA,NA,Page 12,The marginal effect is a population-weighted country average and indicates potential impacts due to a 1°C increase in global mean temperature.
8,Obesity,Global,No Scenario Specified,2016,1°C Increase,people,79700000,NA,NA,NA,NA,NA,Page 12,This is the estimated increase in the number of obese adults worldwide associated with a 1°C rise in annual mean temperature.
9,Obesity,Poorest countries,No CC,2050,No CC,percentage points,1.62,NA,NA,NA,NA,NA,Page 15,The marginal effect of warming on obesity is higher in poorer countries compared to richer ones due to better adaptation capacities in wealthier nations. Using the 2050 estimates of warming.
10,Obesity,Wealthiest countries,No CC,2050,No CC,percentage points,-0.202,NA,NA,NA,NA,NA,Page 15,A one-unit increase in log GDP per capita reduces the impact of warming on obesity. Using the 2050 estimates of warming.
11,Obesity,Older pop. structure,No CC,2050,No CC,percentage points,0.85,NA,NA,NA,NA,NA,Page 15,The marginal effect of warming on obesity is higher in countries with older populations due to lower adaptation abilities. Using the 2050 estimates of warming.
12,Obesity,Younger pop. structure,No CC,2050,No CC,percentage points,-0.85,NA,NA,NA,NA,NA,Page 15,The marginal effect of warming on obesity is lower in countries with younger populations. Using the 2050 estimates of warming.
13,Obesity (male),Global,Unspecified,2016,No CC,percentage points / degree C,1.28,NA,NA,NA,NA,NA,Page 16,Based on estimates from column 3 of Table 1. Baseline year of the analysis (1975-2016) is taken as 2016.
14,Obesity (female),Global,Unspecified,2016,No CC,percentage points / degree C,0.85,NA,NA,NA,NA,NA,Page 16,Based on estimates from column 4 of Table 1. Marginal effect is roughly one-third smaller than male obesity marginal effect. Calculation: 1.28/3 = 0.4267; 1.28-0.4267=0.8533. Baseline year of the analysis (1975-2016) is taken as 2016.
15,Obesity Rate,Global,CMIP6,2050,No CC,Percentage Points,0,NA,95%,NA,95%,NA,Page 25,"Estimated threshold temperatures from the study: Long-run model suggests 18.5°C, Short-run model suggests 27.3°C. The impact is qualitatively described as initially increasing and then decreasing, centered around zero."
16,Obesity,Global,SSP2-4.5,2050,2016,percentage points,1.2,NA,NA,NA,NA,NA,26,Population-weighted average impact of warming on obesity across the 152 sample countries
17,Number of obese individuals,Global,SSP2-4.5,2050,2016,millions of people,89.9,NA,NA,NA,NA,NA,26,Estimated global population in 2016 was 7.49 billion
18,Economic loss,Global,SSP2-4.5,2050,2016,billions of US$,276.6,NA,NA,NA,NA,NA,26,Economic loss due to increase in obesity; calculation based on $2.0 trillion global annual economic loss from obesity in 2016 and 650 million obese adults in 2016
19,Obesity,Temperate Zones,SSP2-4.5,2050,No CC,percentage points,2.1,NA,NA,NA,NA,NA,Page 27,The projected impact estimates that global warming from 2016 to 2050 would result in 76.8 million more obese individuals in temperate zones.
20,Obesity,Subtropical and Tropical Zones,SSP2-4.5,2050,No CC,percentage points,-2.8,NA,NA,NA,NA,NA,Page 27,The projected impact suggests 106.9 million fewer obese individuals in subtropical and tropical zones by 2050.
21,Obesity,Global,No specific scenario mentioned,2016,1 degree C rise,% increase,12.3,NA,NA,NA,NA,NA,Page 29,"The increase is derived from a worldwide perspective, using data up to 2016, with variations across regions; tropical countries may not follow this trend."
