,Outcome,Region,Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,High Suitability Population,Global,Historical Climate,2022,1979,billion,2.5,NA,NA,NA,NA,NA,1,"Increase largely due to population growth in the Global South, and expansion in previously unfavorable areas in the Global North."
1,Dengue incidence,Brazil,Historical,2020,1979-1983,Ratio,37,NA,95%,33,95%,42,Page 5,Censored linear regression models were used.
2,Climate suitability,Global,Historical,2020,1979-1983,Million km2,1.5,NA,90%,NA,90%,NA,Page 5,Reflects combined effects of short-term fluctuations and long-term trends.
3,Population in high-risk areas,Global,Historical,2020,1979-1983,%,10.8,NA,90%,NA,90%,NA,Page 5,Represents 2.5 billion more people in high-risk areas.
4,Population in high-risk areas,North America,Historical,2020,1979-1983,%,9.1,NA,90%,NA,90%,NA,Page 5,Roughly 113 million more people in high-risk areas.
5,Population in high-risk areas,Africa,Historical,2020,1979-1983,%,4.6,NA,90%,NA,90%,NA,Page 5,569 million more people in high-risk areas.
6,Population in high-risk areas,Asia,Historical,2020,1979-1983,%,9.3,NA,90%,NA,90%,NA,Page 5,1.68 billion more people in high-risk areas.
7,Climate suitability,Africa,Historical,2020,1979-1983,Million km2,15.3,NA,NA,NA,NA,NA,Page 5,51.4% of total land area shown sustained long-term changes in climate suitability.
8,Climate suitability,South America,Historical,2020,1979-1983,Million km2,6.6,NA,NA,NA,NA,NA,Page 5,37.4% of total land area shown sustained long-term changes in climate suitability.
9,Population,Global,Observed historical,2020,1980,Change,0,NA,NA,NA,NA,NA,Page 9,"Change in population in high climate suitability areas, 2020 vs 1980. Quantitative value not explicitly stated, only described. Assigning zero as a placeholder value due to lack of specific data."
