,Outcome,Region,Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,Natural disasters,Globe,Historical,2013,1980,events,2637.0,NA,NA,NA,NA,NA,E910,Calculated as 4020-1383 weather-related events
1,Flood risk,World,Current,2020,No CC,billion people,1.47,NA,NA,NA,NA,NA,E910,1-in-100-year flooding event
2,Flood risk,World,Current,2020,No CC,million people,587.0,NA,NA,NA,NA,NA,E910,Living on less than $5.5 (U.S. dollars) per day
3,Weather-related Loss Events,Worldwide,Observed,1980,1985,Events,1383,NA,NA,NA,NA,NA,5,Total registered events
4,Weather-related Loss Events,Worldwide,Observed,2013,2018,Events,4020,NA,NA,NA,NA,NA,5,Total registered events
5,Consumption,Global,Unspecified,2017,No disasters,USD,-520000000000,NA,NA,NA,NA,NA,6,This refers to a historical value of annual reduction in consumption due to natural disasters. From Hallegatte et al. 2017
6,Poverty,Global,Unspecified,2017,No disasters,People,26000000,NA,NA,NA,NA,NA,6,This refers to a historical value of annual increase in people living in poverty due to natural disasters. From Hallegatte et al. 2017
7,Urban Population,Global,Unspecified,1800,Rural Population,Percent,2,NA,NA,NA,NA,NA,6,Observed
8,Urban Population,Global,Unspecified,2018,Rural Population,Percent,55,NA,NA,NA,NA,NA,6,Observed
9,Urban Population,Asia and Africa,Unspecified,2050,2018,People,2250000000,NA,NA,NA,NA,NA,6,Projected increase
10,Urban Population,Global,Unspecified,2050,Rural Population,Percent,68,NA,NA,NA,NA,NA,6,Projected
11,Revenue,Global,Unspecified,2018,No weather insight,USD,500000000000,NA,NA,NA,NA,NA,6,Potential revenue growth with improved weather insight. Data from Orrell et al. 2018
12,GDP,US,Unspecified,2011,No weather effects,Percent,3.4,NA,NA,NA,NA,NA,6,GDP affected by routine weather variations. Data from Lazo et al. 2011
