,Outcome,Region,Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,Yield,Europe & North America,Observed variability,2024,Monoculture,NA,0,NA,NA,NA,NA,NA,7,Small grains generally increased from low to intermediate species diversity (D; Equation 1) and declined at higher levels of diversity.
1,Yield,Europe & North America,Observed variability,2024,Monoculture,NA,0,NA,NA,NA,NA,NA,7,"For maize, yields increased up to the maximum species diversity present in the dataset."
2,Yield,Europe & North America,Observed variability,2024,Fixed CRD,NA,0,NA,NA,NA,NA,NA,7,Yields increased with decreasing growing season temperature anomalies in all indicator crops.
3,Yield,Europe & North America,Observed variability,2024,Fixed CRD,NA,-1,NA,NA,NA,NA,NA,7,Decreasing cumulated precipitation anomalies reduced yield anomalies of maize.
4,Yield,Europe & North America,Observed variability,2024,Fixed CRD,NA,1,NA,NA,NA,NA,NA,7,Decreasing cumulated precipitation anomalies was beneficial for spring small grain cereals.
5,Yield,Europe & North America,Observed variability,2024,Fixed CRD,NA,-1,NA,NA,NA,NA,NA,7,Increasing anomalies of consecutive dry spells reduced yields for maize and winter small grain cereals.
6,Yield Benefit,Europe & North America,1.5°C increase,2024,Detrimental Conditions,NA,-1,NA,NA,NA,NA,NA,7,"The maximum yield benefit attainable via increasing species diversity was reduced, but not cancelled, by detrimental climatic conditions."
7,Yield,North America and Europe,High-yielding conditions,2015,Baseline,kg/ha,508,NA,2.5%,274,97.5%,742,Page 12,Spring small grains under first T quartile and first P quartile; assuming year 15 is 2015.
8,Yield,North America and Europe,High-yielding conditions,2015,Baseline,kg/ha,973,NA,2.5%,701,97.5%,1244,Page 12,Winter small grains under first T quartile and first P quartile; assuming year 15 is 2015.
9,Yield,North America and Europe,Low-yielding conditions,2015,Baseline,kg/ha,1368,NA,2.5%,1026,97.5%,1710,Page 12,Maize under first P quartile and third T quartile; assuming year 15 is 2015.
