,Outcome,Region,Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,Temperature Seasonality,Global,Current,2022,No CC,degrees C,149.67,92.58,NA,NA,NA,NA,5,Calculated using all occurrences (n = 166)
1,Annual Precipitation,Global,Current,2022,No CC,mm,1459.19,666.61,NA,NA,NA,NA,5,Calculated using all occurrences (n = 166)
2,Daytime Temp Variation,Global,Current,2022,No CC,degrees C,8.62,1.67,NA,NA,NA,NA,5,Calculated using all occurrences (n = 166)
3,Annual Avg Temperature,Global,Current,2022,No CC,degrees C,25,NA,NA,NA,NA,NA,5,Calculated using all occurrences (n = 166)
4,Temp Seasonality Contr,Global,Current,2022,No CC,%,43.28,9.57,NA,NA,NA,NA,5,Contribution to the model
5,Annual Avg Temp Contr,Global,Current,2022,No CC,%,22.35,1.76,NA,NA,NA,NA,5,Contribution to the model
6,Daytime Temp Var Contr,Global,Current,2022,No CC,%,18.98,16.09,NA,NA,NA,NA,5,Contribution to the model
7,Ann Precip Contr,Global,Current,2022,No CC,%,12.86,666.61,NA,NA,NA,NA,5,Contribution to the model
8,Precipitation Season,Global,Current,2022,No CC,%,64.62,26.74,NA,NA,NA,NA,5,
9,Habitat Suitability,Africa (west and east coasts),SSP2.6,2060,Current Time,index,0,NA,NA,NA,NA,NA,7,Habitat suitability remains medium to high; assigning a value of 0 to represent no change relative to current
10,Habitat Suitability,South America (east coast),SSP2.6,2060,Current Time,index,0,NA,NA,NA,NA,NA,7,Habitat suitability remains medium to high; assigning a value of 0 to represent no change relative to current
11,Habitat Suitability,Asia (south and east coasts),SSP2.6,2060,Current Time,index,0,NA,NA,NA,NA,NA,7,Habitat suitability remains medium to high; assigning a value of 0 to represent no change relative to current
12,Habitat Suitability,Oceania (north coast),SSP2.6,2060,Current Time,index,0,NA,NA,NA,NA,NA,7,Habitat suitability remains medium to high; assigning a value of 0 to represent no change relative to current
13,Habitat Suitability,Global,SSP8.5,2060,2040,index,-1,NA,NA,NA,NA,NA,7,Suitable areas decrease from 2040 to 2060; assigning a value of -1 to represent relative decrease
