,Outcome,Country(ies),Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,Employment,Puerto Rico,Average Hurricane,2019,Pre-Hurricane,%,-0.5,NA,NA,NA,NA,NA,Page 1,Average fall in employment after an average hurricane. The study period ends in 2019.
1,Employment,Puerto Rico,Average hurricane,2018,Pre-disaster level,%,-0.5,NA,NA,NA,NA,NA,2,Aggregate effect after about six months.
2,Wages,Puerto Rico,Average hurricane,2018,Pre-disaster level,%,0,NA,NA,NA,NA,NA,2,"Average weekly wages increase after six months, but the increase is not statistically significant."
3,Unemployment,Puerto Rico,Average hurricane,2018,Pre-disaster level,Number,0,NA,NA,NA,NA,NA,2,Average increase in the number of unemployed is not statistically significant
4,Employment,Puerto Rico,HURRECON model,2019,No hurricane,%,3.67,0.31,NA,NA,NA,NA,11,Construction of buildings industry (NAICS 236) 12-month horizon
5,Employment,Puerto Rico,HURRECON model,2019,No hurricane,%,2.54,0.32,NA,NA,NA,NA,11,Heavy and civil engineering construction industry (NAICS 237) 12-month horizon
6,Employment,Puerto Rico,HURRECON model,2019,No hurricane,%,1.30,0.25,NA,NA,NA,NA,11,Specialty trade contractors industry (NAICS 238) 12-month horizon
7,Employment,Puerto Rico,HURRECON model,2019,No hurricane,%,1.45,0.21,NA,NA,NA,NA,11,Wood product manufacturing industry (NAICS 321) 12-month horizon
8,Employment,Puerto Rico,HURRECON model,2019,No hurricane,%,0.39,0.16,NA,NA,NA,NA,11,Paper manufacturing industry (NAICS 322) 12-month horizon
9,Employment,Puerto Rico,HURRECON model,2019,No hurricane,%,0.30,0.15,NA,NA,NA,NA,11,Printing and related support activities industry (NAICS 323) 12-month horizon
10,Employment,Puerto Rico,HURRECON model,2019,No hurricane,%,0.81,0.37,NA,NA,NA,NA,11,Petroleum and coal products manufacturing industry (NAICS 324) 12-month horizon
11,Employment,Puerto Rico,HURRECON model,2019,No hurricane,%,0.34,0.10,NA,NA,NA,NA,11,Chemical manufacturing industry (NAICS 325) 12-month horizon
12,Employment,Puerto Rico,HURRECON model,2019,No hurricane,%,0.78,0.30,NA,NA,NA,NA,11,Primary metal manufacturing industry (NAICS 331) 12-month horizon
13,Employment,Puerto Rico,HURRECON model,2019,No hurricane,%,2.00,0.19,NA,NA,NA,NA,11,Fabricated metal product manufacturing industry (NAICS 332) 12-month horizon
14,Employment,Puerto Rico,HURRECON model,2019,No hurricane,%,0.46,0.21,NA,NA,NA,NA,11,Machinery manufacturing industry (NAICS 333) 12-month horizon
15,Employment,Puerto Rico,HURRECON model,2019,No hurricane,%,0.72,0.24,NA,NA,NA,NA,11,Computer and electronic product manufacturing industry (NAICS 334) 12-month horizon
16,Employment,Puerto Rico,HURRECON model,2019,No hurricane,%,1.68,0.27,NA,NA,NA,NA,11,Furniture and related product manufacturing industry (NAICS 337) 12-month horizon
17,Employment,Puerto Rico,HURRECON model,2019,No hurricane,%,0.34,0.12,NA,NA,NA,NA,11,"Merchant wholesalers, durable goods industry (NAICS 423) 12-month horizon"
18,Employment,Puerto Rico,HURRECON model,2019,No hurricane,%,1.24,0.18,NA,NA,NA,NA,11,Furniture and home furnishings stores industry (NAICS 442) 12-month horizon
19,Employment,Puerto Rico,HURRECON model,2019,No hurricane,%,0.94,0.13,NA,NA,NA,NA,11,Building material and garden supply stores industry (NAICS 444) 12-month horizon
20,Employment,Puerto Rico,HURRECON model,2019,No hurricane,%,0.18,0.07,NA,NA,NA,NA,11,Food and beverage stores industry (NAICS 445) 12-month horizon
