,Outcome,Region,Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,Welfare Gain,Global,NA,2024,No CC,Percent,4.3,NA,NA,NA,NA,NA,Page 1,A 4.3% welfare gain for all current and future agents across all regions is reported.
1,Welfare Gain,Global,Limited-burden policy,2024,No CC,Percent,4.0,NA,NA,NA,NA,NA,Page 1,A policy limiting burden to less than 10% for any generation or region yields a 4.0% welfare gain.
2,GDP,Global,UWI Carbon Tax,2100,No CC,percent,-9,NA,NA,NA,NA,NA,Page 2,Global GDP is projected to be 9 percent smaller relative to a no climate change scenario.
3,GDP,India,UWI Carbon Tax,2100,No CC,percent,-26.2,NA,NA,NA,NA,NA,Page 2,India's GDP would decline by 26.2 percent with the optimal UWI carbon tax policy.
4,GDP,U.S.,UWI Carbon Tax,2100,No CC,percent,-8.0,NA,NA,NA,NA,NA,Page 2,The U.S. GDP is projected to be 8.0 percent smaller with the UWI policy relative to no climate change.
5,GDP,China,UWI Carbon Tax,2100,No CC,percent,-7.8,NA,NA,NA,NA,NA,Page 2,China's GDP would decline by 7.8 percent under the UWI policy compared to a scenario with no climate change.
6,GDP,Canada,UWI Carbon Tax,2100,No CC,percent,-0.6,NA,NA,NA,NA,NA,Page 2,Canada's GDP with the UWI policy is projected to decline by 0.6 percent relative to a scenario with no climate change.
7,GDP,Canada,BAU,2100,No CC,%,2.5,NA,NA,NA,NA,NA,3,Increase
8,GDP,Russia,BAU,2100,No CC,%,3.6,NA,NA,NA,NA,NA,3,Increase
9,GDP,India,BAU,2100,No CC,%,-38.6,NA,NA,NA,NA,NA,3,Reduction
10,GDP,South Asian Pacific,BAU,2100,No CC,%,-33.4,NA,NA,NA,NA,NA,3,Reduction
11,GDP,Sub-Saharan Africa,BAU,2100,No CC,%,-33.0,NA,NA,NA,NA,NA,3,Reduction
12,GDP,Middle East and North Africa,BAU,2100,No CC,%,-30.9,NA,NA,NA,NA,NA,3,Reduction
13,GDP,Global,BAU,2100,No CC,%,-14.7,NA,NA,NA,NA,NA,3,Reduction
14,Temperature,Global,BAU,2100,Pre-industrial,degrees C,3.1,NA,NA,NA,NA,NA,3,Absent policy
15,Temperature,Global,UWI,2100,Pre-industrial,degrees C,2.1,NA,NA,NA,NA,NA,3,Under UWI Policy
16,GDP Peak Loss,Global,BAU,2100,No CC,%,-16.7,NA,NA,NA,NA,NA,3,Maximum GDP loss
17,GDP Peak Loss,Global,UWI,2100,No CC,%,-9.3,NA,NA,NA,NA,NA,3,Maximum GDP loss
18,Regional Damage,Global,BAU,2100,GDP,%,-2.1,NA,NA,NA,NA,NA,3,Minimum peak damage
19,Regional Damage,Global,BAU,2100,GDP,%,-43.9,NA,NA,NA,NA,NA,3,Maximum peak damage
20,Regional Damage,Global,UWI,2100,GDP,%,-0.5,NA,NA,NA,NA,NA,3,Minimum peak damage
21,Regional Damage,Global,UWI,2100,GDP,%,-27.8,NA,NA,NA,NA,NA,3,Maximum peak damage
22,Consumption,Global,UWI,2100,BAU,%,4.3,NA,NA,NA,NA,NA,3,Consumption compensating variation
23,GDP,ANZ,2017,2017,USD Trillion,USD,1.53,NA,NA,NA,NA,NA,Page 12,GDP in trillions of 2017 USD
24,Coal,ANZ,2017,2017,Quad BTUs,BTU,1.77,NA,NA,NA,NA,NA,Page 12,Coal consumption in quad BTUs
25,Natural Gas,ANZ,2017,2017,Quad BTUs,BTU,1.82,NA,NA,NA,NA,NA,Page 12,Natural gas consumption in quad BTUs
26,GDP,BRA,2017,2017,USD Trillion,USD,2.06,NA,NA,NA,NA,NA,Page 12,GDP in trillions of 2017 USD
27,Coal,BRA,2017,2017,Quad BTUs,BTU,0.67,NA,NA,NA,NA,NA,Page 12,Coal consumption in quad BTUs
28,Natural Gas,BRA,2017,2017,Quad BTUs,BTU,1.28,NA,NA,NA,NA,NA,Page 12,Natural gas consumption in quad BTUs
29,GDP,CND,2017,2017,USD Trillion,USD,1.65,NA,NA,NA,NA,NA,Page 12,GDP in trillions of 2017 USD
30,Coal,CND,2017,2017,Quad BTUs,BTU,0.69,NA,NA,NA,NA,NA,Page 12,Coal consumption in quad BTUs
31,Natural Gas,CND,2017,2017,Quad BTUs,BTU,4.61,NA,NA,NA,NA,NA,Page 12,Natural gas consumption in quad BTUs
32,GDP,CHI,2017,2017,USD Trillion,USD,12.14,NA,NA,NA,NA,NA,Page 12,GDP in trillions of 2017 USD
33,Coal,CHI,2017,2017,Quad BTUs,BTU,88.42,NA,NA,NA,NA,NA,Page 12,Coal consumption in quad BTUs
34,Natural Gas,CHI,2017,2017,Quad BTUs,BTU,8.81,NA,NA,NA,NA,NA,Page 12,Natural gas consumption in quad BTUs
35,GDP,EEU,2017,2017,USD Trillion,USD,0.26,NA,NA,NA,NA,NA,Page 12,GDP in trillions of 2017 USD
36,Coal,EEU,2017,2017,Quad BTUs,BTU,1.57,NA,NA,NA,NA,NA,Page 12,Coal consumption in quad BTUs
37,Natural Gas,EEU,2017,2017,Quad BTUs,BTU,1.92,NA,NA,NA,NA,NA,Page 12,Natural gas consumption in quad BTUs
38,GDP,GBR,2017,2017,USD Trillion,USD,2.67,NA,NA,NA,NA,NA,Page 12,GDP in trillions of 2017 USD
39,Coal,GBR,2017,2017,Quad BTUs,BTU,0.38,NA,NA,NA,NA,NA,Page 12,Coal consumption in quad BTUs
40,Natural Gas,GBR,2017,2017,Quad BTUs,BTU,2.97,NA,NA,NA,NA,NA,Page 12,Natural gas consumption in quad BTUs
41,GDP,IND,2017,2017,USD Trillion,USD,2.65,NA,NA,NA,NA,NA,Page 12,GDP in trillions of 2017 USD
42,Coal,IND,2017,2017,Quad BTUs,BTU,16.62,NA,NA,NA,NA,NA,Page 12,Coal consumption in quad BTUs
43,Natural Gas,IND,2017,2017,Quad BTUs,BTU,2.09,NA,NA,NA,NA,NA,Page 12,Natural gas consumption in quad BTUs
44,GDP,JSHK,2017,2017,USD Trillion,USD,7.07,NA,NA,NA,NA,NA,Page 12,GDP in trillions of 2017 USD
45,Coal,JSHK,2017,2017,Quad BTUs,BTU,8.65,NA,NA,NA,NA,NA,Page 12,Coal consumption in quad BTUs
46,Natural Gas,JSHK,2017,2017,Quad BTUs,BTU,7.27,NA,NA,NA,NA,NA,Page 12,Natural gas consumption in quad BTUs
47,GDP,US,1x,2100,No CC,%,-4.0,NA,NA,NA,NA,NA,p. 15,Peak loss due to climate change under Business-as-Usual (BAU) - assuming peak occurs around 2100
48,GDP,WEU,1x,2100,No CC,%,-1.6,NA,NA,NA,NA,NA,p. 15,Peak loss due to climate change under Business-as-Usual (BAU) - assuming peak occurs around 2100
49,GDP,JSHK,1x,2100,No CC,%,-3.9,NA,NA,NA,NA,NA,p. 15,Peak loss due to climate change under Business-as-Usual (BAU) - assuming peak occurs around 2100
50,GDP,CHI,1x,2100,No CC,%,-4.0,NA,NA,NA,NA,NA,p. 15,Peak loss due to climate change under Business-as-Usual (BAU) - assuming peak occurs around 2100
51,GDP,IND,1x,2100,No CC,%,-11.8,NA,NA,NA,NA,NA,p. 15,Peak loss due to climate change under Business-as-Usual (BAU) - assuming peak occurs around 2100
52,GDP,RUS,1x,2100,No CC,%,4.1,NA,NA,NA,NA,NA,p. 15,Peak gain due to climate change under Business-as-Usual (BAU) - assuming peak occurs around 2100
53,GDP,CND,1x,2100,No CC,%,2.7,NA,NA,NA,NA,NA,p. 15,Peak gain due to climate change under Business-as-Usual (BAU) - assuming peak occurs around 2100
54,GDP,EEU,1x,2100,No CC,%,-1.8,NA,NA,NA,NA,NA,p. 15,Peak loss due to climate change under Business-as-Usual (BAU) - assuming peak occurs around 2100
55,GDP,SAP,1x,2100,No CC,%,-9.9,NA,NA,NA,NA,NA,p. 15,Peak loss due to climate change under Business-as-Usual (BAU) - assuming peak occurs around 2100
56,GDP,BRA,1x,2100,No CC,%,-8.6,NA,NA,NA,NA,NA,p. 15,Peak loss due to climate change under Business-as-Usual (BAU) - assuming peak occurs around 2100
57,GDP,MEX,1x,2100,No CC,%,-6.1,NA,NA,NA,NA,NA,p. 15,Peak loss due to climate change under Business-as-Usual (BAU) - assuming peak occurs around 2100
58,GDP,SAF,1x,2100,No CC,%,-5.7,NA,NA,NA,NA,NA,p. 15,Peak loss due to climate change under Business-as-Usual (BAU) - assuming peak occurs around 2100
59,GDP,MENA,1x,2100,No CC,%,-9.1,NA,NA,NA,NA,NA,p. 15,Peak loss due to climate change under Business-as-Usual (BAU) - assuming peak occurs around 2100
