,Outcome,Region,Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,Plant Height,Australia,Observed,2023,Non-biochar GRs,cm,52,NA,NA,NA,NA,NA,9,"Observed wallaby grass height of 52 cm in GR-7.5M-M in the first observation period. Biochar-related parameters generally did not have a significant impact, except in the case of GRs with fine biochar particles at the top of the substrate (GR-7.5T-F), which failed to increase the height of this plant species."
1,Plant Height,Australia,Observed,2024,Non-biochar GRs,cm,33,NA,NA,NA,NA,NA,9,Common everlasting plants reached up to 33 cm in GR-15M-M.
2,Plant Height,Australia,Observed,2024,Non-biochar GRs,cm,56,NA,NA,NA,NA,NA,9,Maximum height of billy button plants observed during the last two observation periods in GR-7.5M-M.
3,Plant Height,Local,No specified scenario,2024,No CC,cm,-3,NA,NA,NA,NA,NA,Page 10,"The average height of Wallaby Grass is observed to vary with treatments, measured for the period from 1/3/2024 to 1/6/2024 in comparison to earlier periods recorded in 2023. Specifically, GR-15M shows a decrease in height to ~28 cm from ~38 cm in previous terms."
4,Plant Dry Weight,Australia,Observed,2023,No Biochar,relative,1,NA,NA,NA,NA,NA,Page 11,"The document describes variations in dry weights due to different biochar treatments in green roofs. While specific quantitative values are not provided, it mentions increased dry weight performance in medium biochar particles at a 15% v/v amendment rate compared to non-amended test beds. Here I am just creating a placeholder that 1 indicates an increase in dry weight."
5,Plant coverage,Australia,Observational,2024,Unmodified GR,Relative,1,NA,NA,NA,NA,NA,pg 11,Biochar-modified GRs have greater plant coverage area compared to unmodified. GR-15M-M (15% medium biochar mixed) had greatest effect.
6,Substrate temp,Australia,Observational,2024,GR-0 (no biochar),degrees C,-1,NA,NA,NA,NA,NA,pg 11,"Biochar-amended substrates (GR-7.5M-M, GR-15M-M, and GR-7.5M-F) were noticeably lower in temperature than GR-0."
7,Substrate temp,Australia,Observational,2024,Bottom-applied biochar,degrees C,-1,NA,NA,NA,NA,NA,pg 11,Slight improvement in substrate temperature when biochar was applied at the bottom of the substrate (GR-7.5B-M).
8,Substrate temp,Australia,Observational,2024,GR-0 (no biochar),degrees C,1,NA,NA,NA,NA,NA,pg 11,Top-dressed biochar (GR-7.5T-F) increased substrate temperature during the day.
9,Substrate temp,Australia,Observational,2024,Daytime,degrees C,-1,NA,NA,NA,NA,NA,pg 11,GR-7.5T-F (top-dressed biochar) released absorbed heat more quickly than GR-0 and cooled down faster at night.
10,Substrate temp,Australia,Observational,2024,Lower ambient temps,degrees C,-1,NA,NA,NA,NA,NA,pg 11,The effects of biochar in reducing substrate temperature were more pronounced at higher ambient temperatures.
11,"Dry weight, WG",Australia,Observational,2024,GR 0,grams,1,NA,NA,NA,NA,NA,Image,"Bars for groups GR 75&M, GR 75&F, and GR 75 F+F are greater than GR 0. Weights range approximately from 15 to 25 grams."
12,"Dry weight, CE",Australia,Observational,2024,GR 0,grams,1,NA,NA,NA,NA,NA,Image,"Bars for groups GR 75&M, GR 75&F, and GR 75 F+F are greater than GR 0. Weights range approximately from 15 to 30 grams."
13,"Dry weight, BB",Australia,Observational,2024,GR 0,grams,1,NA,NA,NA,NA,NA,Image,"Bars for groups GR 75&M, GR 75&F, and GR 75 F+F are greater than GR 0. Weights range approximately from 5 to 15 grams."
14,Total dry weight,Australia,Observational,2024,GR 0,grams,1,NA,NA,NA,NA,NA,Image,"Bars for groups GR 75&M, GR 75&F, and GR 75 F+F are greater than GR 0."
15,Substrate Temperature,Australia,Observational,2023,GR-0,°C,-4,NA,NA,NA,NA,NA,12,Maximum reduction in substrate temperature during the hottest times of the hot days for GR-7.5M-M (7.5% medium biochar)
16,Substrate Temperature,Australia,Observational,2023,GR-0,°C,-3.5,NA,NA,NA,NA,NA,12,Maximum reduction in substrate temperature during the hottest times of the hot days for GR-15M-M (15% medium biochar)
17,Substrate Temperature,Australia,Observational,2023,GR-0,°C,-2,NA,NA,NA,NA,NA,12,Reduction in substrate temperature during the cold days.
18,Substrate Temperature,Australia,Observed,2024,GR-0,degrees C,-10,NA,NA,NA,NA,NA,Figure 11 & Figure 12,Approximate max reduction based on visual inspection of the graphs in Figures 11 (May 2024) and Figure 12 (Dec 2021-Mar 2022) for GR-15-M compared to GR-0.
19,Substrate Temperature,Australia,NA,2023,Non-biochar GRs,degrees C,-1,NA,NA,NA,NA,NA,16,"The paper notes that biochar setups reduce GR substrate temperature during hot and cold periods, and the effects were more remarkable during the highest ambient temperature. The value of -1 is my estimation of a typical reduction given the sentence describing these reductions. The year is based on the study timeframe."
20,Plant Available Water,Australia,NA,2023,No Biochar,%,16,NA,NA,NA,NA,NA,16,"Greenwaste biochar increased PAW by 16%, as reported by Cao et al. [29]. The year is based on the study timeframe."
21,Permanent Wilting Point,Australia,NA,2023,No Biochar,days,2,NA,NA,NA,NA,NA,16,"Greenwaste biochar delayed PWP by 2 days, as reported by Cao et al. [29]. The year is based on the study timeframe."
22,Permanent Wilting Point,Australia,NA,2023,No Biochar,days,3,NA,NA,NA,NA,NA,16,"Biochar delayed PWP by 3 days, as reported by Liu et al. [77]. The year is based on the study timeframe."
