,Outcome,Region,Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,Economic growth,Global,Historical,2013,No CC,% GDP per capita,-6.7,NA,NA,NA,NA,NA,Page 1,"This result refers to the cumulative losses due to anthropogenic extreme heat from 1992 to 2013, focusing on regions in the bottom income decile. Reported as the terminal year."
1,Economic growth,Global,Historical,2013,No CC,% GDP per capita,-1.5,NA,NA,NA,NA,NA,Page 1,"This result refers to the cumulative losses due to anthropogenic extreme heat from 1992 to 2013, focusing on regions in the top income decile. Reported as the terminal year."
2,Economic growth,Brazil,No Scenario,2002,No CC,Percentage points per SD,-0.63,NA,NA,NA,NA,NA,Page 2,Effect of an SD increase in Tx5d intensity impacts economic growth. Year is approximate midpoint.
3,Economic growth,Norway,No Scenario,2002,No CC,Percentage points per SD,0.62,NA,NA,NA,NA,NA,Page 2,Effect of an SD increase in Tx5d intensity impacts economic growth. Year is approximate midpoint.
4,Growth,Global,Historical,2002,No CC,pp / SD temp variability,-2.01,NA,NA,NA,NA,NA,3,Effect of temperature variability on growth in a model that includes Tx5d. 1992-2013 average.
5,Growth,Global,Historical,2002,No CC,pp / SD temp variability,-2.21,NA,NA,NA,NA,NA,3,Effect of temperature variability on growth when Tx5d is removed from the model. 1992-2013 average.
6,Tx5d,Global,Observed vs Counterfactual,1992,No CC,°C,0.77,NA,NA,NA,NA,NA,4,"Globally, regional Tx5d values average 0.77°C more than they would have without warming over 1992–2013."
7,Tx5d Probability,Global,Observed vs Counterfactual,1992,No CC,percentage points,13,NA,NA,NA,NA,NA,4,"The probability of extreme Tx5d values (the 90th percentile in each region calculated from the counterfactual time series) has also substantially increased, with probabilities rising by 13 p.p. across regions, on average"
8,GDPpc Growth,Brazil,Anthropogenic Tx5d changes,2013,No CC,%,-5,NA,NA,NA,NA,NA,5,GDPpc is >5% per year lower than it would have been without anthropogenic effects on extreme heat. Result reported at the end of the study period.
9,GDPpc Growth,Canada,Anthropogenic Tx5d changes,2013,No CC,%,-1,NA,NA,NA,NA,NA,5,GDPpc is ~1% per year lower than it would have been without anthropogenic effects on extreme heat. Result reported at the end of the study period.
10,GDPpc Growth,Finland,Anthropogenic Tx5d changes,2013,No CC,%,-1,NA,NA,NA,NA,NA,5,GDPpc is ~1% per year lower than it would have been without anthropogenic effects on extreme heat. Result reported at the end of the study period.
11,GDPpc Growth,Mali,Anthropogenic Tx5d changes,2013,No CC,%,-5,NA,NA,NA,NA,NA,5,GDPpc is >5% per year lower than it would have been without anthropogenic effects on extreme heat. Result reported at the end of the study period.
12,GDPpc Growth,Venezuela,Anthropogenic Tx5d changes,2013,No CC,%,-5,NA,NA,NA,NA,NA,5,GDPpc is >5% per year lower than it would have been without anthropogenic effects on extreme heat. Result reported at the end of the study period.
13,Economic Loss,Global,Anthropogenic Tx5d changes,2013,No CC,Trillion USD,-16,NA,2.5%,-65,97.5%,16,5,Cumulative global losses due to extreme heat average more than $16 trillion in 2013. Uncertainty ranges are provided.
14,GDPpc Growth,Lowest Income Decile Regions,Anthropogenic Tx5d changes,2013,No CC,%,-6.7,NA,NA,NA,NA,NA,5,Regions in the lowest income decile have experienced losses of 6.7% of GDPpc per year. Result reported at the end of the study period.
15,GDPpc Growth,Top Income Decile Regions,Anthropogenic Tx5d changes,2013,No CC,%,-1.5,NA,NA,NA,NA,NA,5,Regions in the top income decile have experienced losses of 1.5% of GDPpc per year. Result reported at the end of the study period.
16,Economic Loss,Brazil,Anthropogenic Tx5d changes,2013,No CC,Billion USD,-39,NA,NA,NA,NA,NA,5,Cumulative losses over 1992–2013 total $39 billion in the average region in Brazil. Result reported at the end of the study period.
17,Economic Loss,Indonesia,Anthropogenic Tx5d changes,2013,No CC,Billion USD,-6.5,NA,NA,NA,NA,NA,5,Cumulative losses over 1992–2013 total $6.5 billion in the average region in Indonesia. Result reported at the end of the study period.
