,Outcome,Country(ies),Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,Labor productivity,China,Unspecified,2022,1986-2005,%,-24,NA,NA,NA,NA,NA,2,Compared to a baseline period of 1986-2005.
1,Labor productivity,China,High emissions,2022,No CC,%,-30.9,NA,NA,NA,NA,NA,3,Labor productivity losses attributable to heatwaves.
2,Heatwave mortality,China,Climate change,2022,No CC,%,49.4,NA,NA,NA,NA,NA,3,Attributable to human-caused climate change.
3,Drought affected,China,Climate change,2022,No CC,%,98.8,NA,NA,NA,NA,NA,3,Population affected by drought.
4,Sea level rise,China,High emissions,2050,Base Year,%,7.7,NA,NA,NA,NA,NA,3,Coastal provinces.
5,Sea level rise,China,High emissions,2100,Base Year,%,12.9,NA,NA,NA,NA,NA,3,Coastal provinces.
6,Premature mortality,China,Transition & control,2022,No transition,People avoided,72000,NA,NA,NA,NA,NA,3,From household sector.
7,Premature mortality,China,Transition & control,2022,No transition,People avoided,37000,NA,NA,NA,NA,NA,3,From power sector.
8,Premature mortality,China,Transition & control,2022,No transition,People avoided,24000,NA,NA,NA,NA,NA,3,From industrial sector.
9,Labor productivity,China,Unspecified,2022,No CC,%,-30.9,NA,NA,NA,NA,NA,7,Heat-related
