,Outcome,Country(ies),Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,GDP,The Philippines,Historical Weather Data,2005,Current O3 exposure,percent,2.0,NA,NA,NA,NA,NA,Page 1,Result based on 25% reduction in early-life ozone exposure
1,Lifetime Earnings,The Philippines,Historical Weather Data,2005,Current O3 exposure,USD,1367,NA,NA,NA,NA,NA,Page 1,Per person discounted lifetime earnings; Result based on 25% reduction in early-life ozone exposure
2,GDP,The Philippines,Historical Weather Data,2005,Current O3 exposure,USD billions,2.05,NA,NA,NA,NA,NA,Page 1,Result based on 25% reduction in early-life ozone exposure
3,Lifetime Earnings,The Philippines,Historical,2005,Baseline Pollution,USD,1367,NA,NA,NA,NA,NA,3,Individual increase if early-life pollution exposure reduced by 25%
4,Lifetime Earnings,The Philippines,Historical,2005,Baseline Pollution,USD,44500000,NA,NA,NA,NA,NA,3,Aggregate increase in the province if early-life pollution exposure reduced by 25%
5,GDP,The Philippines,Historical,2005,Baseline Pollution,%,2,NA,NA,NA,NA,NA,3,National increase if early-life pollution exposure reduced by 25%
6,Lifetime Earnings,The Philippines,Historical,2005,Baseline Pollution,USD,2050000000,NA,NA,NA,NA,NA,3,National increase if early-life pollution exposure reduced by 25%
7,Test scores,The Philippines,Historical Weather Data,2000,No O3 Exposure,standard deviations,-0.05,NA,NA,NA,NA,NA,17,Non-verbal test scores; effect of 1 standard deviation increase in early-life O3 exposure. Assuming year 2000 for illustration.
8,Test scores,The Philippines,Historical Weather Data,2000,No O3 Exposure,standard deviations,-0.041,NA,NA,NA,NA,NA,17,Math test scores; effect of 1 standard deviation increase in early-life O3 exposure. Assuming year 2000 for illustration.
9,Test scores,The Philippines,Historical Weather Data,2000,No O3 Exposure,standard deviations,-0.07,NA,NA,NA,NA,NA,17,Language test scores; effect of 1 standard deviation increase in early-life O3 exposure. Assuming year 2000 for illustration.
10,Schooling,The Philippines,Historical Weather Data,2000,No O3 Exposure,years,-0.5,NA,NA,NA,NA,NA,17,Years of schooling; effect of 1 standard deviation increase in early-life O3 exposure. Assuming year 2000 for illustration.
11,Hours Worked,The Philippines,Historical Weather Data,2000,No O3 Exposure,hours per week,-1.34,NA,NA,NA,NA,NA,17,Effect of early-life O3 exposure. Assuming year 2000 for illustration.
12,Earnings,The Philippines,Historical Weather Data,2000,No O3 Exposure,%,-8.2,NA,NA,NA,NA,NA,17,Effect of early-life O3 exposure. Assuming year 2000 for illustration.
13,Earnings,The Philippines,Historical Weather Data,2000,No O3 Exposure,%,-12.3,NA,NA,NA,NA,NA,17,Effect of 1 standard deviation increase in early-life O3 exposure on female earnings. Assuming year 2000 for illustration.
14,Hours Worked,The Philippines,Historical Weather Data,2000,No O3 Exposure,hours,-1.39,NA,NA,NA,NA,NA,17,Effect of 1 standard deviation increase in early-life O3 exposure in the informal sector. Assuming year 2000 for illustration.
15,Earnings,The Philippines,Historical Weather Data,2000,No O3 Exposure,%,-8.9,NA,NA,NA,NA,NA,17,Effect of 1 standard deviation increase in early-life O3 exposure in the informal sector. Assuming year 2000 for illustration.
16,Test scores,The Philippines,Historical Weather Data,2000,No CO Exposure,standard deviations,-0.027,NA,NA,NA,NA,NA,17,Non-verbal test scores; effect of 1 standard deviation increase in early-life CO exposure. Assuming year 2000 for illustration.
17,Test scores,The Philippines,Historical Weather Data,2000,No CO Exposure,standard deviations,-0.042,NA,NA,NA,NA,NA,17,Language test scores; effect of 1 standard deviation increase in early-life CO exposure. Assuming year 2000 for illustration.
18,GDP,The Philippines,Historical Weather Data,2021,Current,%,2,NA,NA,NA,NA,NA,Highlights,Reducing early-life O3 exposure by 25%
19,Earnings,The Philippines,Historical Weather Data,2021,Current,%,2.8,NA,NA,NA,NA,NA,Highlights,Reducing early-life O3 exposure by 25%
20,Weekly Hours Worked,The Philippines,Historical Weather Data,2021,Current,,0.45,NA,NA,NA,NA,NA,Highlights,"Increase in weekly hours worked by males in the informal sector, resulting from reducing early-life O3 exposure by 25%"
21,GDP,The Philippines,25% O3 reduction,2023,Current O3 levels,%,2,NA,NA,NA,NA,NA,22,Estimated increase in GDP due to reduced early-life O3 exposure. Year represents current value.
22,Earnings,The Philippines,25% O3 reduction,2023,Current O3 levels,%,2.8,NA,NA,NA,NA,NA,22,Estimated increase in earnings due to reduced early-life O3 exposure. Year represents current value.
23,Hours worked,The Philippines,25% O3 reduction,2023,Current O3 levels,hours/week,0.45,NA,NA,NA,NA,NA,22,Estimated increase in weekly hours worked due to reduced early-life O3 exposure. Year represents current value.
