,Outcome,Country(ies),Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,Real GDP per capita,China,Late Imperial,1720,No CC,Coefficient,0.117,0.017,NA,NA,NA,NA,5,Impact of temperature; Average year selected
1,Rice price,China,Late Imperial,1720,No CC,Coefficient,-0.253,0.073,NA,NA,NA,NA,5,Impact of temperature; Average year selected
2,Real GDP per capita,China,Late Imperial,1720,No CC,Coefficient,0.181,0.039,NA,NA,NA,NA,5,Impact of precipitation; Average year selected
3,Rice price,China,Late Imperial,1720,No CC,Coefficient,0.189,0.163,NA,NA,NA,NA,5,Impact of precipitation; Average year selected
4,Real GDP per capita,China,Late Imperial,1720,No CC,Coefficient,-5.67E-06,7.840E-07,NA,NA,NA,NA,5,Impact of population; Average year selected
5,Rice price,China,Late Imperial,1720,No CC,Coefficient,1.23E-05,3.300E-06,NA,NA,NA,NA,5,Impact of population; Average year selected
6,Real GDP per capita,China,Late Imp. China 1600-1840,1650,No CC,Coefficient,0.148,0.016,NA,NA,NA,NA,Page 7,Positive impact of temperature on real GDP per capita.
7,Real GDP per capita,China,Late Imp. China 1600-1840,1650,No CC,Coefficient,0.386,0.042,NA,NA,NA,NA,Page 7,Positive impact of precipitation on real GDP per capita.
8,Real GDP per capita,China,Late Imp. China 1600-1840,1650,No CC,Coefficient,-2.48E-06,7.98E-07,NA,NA,NA,NA,Page 7,Negative impact of Population on real GDP per capita.
9,Real GDP per capita,China,Late Imp. China 1600-1840,1650,No CC,Coefficient,-0.229,0.027,NA,NA,NA,NA,Page 7,Negative impact of social crisis on real GDP per capita.
