,Outcome,Region,Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,Temperature,Global,No Policy,2100,No CC,°C,4.3,NA,NA,NA,NA,NA,8,Rise in temperature by 2100
1,Coal Demand,Global,No Policy,2100,2020,%,72,NA,NA,NA,NA,NA,8,Increase in coal demand from 2020 to 2100
2,Oil Demand,Global,No Policy,2100,2020,%,58,NA,NA,NA,NA,NA,8,Increase in oil demand from 2020 to 2100
3,Gas Demand,Global,No Policy,2100,2020,%,143,NA,NA,NA,NA,NA,8,Increase in gas demand from 2020 to 2100
4,Temperature,Global,NDC Pledges,2100,No CC,°C,3.1,NA,NA,NA,NA,NA,8,Median temperature projection by 2100
5,Temperature,Global,1.5C,2050,No CC,°C,1.7,NA,NA,NA,NA,NA,8,Peak temperature around 2050
6,Temperature,Global,1.5C,2080,No CC,°C,1.49,NA,NA,NA,NA,NA,8,Temperature returns to below 1.5°C around 2080
7,Temperature,Global,1.5C,2100,No CC,°C,1.3,NA,NA,NA,NA,NA,8,Temperature around 2100
8,Temperature,Global,2.5C,2090,No CC,°C,2.6,NA,NA,NA,NA,NA,8,Temperature peaks slightly above 2.5°C around 2090
9,Temperature,Global,2.5C,2100,No CC,°C,2.49,NA,NA,NA,NA,NA,8,Temperature returns to just below 2.5°C around 2100
10,Temperature,Global,2C Central,2100,No CC,°C,1.99,NA,NA,NA,NA,NA,8,Temperature remains below 2°C throughout the century.
11,Heatwave Likelihood,Most Regions,NDC Pledges,2050,2C Central,%,30,NA,NA,NA,NA,NA,10,Chance of a major heatwave.
12,Heatwave Likelihood,Most Regions,NDC Pledges,2050,2C Central,%,40,NA,NA,NA,NA,NA,10,Chance of a major heatwave.
13,River Flooding Likelihood,India,NDC Pledges,2050,2C Central,%,18,NA,NA,NA,NA,NA,10,Compared to 12% globally.
14,Agricultural Drought Frequency,India,NDC Pledges,2050,2C Central,%,25,NA,NA,NA,NA,NA,10,
15,Heat Stress Frequency,SubSaharan Africa,NDC Pledges,2050,2C Central,%,25,NA,NA,NA,NA,NA,11,Frequency increase of periods with heat stress for maize.
16,Heat Stress Frequency,Middle East,NDC Pledges,2050,2C Central,%,50,NA,NA,NA,NA,NA,11,Frequency increase of periods with heat stress for maize.
17,Heat Stress Frequency,Russia,NDC Pledges,2050,2C Central,%,50,NA,NA,NA,NA,NA,11,Frequency increase of periods with heat stress for maize.
18,Heat Stress Frequency,EU+UK,NDC Pledges,2050,2C Central,%,50,NA,NA,NA,NA,NA,11,Frequency increase of periods with heat stress for maize.
19,Maize Yield,Russia,NDC Pledges,2050,2C Central,%,-20,NA,NA,NA,NA,NA,11,Regional reductions in maize yield (resulting from reduced growth durations).
20,Maize Yield,EU+UK,NDC Pledges,2050,2C Central,%,-20,NA,NA,NA,NA,NA,11,Regional reductions in maize yield (resulting from reduced growth durations).
21,Maize Yield,Brazil,NDC Pledges,2050,2C Central,%,-20,NA,NA,NA,NA,NA,11,Regional reductions in maize yield (resulting from reduced growth durations).
22,Maize Yield,Russia,NDC Pledges,2050,2C Central,%,-30,NA,NA,NA,NA,NA,11,Regional reductions in maize yield (resulting from reduced growth durations).
23,Maize Yield,EU+UK,NDC Pledges,2050,2C Central,%,-30,NA,NA,NA,NA,NA,11,Regional reductions in maize yield (resulting from reduced growth durations).
24,Maize Yield,Brazil,NDC Pledges,2050,2C Central,%,-30,NA,NA,NA,NA,NA,11,Regional reductions in maize yield (resulting from reduced growth durations).
25,Drought likelihood,Global,1981-2010,1995,No CC,%,9.5,NA,NA,NA,NA,NA,33,Average of 9-10%
26,Maize temp impact,Global,1981-2010,1995,No CC,%,5,NA,NA,NA,NA,NA,33,Damaging temperatures above 36 oC
