,Outcome,Country(ies),Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,Social Cost of Carbon,180 countries,NA,2100,No CC,%,25,NA,NA,NA,NA,NA,1 of 9,Increase due to climate tipping points in main specification
1,Social Cost of Carbon,180 countries,NA,2100,No CC,%,0,NA,10%,200,NA,NA,1 of 9,"10% chance of more than doubling the SCC due to tipping points, implying a >100% increase"
2,Economic losses,180 countries,NA,2100,No CC,Qualitative,1,NA,NA,NA,NA,NA,1 of 9,Spatial analysis indicates that tipping points increase economic losses almost everywhere; +1 indicates an increase.
3,Social Cost of Carbon,180 countries,RCP4.5/RCP8.5/SSP2,2100,No CC,%,24.5,NA,NA,NA,NA,NA,2,Increase due to all tipping points combined. Probable underestimate.
4,Social Cost of Carbon,180 countries,RCP4.5/RCP8.5/SSP2,2100,No CC,%,18.8,NA,50%,NA,75%,NA,2,Median percentage increase due to all tipping points combined.
5,Social Cost of Carbon,180 countries,RCP4.5/RCP8.5/SSP2,2100,No CC,%,22.5,NA,75%,NA,99.5%,NA,2,75th percentile of percentage increase due to all tipping points combined.
6,Social Cost of Carbon,180 countries,RCP4.5/RCP8.5/SSP2,2100,No CC,%,132.2,NA,99.5%,NA,NA,NA,2,99.5th percentile of percentage increase due to all tipping points combined.
7,Social Cost of Carbon,180 countries,RCP4.5/RCP8.5/SSP2,2100,No CC,%,13.1,NA,NA,NA,NA,NA,2,Increase due to dissociation of ocean methane hydrates.
8,Social Cost of Carbon,180 countries,RCP4.5/RCP8.5/SSP2,2100,No CC,%,8.4,NA,NA,NA,NA,NA,2,Increase due to permafrost carbon feedback.
9,Social Cost of Carbon,180 countries,RCP4.5/RCP8.5/SSP2,2100,No CC,%,2.9,NA,NA,NA,NA,NA,2,Increase due to disintegration of WAIS.
10,Social Cost of Carbon,180 countries,RCP4.5/RCP8.5/SSP2,2100,No CC,%,1.8,NA,NA,NA,NA,NA,2,Increase due to disintegration of GIS.
11,Social Cost of Carbon,180 countries,RCP4.5/RCP8.5/SSP2,2100,No CC,%,1.3,NA,NA,NA,NA,NA,2,Increase due to Indian Summer Monsoon variability.
12,Social Cost of Carbon,180 countries,RCP4.5/RCP8.5/SSP2,2100,No CC,%,0.1,NA,NA,NA,NA,NA,2,Increase due to Amazon rainforest dieback.
13,Social Cost of Carbon,180 countries,RCP4.5/RCP8.5/SSP2,2100,No CC,%,-1.4,NA,NA,NA,NA,NA,2,Reduction due to slowdown of the AMOC.
14,Social Cost of Carbon,180 countries,RCP4.5/RCP8.5/SSP2,2100,No CC,%,-1.7,NA,NA,NA,NA,NA,2,Reduction due to Surface Albedo Feedback (SAF).
15,Social Cost of Carbon,180 countries,RCP4.5-SSP2,2020,No CC,US$/tCO2,52.03,NA,NA,NA,NA,NA,3,Baseline SCC with no tipping points
16,Social Cost of Carbon,180 countries,RCP4.5-SSP2,2020,No CC,US$/tCO2,56.41,NA,NA,NA,NA,NA,3,With Permafrost Carbon feedback tipping point
17,Social Cost of Carbon,180 countries,RCP4.5-SSP2,2020,No CC,US$/tCO2,58.85,NA,NA,NA,NA,NA,3,With Ocean Methane Hydrates tipping point
18,Social Cost of Carbon,180 countries,RCP4.5-SSP2,2020,No CC,US$/tCO2,51.14,NA,NA,NA,NA,NA,3,With SAF weakening tipping point
19,Social Cost of Carbon,180 countries,RCP4.5-SSP2,2020,No CC,US$/tCO2,52.07,NA,NA,NA,NA,NA,3,With Amazon dieback tipping point
20,Social Cost of Carbon,180 countries,RCP4.5-SSP2,2020,No CC,US$/tCO2,52.97,NA,NA,NA,NA,NA,3,With GIS disintegration tipping point
21,Social Cost of Carbon,180 countries,RCP4.5-SSP2,2020,No CC,US$/tCO2,53.57,NA,NA,NA,NA,NA,3,With WAIS disintegration tipping point
22,Social Cost of Carbon,180 countries,RCP4.5-SSP2,2020,No CC,US$/tCO2,51.28,NA,NA,NA,NA,NA,3,With AMOC slowdown tipping point
23,Social Cost of Carbon,180 countries,RCP4.5-SSP2,2020,No CC,US$/tCO2,52.70,NA,NA,NA,NA,NA,3,With Indian Summer Monsoon changes tipping point
24,Social Cost of Carbon,180 countries,RCP4.5-SSP2,2020,No CC,US$/tCO2,64.80,NA,NA,NA,NA,NA,3,With all tipping points
25,Social Cost of Carbon,180 countries,RCP4.5-SSP2,2020,No CC,US$/tCO2,67.05,NA,NA,NA,NA,NA,3,With all costly tipping points
26,Percentage Change in SCC,180 countries,RCP4.5-SSP2,2020,No tipping points,% of consumption,8.4,NA,NA,NA,NA,NA,3,Increase due to Permafrost Carbon feedback
27,Percentage Change in SCC,180 countries,RCP4.5-SSP2,2020,No tipping points,% of consumption,13.1,NA,NA,NA,NA,NA,3,Increase due to Ocean Methane Hydrates
28,Percentage Change in SCC,180 countries,RCP4.5-SSP2,2020,No tipping points,% of consumption,-1.7,NA,NA,NA,NA,NA,3,Change due to SAF weakening
29,Percentage Change in SCC,180 countries,RCP4.5-SSP2,2020,No tipping points,% of consumption,0.1,NA,NA,NA,NA,NA,3,Change due to Amazon dieback
30,Percentage Change in SCC,180 countries,RCP4.5-SSP2,2020,No tipping points,% of consumption,1.8,NA,NA,NA,NA,NA,3,Change due to GIS disintegration
31,Percentage Change in SCC,180 countries,RCP4.5-SSP2,2020,No tipping points,% of consumption,2.9,NA,NA,NA,NA,NA,3,Change due to WAIS disintegration
32,Percentage Change in SCC,180 countries,RCP4.5-SSP2,2020,No tipping points,% of consumption,-1.4,NA,NA,NA,NA,NA,3,Change due to AMOC slowdown
33,Percentage Change in SCC,180 countries,RCP4.5-SSP2,2020,No tipping points,% of consumption,1.3,NA,NA,NA,NA,NA,3,Change due to Indian summer monsoon changes
34,Percentage Change in SCC,180 countries,RCP4.5-SSP2,2020,No tipping points,% of consumption,24.5,NA,NA,NA,NA,NA,3,Increase due to all tipping points
