,Outcome,Region,Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,Beef production,Global,Historical,2017,No CC,% per degree C,-9.7,NA,NA,NA,NA,NA,Page 2,"Adverse effects amplified in hot, poor, and agriculture-dependent countries"
1,Beef production,Tropical,Historical,2017,No CC,% per precipitation %,2.1,NA,NA,NA,NA,NA,Page 2,
2,Beef production,Temperate,Historical,2017,No CC,% per precipitation %,-1.9,NA,NA,NA,NA,NA,Page 2,
3,Animal output,Global,ACCESS SSP3.70,2050,No CC,%,-20,NA,NA,NA,NA,NA,Page 2,Assuming no adaptation other than the degree of adaptation observed in the historical period
4,Animal output,Global,ACCESS SSP3.70,2100,No CC,%,-40,NA,NA,NA,NA,NA,Page 2,Assuming no adaptation other than the degree of adaptation observed in the historical period
5,Beef production,Aggregate,Historical (1961-2017),2017,No CC,%/degree C,-9.7,1.4,NA,NA,NA,NA,7,Based on 1°C increase in temperature.
6,Beef production,Tropical,Historical (1961-2017),2017,No CC,%/degree C,-19.9,4.4,NA,NA,NA,NA,7,Based on 1°C increase in temperature.
7,Beef production,Temperate,Historical (1961-2017),2017,No CC,%/degree C,-1.6,1.4,NA,NA,NA,NA,7,Based on 1°C increase in temperature.
8,Beef production,Rich,Historical (1961-2017),2017,No CC,%/degree C,-3.9,1.4,NA,NA,NA,NA,7,Based on 1°C increase in temperature.
9,Beef production,Poor,Historical (1961-2017),2017,No CC,%/degree C,-27.1,3.5,NA,NA,NA,NA,7,Based on 1°C increase in temperature.
10,Beef production,Ag-dependent,Historical (1961-2017),2017,No CC,%/degree C,-14.1,3.7,NA,NA,NA,NA,7,Based on 1°C increase in temperature.
11,Beef production,Non-ag-dep,Historical (1961-2017),2017,No CC,%/degree C,-4.4,1.3,NA,NA,NA,NA,7,Based on 1°C increase in temperature.
12,Beef production,Tropical,Historical (1961-2017),2017,No CC,%/mm precipitation,2.1,1.0,NA,NA,NA,NA,7,Based on 1 mm increase in annual precipitation.
