,Impacted Sector,Solution,Country(ies),Scenario,Quantification,Expression,Type of Value,Sample,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,Energy,Infrastructure Investment,China,SSPs/RCPs,Infrastructure Investment Cost,AdaptationCost,Monetary,Need,billion yuan per year,275,NA,NA,NA,NA,617,Abstract,Additional infrastructure investment required to meet peak load demand by the end of the century.
1,Energy,Infrastructure investment,China,Any,Load-temperature response,AvoidedImpact,Economic,Need,GW/°C,0.38,NA,NA,NA,NA,NA,Page 4,"A 1 °C increase in the maximum temperature will increase the peak load by an average of 0.385 GW. Compared to historical average, this is a 2.33% increase."
2,Energy,Infrastructure investment,China,Any,Load-temperature response,AvoidedImpact,Economic,Need,%,2.33,NA,NA,NA,NA,NA,Page 4,"A 1 °C increase in the maximum temperature will increase the peak load by an average of 0.385 GW. Compared to historical average, this is a 2.33% increase."
3,All,Any,China,Any,Regression Coefficient,BaselineImpact,Economic,N/A,GW/°C,0.456,NA,NA,NA,NA,NA,"Table 3, Column 1",Coefficient of temperature (T) on Peak Load (PL) in regression model 1.
4,All,Any,China,Any,Regression Coefficient,BaselineImpact,Economic,N/A,GW/°C,0.455,NA,NA,NA,NA,NA,"Table 3, Column 2",Coefficient of temperature (T) on Peak Load (PL) in regression model 2.
5,All,Any,China,Any,Regression Coefficient,BaselineImpact,Economic,N/A,GW/°C,0.497,NA,NA,NA,NA,NA,"Table 3, Column 3",Coefficient of temperature (T) on Peak Load (PL) in regression model 3.
6,All,Any,China,Any,Regression Coefficient,BaselineImpact,Economic,N/A,GW/°C,0.385,NA,NA,NA,NA,NA,"Table 3, Column 4",Coefficient of temperature (T) on Peak Load (PL) in regression model 4.
7,All,Any,China,Any,Regression Coefficient,BaselineImpact,Economic,N/A,GW/°C,0.341,NA,NA,NA,NA,NA,"Table 5, Column 1",Coefficient of temperature (T) on Peak Load (PL) in robustness test model 1.
8,All,Any,China,Any,Regression Coefficient,BaselineImpact,Economic,N/A,GW/°C,0.437,NA,NA,NA,NA,NA,"Table 5, Column 2",Coefficient of temperature (T) on Peak Load (PL) in robustness test model 2.
9,Energy,Infrastructure Investment,China,Any,Peak Load Increase,BaselineImpact,Economic,Need,GW,0.708,NA,NA,NA,NA,NA,Table 6,"Eastern China region, per 1 degree C rise in maximum temperature"
10,Energy,Infrastructure Investment,China,Any,Peak Load Increase,BaselineImpact,Economic,Need,GW,0.116,NA,NA,NA,NA,NA,Table 6,"Central China region, per 1 degree C rise in maximum temperature"
11,Energy,Infrastructure Investment,China,Any,Peak Load Increase,BaselineImpact,Economic,Need,GW,-0.001,NA,NA,NA,NA,NA,Table 6,"Western China region, per 1 degree C rise in maximum temperature"
12,Energy,Infrastructure investment,China,SSP 5-RCP 8.5,Infra. investment,CapExCost,Monetary,Need,billion yuan per year,275,NA,NA,NA,NA,617,Section 4.4,"Investment is required to meet the projected peak load demand, specifically for wind and solar generators."
13,Energy,Infrastructure investment,China,SSP 5-RCP 8.5,Infra. investment,CapExCost,Monetary,Need,billion yuan per year,298,NA,NA,NA,NA,617,Section 4.4,"Investment is required to meet the projected peak load demand, specifically for wind and solar generators. Range reflects cost for wind (298) and solar (275) at the low end, to the high end."
14,Energy,Infrastructure investment,China,SSP 4-RCP 6.0,Infra. investment,CapExCost,Monetary,Need,billion yuan per year,275,NA,NA,NA,NA,570,Section 4.4,"Investment is required to meet the projected peak load demand, specifically for wind and solar generators."
15,Energy,Infrastructure investment,China,SSP 4-RCP 6.0,Infra. investment,CapExCost,Monetary,Need,billion yuan per year,298,NA,NA,NA,NA,570,Section 4.4,"Investment is required to meet the projected peak load demand, specifically for wind and solar generators. Range reflects cost for wind (298) and solar (275) at the low end, to the high end."
16,Energy,Infrastructure Investment,China,SSP1-RCP2.6,Peak load growth rate,AvoidedImpact,Economic,Need,%,37,NA,NA,NA,NA,NA,Table 9,Climate variables included
17,Energy,Infrastructure Investment,China,SSP2-RCP4.5,Peak load growth rate,AvoidedImpact,Economic,Need,%,40,NA,NA,NA,NA,NA,Table 9,Climate variables included
18,Energy,Infrastructure Investment,China,SSP4-RCP6.0,Peak load growth rate,AvoidedImpact,Economic,Need,%,41,NA,NA,NA,NA,NA,Table 9,Climate variables included
19,Energy,Infrastructure Investment,China,SSP5-RCP8.5,Peak load growth rate,AvoidedImpact,Economic,Need,%,41,NA,NA,NA,NA,NA,Table 9,Climate variables included
20,Energy,Infrastructure Investment,China,SSP1-RCP2.6,Peak load growth rate,BaselineImpact,Economic,Need,%,365,NA,NA,NA,NA,NA,Table 9,Climate and socioeconomic variables included
21,Energy,Infrastructure Investment,China,SSP2-RCP4.5,Peak load growth rate,BaselineImpact,Economic,Need,%,445,NA,NA,NA,NA,NA,Table 9,Climate and socioeconomic variables included
22,Energy,Infrastructure Investment,China,SSP4-RCP6.0,Peak load growth rate,BaselineImpact,Economic,Need,%,280,NA,NA,NA,NA,NA,Table 9,Climate and socioeconomic variables included
23,Energy,Infrastructure Investment,China,SSP5-RCP8.5,Peak load growth rate,BaselineImpact,Economic,Need,%,580,NA,NA,NA,NA,NA,Table 9,Climate and socioeconomic variables included
