,Impacted Sector,Solution,Country(ies),Scenario,Quantification,Expression,Type of Value,Sample,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,Energy,Hydropower,Ecuador,Boost Hydropower Dry,Electricity Gen,AvoidedImpact,Economic,Need,TWh/y,-25,NA,NA,NA,NA,NA,Page 9,"Compared to NoCC scenario (59 TWh/y), representing a reduction in hydropower generation due to dry conditions"
1,Energy,Hydropower,Ecuador,Boost Hydropower Wet,Electricity Gen,AvoidedImpact,Economic,Need,TWh/y,7,NA,NA,NA,NA,NA,Page 9,"Compared to NoCC scenario (59 TWh/y), representing an increase in hydropower generation due to wet conditions"
2,Energy,Hydropower,Ecuador,Constrain Hydropower Dry,Electricity Gen,AvoidedImpact,Economic,Need,TWh/y,-44,NA,NA,NA,NA,NA,Page 9,"Compared to NoCC scenario (37 TWh/y), representing a reduction in hydropower generation due to dry conditions"
3,Energy,Hydropower,Ecuador,Constrain Hydropower Wet,Electricity Gen,AvoidedImpact,Economic,Need,TWh/y,21,NA,NA,NA,NA,NA,Page 9,"Compared to NoCC scenario (37 TWh/y), representing an increase in hydropower generation due to wet conditions"
4,Energy,Natural Gas,Ecuador,Constrain Hydropower,Capacity Investments,AdaptationCost,Economic,Need,GW,6,NA,NA,NA,NA,8,Page 9,Investment in flexible thermal plants fueled by natural gas as a gap filler to lack of hydropower capacity
5,Energy,Geothermal,Ecuador,Constrain Hydropower,Capacity Investments,AdaptationCost,Economic,Need,GW,0.9,NA,NA,NA,NA,NA,Page 9,
6,Energy,Wind,Ecuador,Constrain Hydropower,Capacity Investments,AdaptationCost,Economic,Need,GW,0.5,NA,NA,NA,NA,NA,Page 9,
7,Energy,Hydropower,Ecuador,Constrain Hydropower,Demand Share,NonMonetaryBenefits,Economic,Need,%,29,NA,NA,NA,NA,NA,Page 9,Lower Bound Share of electricity demand supplied by hydropower in 2050 under the Constrain Hydropower policy
8,Energy,Hydropower,Ecuador,Constrain Hydropower,Demand Share,NonMonetaryBenefits,Economic,Need,%,62,NA,NA,NA,NA,NA,Page 9,Upper Bound Share of electricity demand supplied by hydropower in 2050 under the Constrain Hydropower policy
9,Energy,Hydropower,Ecuador,Boost Hydropower,Demand Share,NonMonetaryBenefits,Economic,Need,%,62,NA,NA,NA,NA,NA,Page 9,Lower Bound Share of electricity demand supplied by hydropower in 2050 under the Boost Hydropower policy
10,Energy,Hydropower,Ecuador,Boost Hydropower,Demand Share,NonMonetaryBenefits,Economic,Need,%,86,NA,NA,NA,NA,NA,Page 9,Upper Bound Share of electricity demand supplied by hydropower in 2050 under the Boost Hydropower policy
11,Energy,Natural Gas,Ecuador,Boost Hydropower,Cost,CapExCost [Billion USD],Monetary,Need,Billion USD,65,NA,NA,NA,NA,NA,Page 11,"The 'Boost Hydropower' policy is the most capital-intensive, requiring an investment of around 65 billion USD."
12,Energy,Natural Gas,Ecuador,Constrain Hydropower,Cost,CapExCost [Billion USD],Monetary,Need,Billion USD,35,NA,NA,NA,NA,NA,Page 11,"The 'Constrain Hydropower' policy is the least capital-intensive at around 35 billion USD, but carries high emissions and energy security implications."
13,Energy,Natural Gas,Ecuador,Environment Priority,Cost,CapExCost [Billion USD],Monetary,Need,Billion USD,60,NA,NA,NA,NA,NA,Page 11,"The 'Environment Priority' policy is more capital-intensive than 'Constrain Hydropower' but less than 'Boost Hydropower', costing around 60 billion USD."
