,Outcome,Country(ies),Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,Yield Ratios,England,Little Ice Age,1725,No CC,ratio,0,NA,NA,NA,NA,NA,Page 4,Qualitative result: Cooler temperatures decreased yield ratios.
1,Wheat Prices,England,Little Ice Age,1725,No CC,price,0,NA,NA,NA,NA,NA,Page 4,Qualitative result: Cooler temperatures increased wheat prices.
2,Mortality,England,Little Ice Age,1725,No CC,rate,0,NA,NA,NA,NA,NA,Page 4,Qualitative result: Cooler temperatures increased mortality.
3,Migration,England,Little Ice Age,1725,No CC,migration,0,NA,NA,NA,NA,NA,Page 4,"Qualitative result: Share of marriages with at least one migrant is higher following time periods with cooler temperatures, but the result is not significant."
4,Trade Volumes,Europe,Little Ice Age,1725,No CC,volume,0,NA,NA,NA,NA,NA,Page 4,"Qualitative result: Trade volumes increased in response to cooler temperatures, driven by growing season temperatures."
5,City Size,Europe,Little Ice Age,1725,No CC,size,0,NA,NA,NA,NA,NA,Page 4,Qualitative result: Effects of temperature change were significantly smaller for cities that participated in long-distance maritime trade compared with those that did not. Cities with more trading partners also exhibited this pattern.
6,City Size,England,Little Ice Age,1725,No CC,size,0,NA,NA,NA,NA,NA,Page 4,Cities with larger trade opportunities are less affected by temperature change.
7,Agricultural land,Europe,Little Ice Age,1725,Cooler temps,Area,0,NA,NA,NA,NA,NA,Page 5,"Warmer countries had greater increases in agricultural land area, although specific numeric increase is not provided."
8,City Size,"England, Europe",Little Ice Age,1725,No CC,%,0.00,NA,NA,NA,NA,NA,Fig. 3,"Positive correlation between temp and city size. Value represents a central point in the presented data (not explicitly specified, estimated to be centered around 0% based on the plot range)."
9,City size,England & Europe,Little Ice Age,1700,Pre-Little Ice Age,%,70,NA,NA,NA,NA,NA,Page 15,Effect of 1°C decrease in long-term mean temperature.
10,City size,England & Europe,Little Ice Age,1700,Pre-Little Ice Age,%,5,NA,NA,NA,NA,NA,Page 15,Effect of 1 standard deviation decrease in temperature over 100 years.
11,Economic growth,England & Europe,Little Ice Age,1700,Pre-Little Ice Age,%,27,NA,NA,NA,NA,NA,Page 15,"Implied effect on economic growth from a 1°C temperature change, assuming a correlation of 0.39 between city size and income growth (Glaeser 1993)."
12,GDP per capita,Global,RCP 8.5/SSP 5,2100,No CC,%,25,NA,NA,NA,NA,NA,Page 15,"Change in global GDP per capita for a temperature change between 1°C and 2°C (pooled response, long-run effect) from Burke, Hsiang, and Miguel (2015)."
13,GDP per capita,Poorest 20% of countries,RCP 8.5/SSP 5,2100,No CC,%,80,NA,NA,NA,NA,NA,Page 15,"Decrease in GDP per capita for the poorest 20% of countries after 100 years if temperatures increase by 4-5°C (Burke, Hsiang, and Miguel, 2015)."
14,City size,England & Europe,Little Ice Age,1700,Pre-Little Ice Age,%,19.6,NA,NA,NA,NA,NA,Page 15,Decrease in city size due to temperature change over a 100-year period for a city experiencing a 0.287°C decrease.
15,Agricultural productivity,12 European countries,Little Ice Age,1700,NA,Yield Ratio,0,NA,NA,NA,NA,NA,Page 18,"Higher temperatures are associated with higher yield ratios, implying a positive but unspecified effect. Placeholder value of 0 used as no specific value is provided."
16,Trade Volume,"England, European Countries",Little Ice Age,1857,No CC,Ship Arrivals,0,NA,NA,NA,NA,NA,Page 26,"The relationship is statistically significant at the 1% level for temperatures over the previous 25, 50, and 100 years. Exact numerical impact is not specified, but the relationship is negative."
17,City Size,Europe,Little Ice Age,1725,No CC,%,0.6,NA,NA,NA,NA,NA,Page 31,Average reduction in city size due to a decrease in temperature.
18,City Size,Europe,Little Ice Age,1725,Sound toll w/ few partners,%,3.5,NA,NA,NA,NA,NA,Page 31,1 standard deviation decrease in temperature reduces city size. Sound toll trade but with few trading partners.
19,City Size,Europe,Little Ice Age,1725,No Sound toll trade,%,9.8,NA,NA,NA,NA,NA,Page 31,1 standard deviation decrease in temperature reduces city size.
20,City Population,Europe,Little Ice Age,1725,Being in Sound toll trade,Inhabitants,1186000,NA,NA,NA,NA,NA,Page 31,The cost of not being part of the Sound toll trade network. Represents 3% of total population of Sound toll cities over the study period.
21,City Population,Europe,Little Ice Age,1725,Temperature Effect,Inhabitants,307000,NA,NA,NA,NA,NA,Page 31,"Calculated temperature effect for Sound toll cities equals a loss of 307,000 inhabitants, or 1.6% of the total population over the study period."
22,City Population,Europe,Little Ice Age,1725,Temperature Effect,%,1.6,NA,NA,NA,NA,NA,Page 31,"Calculated temperature effect for Sound toll cities equals a loss of 307,000 inhabitants, or 1.6% of the total population over the study period."
