,Outcome,Country(ies),Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,GDP,Tanzania,1 degree increase,2030,No CC,%,-0.32,NA,NA,NA,NA,NA,2,Attributable to climate change induced cholera
1,GDP,Tanzania,2 degree increase,2030,No CC,%,-1.4,NA,NA,NA,NA,NA,2,Attributable to climate change induced cholera
2,Productivity Loss,Tanzania,C1,2006,No CC,USD/day,-56,NA,NA,NA,NA,NA,4394,Wage rate for self-employed
3,Productivity Loss,Tanzania,C1,2006,No CC,USD/day,-72,NA,NA,NA,NA,NA,4394,Wage rate for formal employees
4,Productivity Loss,Tanzania,C1,2006,No CC,USD/day,-37,NA,NA,NA,NA,NA,4394,"Wage rate for unemployed, proxy is agricultural worker wage"
5,VOSL,Tanzania,NA,2011,US,USD million,4,NA,NA,NA,NA,NA,4394,"GDP-adjusted Value of Statistical Life (VOSL), based on a US VOSL of USD 4 million, value is for US, used as input"
6,GDP,Tanzania,Baseline scenario (C0),2030,No CC,%,-.32,NA,NA,NA,NA,NA,"Highlights, More Notes",Lower bound of estimate
7,GDP,Tanzania,Baseline scenario (C0),2030,No CC,%,-1.4,NA,NA,NA,NA,NA,"Highlights, More Notes",Upper bound of estimate
8,Reactive adaptation costs,Tanzania,C1 (1 °C 2030),2030,No CC,USD million,5.5,NA,NA,NA,NA,10.5,4396,Optimistic scenario with 1 degree Celsius increase.
9,Reactive adaptation costs,Tanzania,C1 (2 °C 2030),2030,No CC,USD million,11.7,NA,NA,NA,NA,24,4396,Pessimistic scenario with 2 degree Celsius increase.
10,GDP,Tanzania,C1 (1°C 2030),2030,No CC,%,-0.32,NA,NA,NA,NA,NA,13,Lower bound estimate
11,GDP,Tanzania,C1 (1°C 2030),2030,No CC,%,-0.61,NA,NA,NA,NA,NA,13,Upper bound estimate
12,GDP,Tanzania,C1 (2°C 2030),2030,No CC,%,-0.68,NA,NA,NA,NA,NA,13,Lower bound estimate
13,GDP,Tanzania,C1 (2°C 2030),2030,No CC,%,-1.40,NA,NA,NA,NA,NA,13,Upper bound estimate
14,Productivity,Tanzania,C1 (1°C 2030),2030,No CC,USD,504970,NA,NA,NA,NA,NA,13,Lower bound estimate
15,Productivity,Tanzania,C1 (1°C 2030),2030,No CC,USD,976276,NA,NA,NA,NA,NA,13,Upper bound estimate
16,Productivity,Tanzania,C1 (2°C 2030),2030,No CC,USD,1085686,NA,NA,NA,NA,NA,13,Lower bound estimate
17,Productivity,Tanzania,C1 (2°C 2030),2030,No CC,USD,2235671,NA,NA,NA,NA,NA,13,Upper bound estimate
18,Reactive adaptation costs,Tanzania,C1 (1°C 2030),2030,No CC,USD,5430815,NA,NA,NA,NA,NA,13,Lower bound estimate
19,Reactive adaptation costs,Tanzania,C1 (1°C 2030),2030,No CC,USD,10499575,NA,NA,NA,NA,NA,13,Upper bound estimate
20,Reactive adaptation costs,Tanzania,C1 (2°C 2030),2030,No CC,USD,11676252,NA,NA,NA,NA,NA,13,Lower bound estimate
21,Reactive adaptation costs,Tanzania,C1 (2°C 2030),2030,No CC,USD,24044027,NA,NA,NA,NA,NA,13,Upper bound estimate
22,Loss of lives,Tanzania,C1 (1°C 2030),2030,No CC,USD,58133424,NA,NA,NA,NA,NA,13,Lower bound estimate
23,Loss of lives,Tanzania,C1 (1°C 2030),2030,No CC,USD,112391286,NA,NA,NA,NA,NA,13,Upper bound estimate
24,Loss of lives,Tanzania,C1 (2°C 2030),2030,No CC,USD,124986861,NA,NA,NA,NA,NA,13,Lower bound estimate
25,Loss of lives,Tanzania,C1 (2°C 2030),2030,No CC,USD,257376045,NA,NA,NA,NA,NA,13,Upper bound estimate
26,Total costs,Tanzania,C1 (1°C 2030),2030,No CC,USD,64069209,NA,NA,NA,NA,NA,13,Lower bound estimate
27,Total costs,Tanzania,C1 (1°C 2030),2030,No CC,USD,123867137,NA,NA,NA,NA,NA,13,Upper bound estimate
28,Total costs,Tanzania,C1 (2°C 2030),2030,No CC,USD,137748799,NA,NA,NA,NA,NA,13,Lower bound estimate
29,Total costs,Tanzania,C1 (2°C 2030),2030,No CC,USD,283655743,NA,NA,NA,NA,NA,13,Upper bound estimate
30,GDP impact,Tanzania,Climate change attributable,2030,No CC,% of GDP,0.03,NA,NA,NA,NA,0.12,Page 14,Reactive adaptation costs associated with cholera
31,Cholera incidence,Tanzania,Temperature increase,2030,No CC,%,15,NA,NA,NA,NA,29,Page 14,Relative risk increase per degree Celsius due to climate change
32,GDP,Tanzania,C0,2030,No CC,%,-0.03,NA,NA,NA,NA,NA,15,Cost of reactive adaptation only
33,GDP,Tanzania,C0,2030,No CC,%,-0.12,NA,NA,NA,NA,NA,15,Cost of reactive adaptation only
34,GDP,Tanzania,C0,2030,No CC,%,-0.32,NA,NA,NA,NA,NA,"Highlights, Reviewer notes",Includes productivity losses and value of lost lives
35,GDP,Tanzania,C0,2030,No CC,%,-1.4,NA,NA,NA,NA,NA,"Highlights, Reviewer notes",Includes productivity losses and value of lost lives
36,GDP,Tanzania,Upper boundary,2030,No CC,Percent,-1.4,NA,NA,NA,NA,NA,Page 16,
37,GDP,Tanzania,Baseline scenario (C0),2030,No CC,%,-0.32,NA,NA,NA,NA,NA,Highlights,Lower bound estimate
38,GDP,Tanzania,Baseline scenario (C0),2030,No CC,%,-1.4,NA,NA,NA,NA,NA,Highlights,Upper bound estimate
39,Cholera deaths,Tanzania,NA,2011,No CC,Coefficient,0.0001,0.00001,NA,NA,NA,NA,Page 21,"From Table A4, Negative binomial model—Annual data: Cholera deaths and water cover, relating cholera cases to deaths; the year is the publication year."
40,Real GDP per capita,Tanzania,NA,2011,No CC,Coefficient,-0.0028,0.0002,NA,NA,NA,NA,Page 21,"From Table A3, Negative binomial model—Annual data: Cholera deaths and income, relating income to deaths; the year is the publication year"
