,Outcome,Country(ies),Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes
0,Business Interruption loss,Global,S14FD-Reanalysis,2013,1960-2013 average,USD billion (2005 PPP),26.9,NA,NA,NA,NA,NA,1,Average over 1960-2013
1,Asset damage,Global,S14FD-Reanalysis,2013,1960-2013 average,USD billion (2005 PPP),130.9,NA,NA,NA,NA,NA,1,Average over 1960-2013
2,GDP,Global,RCP8.5,2090,1971-2000 average,%,0.32,NA,NA,NA,NA,NA,1,Increase in BI loss per GDP (2061–2090 average) compared with past period (1971–2000 average)
3,GDP,Global,RCP8.5,2090,1971-2000 average,%,1.78,NA,NA,NA,NA,NA,1,Increase in asset damage per GDP (2061–2090 average) compared with past period (1971–2000 average)
4,Business Interruption,Global,S14FD-Reanalysis,2013,1960,USD billion (2005 PPP),-26.9,NA,NA,NA,NA,NA,9,Annual total BI loss averaged from 1960 to 2013 in the reanalysis simulation
5,Asset Damage,Global,S14FD-Reanalysis,2013,1960,USD billion (2005 PPP),-130.9,NA,NA,NA,NA,NA,9,Annual total asset damage averaged from 1960 to 2013 in the reanalysis simulation
6,Asset Damage,Global,S14FD-Reanalysis,1999,Previous Studies,USD billion (2005 PPP),96,NA,NA,NA,NA,NA,10,Annual global asset damage estimated in this study for 1960-1999.
7,Asset Damage,Global,S14FD-Reanalysis,1999,Previous Studies,USD billion (2005 PPP),-2,NA,NA,NA,NA,NA,10,Ward et al. [15] estimated annual global asset damage averaged from 1960 to 1999 at USD 94 billion (2005 PPP).
8,Asset Damage,Global,S14FD-Reanalysis,2005,Previous Studies,USD billion (2005 PPP),56.7,NA,NA,NA,NA,NA,10,"Targeted river basins with drainage area > 5000 km2, 1976-2005"
9,Asset Damage,Global,S14FD-Reanalysis,2005,Previous Studies,USD billion (2005 PPP),-8.3,NA,NA,NA,NA,NA,10,Alfieri et al. [3] estimated annual global asset damage averaged from 1976 to 2005 in targeted river basins with drainage area > 5000 km2 was USD 65 billion (2005 PPP).
10,BI Loss,Namibia,Various,2009,World Bank estimation,USD,1,NA,NA,NA,NA,NA,Image description,"The study generally estimates higher BI losses than the World Bank, except for Malawi 2011. 1 represents greater than."
11,BI Loss,Moldova,Various,2010,World Bank estimation,USD,1,NA,NA,NA,NA,NA,Image description,"The study generally estimates higher BI losses than the World Bank, except for Malawi 2011. 1 represents greater than."
12,BI Loss,Pakistan,Various,2010,World Bank estimation,USD,1,NA,NA,NA,NA,NA,Image description,"The study generally estimates higher BI losses than the World Bank, except for Malawi 2011. 1 represents greater than."
13,BI Loss,Pakistan,Various,2011,World Bank estimation,USD,1,NA,NA,NA,NA,NA,Image description,"The study generally estimates higher BI losses than the World Bank, except for Malawi 2011. 1 represents greater than."
14,BI Loss,Thailand,Various,2011,World Bank estimation,USD,1,NA,NA,NA,NA,NA,Image description,"The study generally estimates higher BI losses than the World Bank, except for Malawi 2011. 1 represents greater than."
15,BI Loss,Nigeria,Various,2012,World Bank estimation,USD,1,NA,NA,NA,NA,NA,Image description,"The study generally estimates higher BI losses than the World Bank, except for Malawi 2011. 1 represents greater than."
16,BI Loss,Malawi,Various,2011,World Bank estimation,USD,-1,NA,NA,NA,NA,NA,Image description,"The study generally estimates higher BI losses than the World Bank, except for Malawi 2011. -1 represents lower than."
17,BI loss,"America, Europe",S14FD-Reanalysis,2013,Global average,% of GDP,0.09,NA,NA,NA,NA,NA,11,Relative BI loss is smaller because of high GDP. Using a nominal value <0.1
18,BI loss,Multiple,S14FD-Reanalysis,2013,Global average,% of GDP,0.31,NA,NA,NA,NA,NA,11,"These areas had long inundation periods because of their shallow slopes, more than double the global average. Using a nominal value >0.3"
19,BI loss,Global,S14FD-Reanalysis,2013,NA,% of GDP,0.12,NA,NA,NA,NA,NA,11,Global average
20,Business Interruption,Global,S14FD-Reanalysis,2005,1961-2005 Average,USD billion (2005 PPP),23.1,NA,NA,NA,NA,NA,12,Average total annual loss from reanalysis simulation (1961-2005).
21,Business Interruption,Global,S14FD-GCM,2005,1961-2005 Average,USD billion (2005 PPP),25.8,NA,NA,NA,NA,NA,12,Average total annual loss from GCM simulation (1961-2005).
22,Business Interruption,Global,S14FD-GCM,2005,Average,%,33.0,NA,NA,NA,NA,NA,12,Maximum variation of each GCM from the average value (1961-2005).
23,Asset Damage,Global,S14FD-Reanalysis,2005,1961-2005 Average,USD billion (2005 PPP),109.7,NA,NA,NA,NA,NA,12,Average total annual damage from reanalysis simulation (1961-2005).
24,Asset Damage,Global,S14FD-GCM,2005,1961-2005 Average,USD billion (2005 PPP),142.5,NA,NA,NA,NA,NA,12,Average total annual damage from GCM simulation (1961-2005).
25,Asset Damage,Global,S14FD-GCM,2005,Average,%,43.2,NA,NA,NA,NA,NA,12,Maximum variation of each GCM from the average value (1961-2005).
26,Business Interruption,Global,RCP8.5,2061,1971-2000," ""Fold Increase""", 34.6,NA,NA,NA,NA,NA,12,Global annual increase (2061-2090 average).
27,Asset Damage,Global,RCP8.5,2061,1971-2000," ""Fold Increase""", 34.7,NA,NA,NA,NA,NA,12,Global annual increase (2061-2090 average).
28,Business Interruption per GDP,Global,RCP8.5,2061,1971-2000," ""Fold Increase""", 4.2,NA,NA,NA,NA,NA,12,Global annual increase (2061-2090 average).
29,Asset Damage per GDP,Global,RCP8.5,2061,1971-2000," ""Fold Increase""", 4.2,NA,NA,NA,NA,NA,12,Global annual increase (2061-2090 average).
30,Business Interruption,Global,RCP8.5,2061,Average,%,137.9,NA,NA,NA,NA,NA,12,Maximum deviations from the average BI loss (2061-2090).
31,Asset Damage,Global,RCP8.5,2061,Average,%,101.2,NA,NA,NA,NA,NA,12,Maximum deviations from the average Asset Damage (2061-2090).
32,BI loss,Global,RCP8.5,2050,1971-2000,Billion USD (2005 PPP),408.3,NA,NA,NA,NA,NA,Page 13,Calculated as 435.5 - 27.2 billion USD (2005 PPP). Year represents the mid-point of the time period 2021-2050.
33,BI loss % GDP,Global,RCP8.5,2050,1971-2000,Percentage,0.19,NA,NA,NA,NA,NA,Page 13,Calculated as 0.29% - 0.10%. Year represents the mid-point of the time period 2021-2050.
34,BI loss % GDP,"China,Thailand,Nile River",RCP8.5,2090,1971-2000,Percentage,1.5,NA,NA,NA,NA,NA,Page 13,Future BI loss is projected to exceed 1.5% in parts of these regions. Year represents the end of the time period 2061-2090.
35,BI loss,Global,RCP8.5,2090,1971-2000,Billion USD (2005 PPP),913.2,NA,NA,NA,NA,NA,Page 13,Calculated as 940.4 - 27.2 billion USD (2005 PPP). Year represents the end of the time period 2061-2090.
36,BI loss % GDP,Global,RCP8.5,2090,1971-2000,Percentage,0.32,NA,NA,NA,NA,NA,Page 13,Calculated as 0.42% - 0.10%. Year represents the end of the time period 2061-2090.
37,Asset damage,Global,RCP8.5,2050,1971-2000,Billion USD (2005 PPP),2436.1,NA,NA,NA,NA,NA,Page 13,Calculated as 2586.1 - 150.0 billion USD (2005 PPP). Year represents the mid-point of the time period 2021-2050.
38,Asset damage % GDP,Global,RCP8.5,2050,1971-2000,Percentage,1.19,NA,NA,NA,NA,NA,Page 13,Calculated as 1.74% - 0.55%. Year represents the mid-point of the time period 2021-2050.
39,Asset damage,Global,RCP8.5,2090,1971-2000,Billion USD (2005 PPP),5051.3,NA,NA,NA,NA,NA,Page 13,Calculated as 5201.3 - 150.0 billion USD (2005 PPP). Year represents the end of the time period 2061-2090.
40,Asset damage % GDP,Global,RCP8.5,2090,1971-2000,Percentage,1.78,NA,NA,NA,NA,NA,Page 13,Calculated as 2.33% - 0.55%. Year represents the end of the time period 2061-2090.
41,BI/Asset Ratio,Global,Reanalysis,2013,1960,percent,20.6,NA,NA,NA,NA,NA,p. 14,Average from 1960 to 2013
42,BI/Asset Ratio,Africa,Reanalysis,2013,1960,percent,22.1,NA,NA,NA,NA,NA,p. 14,Average from 1960 to 2013
43,BI/Asset Ratio,Europe,Reanalysis,2013,1960,percent,26.9,NA,NA,NA,NA,NA,p. 14,Average from 1960 to 2013
